날짜,시간,브랜드명,depth1_카테고리,depth2_카테고리,순위,상품명,가격,상품URL
2025-10-22,09:18,하시에,전체,전체,9,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],114988,https://m.wconcept.co.kr/Product/303596201
2025-10-22,09:18,하시에,전체,전체,86,(2차 리오더) HANDMADE CASHMERE DOUBLE COAT [3COLORS],278112,https://m.wconcept.co.kr/Product/303596346
2025-10-22,09:18,하시에,전체,전체,158,LIGHT WEIGHT HOODED GOOSE DOWN COAT [BLACK],203490,https://m.wconcept.co.kr/Product/306157288
2025-10-22,09:18,하시에,의류,전체,7,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],114988,https://m.wconcept.co.kr/Product/303596201
2025-10-22,09:18,하시에,의류,전체,73,(2차 리오더) HANDMADE CASHMERE DOUBLE COAT [3COLORS],278112,https://m.wconcept.co.kr/Product/303596346
2025-10-22,09:18,하시에,의류,전체,126,LIGHT WEIGHT HOODED GOOSE DOWN COAT [BLACK],203490,https://m.wconcept.co.kr/Product/306157288
2025-10-22,09:18,하시에,의류,전체,173,(11차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],83072,https://m.wconcept.co.kr/Product/306105637
2025-10-22,09:18,하시에,의류,전체,184,[ITALY] TWILL TEXTURE WOOL SHORT JACKET [BLACK],259335,https://m.wconcept.co.kr/Product/307456255
2025-10-22,09:18,하시에,의류,아우터,6,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],114988,https://m.wconcept.co.kr/Product/303596201
2025-10-22,09:18,하시에,의류,아우터,49,(2차 리오더) HANDMADE CASHMERE DOUBLE COAT [3COLORS],278112,https://m.wconcept.co.kr/Product/303596346
2025-10-22,09:18,하시에,의류,아우터,76,LIGHT WEIGHT HOODED GOOSE DOWN COAT [BLACK],203490,https://m.wconcept.co.kr/Product/306157288
2025-10-22,09:18,하시에,의류,아우터,108,[ITALY] TWILL TEXTURE WOOL SHORT JACKET [BLACK],259335,https://m.wconcept.co.kr/Product/307456255
2025-10-22,09:18,하시에,의류,아우터,124,FOX FUR GOOSE DOWN MAXI COAT [TAUPE][BLACK],227230,https://m.wconcept.co.kr/Product/306151814
2025-10-22,09:18,하시에,의류,아우터,138,EMBROIDERY PADDING JACKET [3COLORS],110950,https://m.wconcept.co.kr/Product/303596164
2025-10-22,09:18,하시에,의류,원피스,59,(2차 리오더) ONE BUTTON DETAIL SLEEVELESS DRESS [BLACK],104940,https://m.wconcept.co.kr/Product/306105604
2025-10-22,09:18,하시에,의류,셔츠,92,(3차 리오더) BLUE STRIPE COTTON SHIRT [BLUE],83776,https://m.wconcept.co.kr/Product/306668472
2025-10-22,09:18,하시에,의류,셔츠,154,[채랑 PICK] OVERSIZE STANDARD STRIPE SHIRT [IVORY][PINK],102168,https://m.wconcept.co.kr/Product/307414592
2025-10-22,09:18,하시에,의류,스커트,5,(11차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],83072,https://m.wconcept.co.kr/Product/306105637
2025-10-22,09:18,하시에,가방,전체,160,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],99000,https://m.wconcept.co.kr/Product/307456275
2025-10-22,09:18,하시에,가방,숄더백,92,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],99000,https://m.wconcept.co.kr/Product/307456275
