날짜,시간,브랜드명,depth1_카테고리,depth2_카테고리,순위,상품명,가격,상품URL
2025-10-22,09:09,하시에,전체,전체,1,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],114988,https://m.wconcept.co.kr/Product/303596201
2025-10-22,09:09,하시에,전체,전체,2,EMBROIDERY PADDING JACKET [3COLORS],110950,https://m.wconcept.co.kr/Product/303596164
2025-10-22,09:09,하시에,의류,전체,1,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],114988,https://m.wconcept.co.kr/Product/303596201
2025-10-22,09:09,하시에,의류,전체,2,EMBROIDERY PADDING JACKET [3COLORS],110950,https://m.wconcept.co.kr/Product/303596164
2025-10-22,09:09,하시에,의류,전체,3,(2차 리오더) HANDMADE CASHMERE DOUBLE COAT [3COLORS],278112,https://m.wconcept.co.kr/Product/303596346
2025-10-22,09:09,하시에,의류,아우터,1,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],114988,https://m.wconcept.co.kr/Product/303596201
2025-10-22,09:09,하시에,의류,아우터,2,EMBROIDERY PADDING JACKET [3COLORS],110950,https://m.wconcept.co.kr/Product/303596164
2025-10-22,09:09,하시에,의류,아우터,3,(2차 리오더) HANDMADE CASHMERE DOUBLE COAT [3COLORS],278112,https://m.wconcept.co.kr/Product/303596346
2025-10-22,09:09,하시에,의류,아우터,4,FAUX LEATHER DETAIL QUILTED JACKET [BLACK],118137,https://m.wconcept.co.kr/Product/306105650
2025-10-22,09:09,하시에,의류,아우터,5,HANDMADE CASHMERE COLLARLESS COAT [OATMEAL][CHARCOAL],197272,https://m.wconcept.co.kr/Product/306110668
2025-10-22,09:09,하시에,의류,원피스,1,(2차 리오더) ONE BUTTON DETAIL SLEEVELESS DRESS [BLACK],104940,https://m.wconcept.co.kr/Product/306105604
2025-10-22,09:09,하시에,의류,셔츠,1,(3차 리오더) BLUE STRIPE COTTON SHIRT [BLUE],83776,https://m.wconcept.co.kr/Product/306668472
2025-10-22,09:09,하시에,의류,셔츠,2,SHEER SATIN BLOUSE [BUTTER YELLOW][BLACK],83776,https://m.wconcept.co.kr/Product/306918732
2025-10-22,09:09,하시에,의류,스커트,1,(11차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],83072,https://m.wconcept.co.kr/Product/306105637
2025-10-22,09:09,하시에,가방,숄더백,1,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],99000,https://m.wconcept.co.kr/Product/307456275
2025-10-22,09:09,하시에,가방,숄더백,2,TWIST STRAP LEATHER MINI BAG [IVORY],74052,https://m.wconcept.co.kr/Product/306772182
