유형,날짜,상품수,카테고리,평균순위,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
일별통계,2026-01-05,12,,,,,,,,,,,,
일별통계,2026-01-06,29,,,,,,,,,,,,
일별통계,2026-01-07,21,,,,,,,,,,,,
일별통계,2026-01-08,14,,,,,,,,,,,,
일별통계,2026-01-09,14,,,,,,,,,,,,
일별통계,2026-01-10,20,,,,,,,,,,,,
일별통계,2026-01-11,10,,,,,,,,,,,,
카테고리통계,,27,의류 - 아우터,106.5,1,,,,,,,,,
카테고리통계,,16,의류 - 전체,104.4,1,,,,,,,,,
카테고리통계,,14,전체,114.9,1,,,,,,,,,
카테고리통계,,12,의류 - 원피스,79.0,7,,,,,,,,,
카테고리통계,,11,의류 - 스커트,85.9,8,,,,,,,,,
카테고리통계,,10,의류 - 셔츠,86.5,21,,,,,,,,,
카테고리통계,,7,의류 - 데님,101.7,40,,,,,,,,,
카테고리통계,,7,가방 - 백액세서리,63.1,2,,,,,,,,,
카테고리통계,,6,의류 - 팬츠,134.5,54,,,,,,,,,
카테고리통계,,5,가방 - 숄더백,133.2,85,,,,,,,,,
카테고리통계,,2,가방 - 전체,127.0,68,,,,,,,,,
카테고리통계,,1,액세서리 - 패션액세서리,194.0,194,,,,,,,,,
카테고리통계,,1,의류 - 티셔츠,20.0,20,,,,,,,,,
카테고리통계,,1,액세서리 - 스카프/머플러,74.0,74,,,,,,,,,
TOP1,,,전체,,1,2026-01-06,74400,60%,뉴이어위크,279,4045,4.9,(5차 리오더) OVERFIT QUILTED GOOSE DOWN PONCHO [4COLORS],./06/일일_요약_260106_082521.md
TOP2,,,가방 - 백액세서리,,2,2026-01-07,12800,60%,뉴이어위크,91,1664,4.8,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],./07/일일_요약_260107_082536.md
TOP3,,,의류 - 원피스,,7,2026-01-06,114480,28%,뉴이어위크,40,3734,4.9,(3차 리오더) ONE BUTTON DETAIL SLEEVELESS DRESS [BLACK],./06/일일_요약_260106_082521.md
TOP4,,,의류 - 스커트,,8,2026-01-06,128880,28%,뉴이어위크,2,340,5.0,[유니 PICK] URBAN FOLD WOOL BLENDED WRAP SKIRT [MELANGE GREY][NAVY],./06/일일_요약_260106_082521.md
TOP5,,,의류 - 티셔츠,,20,2026-01-10,92880,28%,뉴이어위크,2,28,5.0,[채랑 PICK] TWO TONE STRING SIDE-ZIP CROP SWEATSHIRT [MELANGE WHITE][MELANGE GREY],./10/일일_요약_260110_082530.md
TOP6,,,의류 - 셔츠,,21,2026-01-06,92880,28%,뉴이어위크,4,348,5.0,[채랑 PICK] SHEER STRIPE COTTON SHIRT [WHITE][SKYBLUE],./06/일일_요약_260106_082521.md
TOP7,,,의류 - 아우터,,22,2026-01-09,365760,28%,뉴이어위크,60,4342,4.9,[채랑 PICK] WHITE FOX FUR DOWN LONG JUMPER [NAVY],./09/일일_요약_260109_082300.md
TOP8,,,의류 - 스커트,,36,2026-01-06,44800,60%,뉴이어위크,10,158,5.0,WOOL CHECK LONG PENCIL SKIRT [BEIGE][GRAY],./06/일일_요약_260106_082521.md
TOP9,,,의류 - 원피스,,36,2026-01-07,67600,60%,뉴이어위크,8,159,4.9,FLOWER PATTERN SHORT SLEEVE JUMPSUIT [BLACK PRINT],./07/일일_요약_260107_082536.md
TOP10,,,의류 - 데님,,40,2026-01-05,107280,28%,뉴이어위크,17,171,5.0,"(DARK BROWN/S,M-1/20, NAVY BLACK/S-2/3 재입고) [민경,유니,혜원 PICK] VINTAGE VELVET WIDE CURVED DENIM PANTS [3COLORS]",./05/일일_요약_260105_082414.md
