유형,날짜,상품수,카테고리,평균순위,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
일별통계,2025-12-29,22,,,,,,,,,,,,
일별통계,2025-12-30,28,,,,,,,,,,,,
일별통계,2025-12-31,24,,,,,,,,,,,,
일별통계,2026-01-01,18,,,,,,,,,,,,
일별통계,2026-01-02,0,,,,,,,,,,,,
일별통계,2026-01-03,24,,,,,,,,,,,,
일별통계,2026-01-04,17,,,,,,,,,,,,
카테고리통계,,34,의류 - 아우터,106.7,5,,,,,,,,,
카테고리통계,,16,의류 - 전체,94.7,8,,,,,,,,,
카테고리통계,,15,의류 - 셔츠,103.3,13,,,,,,,,,
카테고리통계,,14,전체,110.8,11,,,,,,,,,
카테고리통계,,10,의류 - 원피스,83.2,29,,,,,,,,,
카테고리통계,,8,의류 - 스커트,109.5,56,,,,,,,,,
카테고리통계,,8,가방 - 숄더백,107.1,30,,,,,,,,,
카테고리통계,,6,가방 - 백액세서리,48.2,15,,,,,,,,,
카테고리통계,,6,의류 - 데님,90.3,3,,,,,,,,,
카테고리통계,,4,가방 - 전체,99.5,63,,,,,,,,,
카테고리통계,,3,액세서리 - 스카프/머플러,63.3,23,,,,,,,,,
카테고리통계,,2,의류 - 티셔츠,134.0,82,,,,,,,,,
카테고리통계,,2,의류 - 팬츠,176.5,162,,,,,,,,,
카테고리통계,,2,액세서리 - 전체,116.0,81,,,,,,,,,
카테고리통계,,1,의류 - 블라우스,67.0,67,,,,,,,,,
카테고리통계,,1,의류 - 니트,85.0,85,,,,,,,,,
카테고리통계,,1,액세서리 - 모자,99.0,99,,,,,,,,,
TOP1,,,의류 - 데님,,3,2025-12-31,87165,42%,연말결산,17,164,5.0,"(DARK BROWN/S,M-1/20, NAVY BLACK/S-2/3 재입고) [민경,유니,혜원 PICK] VINTAGE VELVET WIDE CURVED DENIM PANTS [3COLORS]",../../2025/12/31/일일_요약_251231_082327.md
TOP2,,,의류 - 아우터,,5,2026-01-01,118405,70%,연말결산,257,7857,4.9,[채랑 PICK][단독기획] HEAVY DUMPLING DOWN JUMPER [3COLORS],./01/일일_요약_260101_082423.md
TOP3,,,의류 - 셔츠,,13,2026-01-04,88960,36%,뉴이어위크,24,765,4.9,HAILEY OVERSIZE CROPPED SHIRT [3COLORS],./04/일일_요약_260104_082404.md
TOP4,,,가방 - 백액세서리,,15,2025-12-30,16000,50%,연말결산,89,1631,4.8,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],../../2025/12/30/일일_요약_251230_082404.md
TOP5,,,의류 - 아우터,,15,2025-12-30,365760,28%,연말결산,57,4104,4.9,[채랑 PICK] WHITE FOX FUR DOWN LONG JUMPER [NAVY],../../2025/12/30/일일_요약_251230_082404.md
TOP6,,,액세서리 - 스카프/머플러,,23,2026-01-04,46080,36%,뉴이어위크,18,363,4.8,GLOSSY GOOSE DOWN MUFFLER [3COLORS],./04/일일_요약_260104_082404.md
TOP7,,,의류 - 아우터,,26,2025-12-30,287910,37%,연말결산,137,10909,4.7,"[민경,채랑 PICK] (2차 리오더) HANDMADE CASHMERE DOUBLE COAT [3COLORS]",../../2025/12/30/일일_요약_251230_082404.md
TOP8,,,의류 - 원피스,,29,2025-12-30,100170,37%,연말결산,39,3543,4.9,(3차 리오더) ONE BUTTON DETAIL SLEEVELESS DRESS [BLACK],../../2025/12/30/일일_요약_251230_082404.md
TOP9,,,가방 - 숄더백,,30,2026-01-03,61920,28%,연말결산,166,6182,4.9,CRESCENT MOON BAG [4COLORS],./03/일일_요약_260103_082328.md
TOP10,,,의류 - 아우터,,32,2026-01-04,202280,48%,연말결산,134,5942,4.9,"[유니,채랑,지우 PICK] (2차 리오더) [단독기획] FOX FUR BELTED GOOSE DOWN [3COLORS]",./04/일일_요약_260104_082404.md
