날짜,시간,브랜드명,depth1_카테고리,depth2_카테고리,순위,상품명,가격,할인율,상품URL
2025-11-07,08:21,하시에,전체,전체,8,[채랑 PICK] [단독기획] FOX FUR BELTED GOOSE DOWN [3COLORS],224511,42.3%,https://m.wconcept.co.kr/Product/307463098
2025-11-07,08:21,하시에,전체,전체,159,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],121553,31.7%,https://m.wconcept.co.kr/Product/303596201
2025-11-07,08:21,하시에,전체,전체,195,CASHMERE QUILTED PADDING JACKET [CAMEL][BLACK],211732,34%,https://m.wconcept.co.kr/Product/306105655
2025-11-07,08:21,하시에,의류,전체,8,[채랑 PICK] [단독기획] FOX FUR BELTED GOOSE DOWN [3COLORS],224511,42.3%,https://m.wconcept.co.kr/Product/307463098
2025-11-07,08:21,하시에,의류,전체,136,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],121553,31.7%,https://m.wconcept.co.kr/Product/303596201
2025-11-07,08:21,하시에,의류,전체,169,CASHMERE QUILTED PADDING JACKET [CAMEL][BLACK],211732,34%,https://m.wconcept.co.kr/Product/306105655
2025-11-07,08:21,하시에,의류,아우터,6,[채랑 PICK] [단독기획] FOX FUR BELTED GOOSE DOWN [3COLORS],224511,42.3%,https://m.wconcept.co.kr/Product/307463098
2025-11-07,08:21,하시에,의류,아우터,73,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],121553,31.7%,https://m.wconcept.co.kr/Product/303596201
2025-11-07,08:21,하시에,의류,아우터,89,CASHMERE QUILTED PADDING JACKET [CAMEL][BLACK],211732,34%,https://m.wconcept.co.kr/Product/306105655
2025-11-07,08:21,하시에,의류,아우터,157,DIAMOND QUILTING FOX FUR LONG COAT [2COLORS],118821,65.9%,https://m.wconcept.co.kr/Product/307321974
2025-11-07,08:21,하시에,의류,아우터,180,STRING DETAIL GOOSE DOWN SHORT JACKET [3COLORS],134698,48.8%,https://m.wconcept.co.kr/Product/302070873
2025-11-07,08:21,하시에,의류,셔츠,147,(20차 리오더) LAYERED CUFFS SHIRTS [5COLORS],85360,31.7%,https://m.wconcept.co.kr/Product/301482915
2025-11-07,08:21,하시에,의류,셔츠,149,[채랑 PICK] OVERSIZE STANDARD STRIPE SHIRT [IVORY][PINK],99103,23.2%,https://m.wconcept.co.kr/Product/307414592
2025-11-07,08:21,하시에,의류,셔츠,185,[여름 PICK] (3차 리오더) BLUE STRIPE COTTON SHIRT [BLUE],81263,31.7%,https://m.wconcept.co.kr/Product/306668472
2025-11-07,08:21,하시에,의류,티셔츠,195,[여름 PICK] STRING DETAIL OVERSIZE MULTI STRIPE T-SHIRT [IVORY][NAVY],67605,31.7%,https://m.wconcept.co.kr/Product/307414599
2025-11-07,08:21,하시에,의류,스커트,15,(11차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],75544,36%,https://m.wconcept.co.kr/Product/306105637
2025-11-07,08:21,하시에,의류,팬츠,101,[채랑 PICK] DOUBLE WAIST WOOL BLENDED HALF PANTS [3COLORS],81263,31.7%,https://m.wconcept.co.kr/Product/306105636
2025-11-07,08:21,하시에,가방,전체,72,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],85360,31.7%,https://m.wconcept.co.kr/Product/307456275
2025-11-07,08:21,하시에,가방,숄더백,39,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],85360,31.7%,https://m.wconcept.co.kr/Product/307456275
2025-11-07,08:21,하시에,가방,숄더백,170,CRESCENT MOON BAG [5COLORS],58728,31.7%,https://m.wconcept.co.kr/Product/303596708
2025-11-07,08:21,하시에,가방,숄더백,175,[채랑 PICK] FAUX LEATHER STRAP NYLON SHOULDER BAG [BLACK],94920,31.7%,https://m.wconcept.co.kr/Product/307456274
2025-11-07,08:21,하시에,액세서리,전체,15,WOOL BLENDED LEOPARD SHAWL MUFFLER [MOCHA],71702,31.7%,https://m.wconcept.co.kr/Product/307414607
2025-11-07,08:21,하시에,액세서리,모자,145,LOVE LETTERING BALL CAP [BLACK],40290,31.7%,https://m.wconcept.co.kr/Product/306772216
2025-11-07,08:21,하시에,액세서리,스카프/머플러,3,WOOL BLENDED LEOPARD SHAWL MUFFLER [MOCHA],71702,31.7%,https://m.wconcept.co.kr/Product/307414607
