날짜,시간,브랜드명,depth1_카테고리,depth2_카테고리,순위,상품명,가격,할인율,상품URL
2025-11-06,08:22,하시에,전체,전체,29,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],121553,,https://m.wconcept.co.kr/Product/303596201
2025-11-06,08:22,하시에,전체,전체,33,[채랑 PICK] [단독기획] FOX FUR BELTED GOOSE DOWN [3COLORS],224511,,https://m.wconcept.co.kr/Product/307463098
2025-11-06,08:22,하시에,전체,전체,145,FOX FUR GOOSE DOWN MAXI COAT [TAUPE][BLACK],193345,,https://m.wconcept.co.kr/Product/306151814
2025-11-06,08:22,하시에,전체,전체,184,CUPRA KNIT COLLAR ZIP-UP PADDING JACKET [IVORY][BLACK],74775,,https://m.wconcept.co.kr/Product/306105652
2025-11-06,08:22,하시에,의류,전체,21,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],121553,,https://m.wconcept.co.kr/Product/303596201
2025-11-06,08:22,하시에,의류,전체,24,[채랑 PICK] [단독기획] FOX FUR BELTED GOOSE DOWN [3COLORS],224511,,https://m.wconcept.co.kr/Product/307463098
2025-11-06,08:22,하시에,의류,전체,113,FOX FUR GOOSE DOWN MAXI COAT [TAUPE][BLACK],193345,,https://m.wconcept.co.kr/Product/306151814
2025-11-06,08:22,하시에,의류,전체,139,CUPRA KNIT COLLAR ZIP-UP PADDING JACKET [IVORY][BLACK],74775,,https://m.wconcept.co.kr/Product/306105652
2025-11-06,08:22,하시에,의류,아우터,16,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],121553,,https://m.wconcept.co.kr/Product/303596201
2025-11-06,08:22,하시에,의류,아우터,19,[채랑 PICK] [단독기획] FOX FUR BELTED GOOSE DOWN [3COLORS],224511,,https://m.wconcept.co.kr/Product/307463098
2025-11-06,08:22,하시에,의류,아우터,69,FOX FUR GOOSE DOWN MAXI COAT [TAUPE][BLACK],193345,,https://m.wconcept.co.kr/Product/306151814
2025-11-06,08:22,하시에,의류,아우터,86,CUPRA KNIT COLLAR ZIP-UP PADDING JACKET [IVORY][BLACK],74775,,https://m.wconcept.co.kr/Product/306105652
2025-11-06,08:22,하시에,의류,아우터,118,GOLD BUTTON GOOSE DOWN JACKET [IVORY][BLACK],218740,,https://m.wconcept.co.kr/Product/303596756
2025-11-06,08:22,하시에,의류,아우터,120,LIGHT WEIGHT HOODED GOOSE DOWN COAT [BLACK],220759,,https://m.wconcept.co.kr/Product/306157288
2025-11-06,08:22,하시에,의류,아우터,126,KNIT ACCENT GOOSE DOWN JACKET [NAVY],130259,,https://m.wconcept.co.kr/Product/303596276
2025-11-06,08:22,하시에,의류,셔츠,43,[채랑 PICK] OVERSIZE STANDARD STRIPE SHIRT [IVORY][PINK],99103,,https://m.wconcept.co.kr/Product/307414592
2025-11-06,08:22,하시에,의류,셔츠,94,HIGH NECK COLLAR ZIP-UP SHIRT [BUTTER YELLOW][BLACK],77080,,https://m.wconcept.co.kr/Product/306668471
2025-11-06,08:22,하시에,의류,셔츠,148,SHEER SATIN BLOUSE [BUTTER YELLOW][BLACK],81263,,https://m.wconcept.co.kr/Product/306918732
2025-11-06,08:22,하시에,의류,셔츠,173,[여름 PICK] (3차 리오더) BLUE STRIPE COTTON SHIRT [BLUE],81263,,https://m.wconcept.co.kr/Product/306668472
2025-11-06,08:22,하시에,의류,스커트,40,(11차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],75544,,https://m.wconcept.co.kr/Product/306105637
2025-11-06,08:22,하시에,의류,스커트,67,WHIP CORD WRAP SKIRT [BLACK],117455,,https://m.wconcept.co.kr/Product/306668436
2025-11-06,08:22,하시에,의류,팬츠,163,CODUROY WIDE BURMUDA PANTS [NAVY][BLACK],66325,,https://m.wconcept.co.kr/Product/306157272
2025-11-06,08:22,하시에,의류,데님,41,SLIM STRAIGHT FIT DENIM PANTS [BLUE][BLACK],29022,,https://m.wconcept.co.kr/Product/301454148
2025-11-06,08:22,하시에,의류,데님,155,EMBROIDERED LOGO TWO-TUCK DENIM PANTS [LIGHT BLUE],68715,,https://m.wconcept.co.kr/Product/305707396
2025-11-06,08:22,하시에,가방,전체,40,TWIST STRAP LEATHER BIG BAG [BLACK],74434,,https://m.wconcept.co.kr/Product/306772192
2025-11-06,08:22,하시에,가방,전체,48,CRESCENT MOON BAG [5COLORS],58728,,https://m.wconcept.co.kr/Product/303596708
2025-11-06,08:22,하시에,가방,전체,94,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],85360,,https://m.wconcept.co.kr/Product/307456275
2025-11-06,08:22,하시에,가방,숄더백,24,TWIST STRAP LEATHER BIG BAG [BLACK],74434,,https://m.wconcept.co.kr/Product/306772192
2025-11-06,08:22,하시에,가방,숄더백,30,CRESCENT MOON BAG [5COLORS],58728,,https://m.wconcept.co.kr/Product/303596708
2025-11-06,08:22,하시에,가방,숄더백,55,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],85360,,https://m.wconcept.co.kr/Product/307456275
2025-11-06,08:22,하시에,가방,숄더백,103,FAUX FUR TWIST STRAP MINI BAG [IVORY],92189,,https://m.wconcept.co.kr/Product/307456276
