날짜,시간,브랜드명,depth1_카테고리,depth2_카테고리,순위,상품명,가격,할인율,상품URL
2025-11-06,10:05,하시에,전체,전체,18,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],121553,31.7%,https://m.wconcept.co.kr/Product/303596201
2025-11-06,10:05,하시에,전체,전체,65,[채랑 PICK] [단독기획] FOX FUR BELTED GOOSE DOWN [3COLORS],224511,42.3%,https://m.wconcept.co.kr/Product/307463098
2025-11-06,10:05,하시에,의류,전체,11,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],121553,31.7%,https://m.wconcept.co.kr/Product/303596201
2025-11-06,10:05,하시에,의류,전체,49,[채랑 PICK] [단독기획] FOX FUR BELTED GOOSE DOWN [3COLORS],224511,42.3%,https://m.wconcept.co.kr/Product/307463098
2025-11-06,10:05,하시에,의류,전체,174,[ITALY] TWILL TEXTURE WOOL SHORT JACKET [BLACK],251555,25.8%,https://m.wconcept.co.kr/Product/307456255
2025-11-06,10:05,하시에,의류,아우터,10,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],121553,31.7%,https://m.wconcept.co.kr/Product/303596201
2025-11-06,10:05,하시에,의류,아우터,33,[채랑 PICK] [단독기획] FOX FUR BELTED GOOSE DOWN [3COLORS],224511,42.3%,https://m.wconcept.co.kr/Product/307463098
2025-11-06,10:05,하시에,의류,아우터,110,[ITALY] TWILL TEXTURE WOOL SHORT JACKET [BLACK],251555,25.8%,https://m.wconcept.co.kr/Product/307456255
2025-11-06,10:05,하시에,의류,아우터,151,FOX FUR GOOSE DOWN MAXI COAT [TAUPE][BLACK],193345,58.8%,https://m.wconcept.co.kr/Product/306151814
2025-11-06,10:05,하시에,의류,아우터,178,CUPRA KNIT COLLAR ZIP-UP PADDING JACKET [IVORY][BLACK],74775,65.9%,https://m.wconcept.co.kr/Product/306105652
2025-11-06,10:05,하시에,의류,아우터,181,SNAP BUTTON HIGH NECK PADDING JACKET [3COLORS],107895,31.7%,https://m.wconcept.co.kr/Product/303596166
