날짜,시간,브랜드명,depth1_카테고리,depth2_카테고리,순위,상품명,가격,상품URL
2025-11-04,08:21,하시에,전체,전체,42,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],121553,https://m.wconcept.co.kr/Product/303596201
2025-11-04,08:21,하시에,의류,전체,38,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],121553,https://m.wconcept.co.kr/Product/303596201
2025-11-04,08:21,하시에,의류,전체,179,(11차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],75544,https://m.wconcept.co.kr/Product/306105637
2025-11-04,08:21,하시에,의류,아우터,30,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],121553,https://m.wconcept.co.kr/Product/303596201
2025-11-04,08:21,하시에,의류,셔츠,29,[채랑 PICK] OVERSIZE STANDARD STRIPE SHIRT [IVORY][PINK],99103,https://m.wconcept.co.kr/Product/307414592
2025-11-04,08:21,하시에,의류,스커트,9,(11차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],75544,https://m.wconcept.co.kr/Product/306105637
2025-11-04,08:21,하시에,의류,스커트,163,FRONT ZIP-UP DETAIL MID SKIRT [3COLORS],81263,https://m.wconcept.co.kr/Product/306668437
2025-11-04,08:21,하시에,의류,데님,182,HIGH-RISE SEMI BOOTS CUT JEANS [DARK GREY][MIDDLE BLUE],68715,https://m.wconcept.co.kr/Product/305871432
2025-11-04,08:21,하시에,가방,숄더백,119,CRESCENT MOON BAG [5COLORS],58728,https://m.wconcept.co.kr/Product/303596708
2025-11-04,08:21,하시에,가방,숄더백,130,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],85360,https://m.wconcept.co.kr/Product/307456275
