날짜,시간,상품코드,브랜드코드,브랜드명,브랜드영문명,depth1_카테고리,depth2_카테고리,depth3_카테고리,순위,상품명,상품라벨앞,상품라벨뒤,서브상품명,정상가,판매가,최종판매가,가격,할인율,상품URL,상품이미지URL,세일태그,정보태그,당일배송,리뷰수,찜수,리뷰평점,상품상태코드,상품타입코드,이벤트시작,이벤트종료,컨텐츠정보
2026-05-31,08:56,302768208,105980,하시에,HACIE,의류,전체,맥시,148,(19차 리오더) AVEC HACIE COTTON LONG DRESS [5COLORS],[W only],,[W only],94000,79900,70312,70312,25%,https://m.wconcept.co.kr/Product/302768208,https://product-image.wconcept.co.kr/productimg/image/img1/08/302768208_GK20941.jpg,,"쿠폰,단독",N,1164,14846,4.9,01,17,2026-06-01T18:00:00,2026-06-02T18:00:00,
2026-05-31,08:56,308564432,105980,하시에,HACIE,의류,아우터,자켓,29,[리라 PICK] CREASE SILKY LINEN OVER-FIT JACKET [3COLORS],[W only],,[W only],159000,135150,118932,118932,25%,https://m.wconcept.co.kr/Product/308564432,https://product-image.wconcept.co.kr/productimg/image/img1/32/308564432_GI15240.jpg,,"쿠폰,단독",Y,0,412,,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-05-31,08:56,302768208,105980,하시에,HACIE,의류,원피스,맥시,32,(19차 리오더) AVEC HACIE COTTON LONG DRESS [5COLORS],[W only],,[W only],94000,79900,70312,70312,25%,https://m.wconcept.co.kr/Product/302768208,https://product-image.wconcept.co.kr/productimg/image/img1/08/302768208_GK20941.jpg,,"쿠폰,단독",N,1164,14846,4.9,01,17,2026-06-01T18:00:00,2026-06-02T18:00:00,
2026-05-31,08:56,305871413,105980,하시에,HACIE,의류,원피스,맥시,131,ESSENTIAL LOGO PRINT PIQUE JERSEY DRESS [5COLORS],[W only],,[W only],109000,76300,67144,67144,38%,https://m.wconcept.co.kr/Product/305871413,https://product-image.wconcept.co.kr/productimg/image/img1/13/305871413_GO46348.jpg,,"쿠폰,단독",Y,42,624,5.0,01,15,2024-08-01T10:00:00,2024-08-02T10:00:00,
2026-05-31,08:56,308564445,105980,하시에,HACIE,의류,원피스,맥시,135,FLARE COTTON LONG DRESS [3COLORS],[W only],,[W only],95000,80750,71060,71060,25%,https://m.wconcept.co.kr/Product/308564445,https://product-image.wconcept.co.kr/productimg/image/img1/45/308564445_GG20896.jpg,,"쿠폰,단독",Y,3,24,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-05-31,08:56,308564434,105980,하시에,HACIE,의류,블라우스,블라우스,34,[리라 PICK] COWL NECK DRAPE BLOUSE [ICE GREY][NAVY],[W only],,[W only],99000,84150,74052,74052,25%,https://m.wconcept.co.kr/Product/308564434,https://product-image.wconcept.co.kr/productimg/image/img1/34/308564434_LG74027.jpg,,"쿠폰,단독",Y,3,1527,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-05-31,08:56,306918731,105980,하시에,HACIE,의류,셔츠,셔츠,93,"[한빛,여민 PICK] (8차 리오더) OVERSIZE DOLMAN SLEEVE SHEER SHIRT [6COLORS]",[W only],,[W only],129000,109650,96492,96492,25%,https://m.wconcept.co.kr/Product/306918731,https://product-image.wconcept.co.kr/productimg/image/img1/31/306918731_LG21364.jpg,,"쿠폰,단독",Y,164,3099,4.9,01,15,2026-05-15T10:00:00,2026-05-18T10:00:00,"{'contentType': 'STYLE_CLIP', 'id': 37311, 'profileSeqNo': 1047, 'vid': 'v1119cg50000d2ra09vak5v2u79gi0t0', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/37311'}"
2026-05-31,08:56,308102379,105980,하시에,HACIE,의류,티셔츠,슬리브리스,127,"[지인,한빛 PICK] (2차 리오더) CREASE SATIN LAYERED SLEEVELESS BLOUSE [IVORY][BLACK]",[W only],,[W only],105000,89250,78540,78540,25%,https://m.wconcept.co.kr/Product/308102379,https://product-image.wconcept.co.kr/productimg/image/img1/79/308102379_GH11132.jpg,,"쿠폰,단독",Y,19,3551,4.9,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-05-31,08:56,308102401,105980,하시에,HACIE,의류,니트,가디건,94,"[예지,한빛 PICK] SIGNATURE CROP KNIT CARDIGAN [3COLORS]",[W only],,[W only],109000,81750,71940,71940,34%,https://m.wconcept.co.kr/Product/308102401,https://product-image.wconcept.co.kr/productimg/image/img1/01/308102401_JJ90278.jpg,,"쿠폰,단독",Y,29,394,4.9,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-05-31,08:56,308102392,105980,하시에,HACIE,의류,스커트,롱,19,"[지인,여민,경은,한빛 PICK] (3차 리오더) CREASE SATIN LAYERED LONG SKIRT [IVORY][BLACK]",[W only],,[W only],129000,109650,96492,96492,25%,https://m.wconcept.co.kr/Product/308102392,https://product-image.wconcept.co.kr/productimg/image/img1/92/308102392_KG49340.jpg,,"쿠폰,단독",Y,91,3984,5.0,01,15,2026-06-07T10:00:00,2026-06-09T10:00:00,
