유형,날짜,상품수,카테고리,평균순위,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
일별통계,2026-02-02,23,,,,,,,,,,,,
일별통계,2026-02-03,25,,,,,,,,,,,,
일별통계,2026-02-04,32,,,,,,,,,,,,
일별통계,2026-02-05,32,,,,,,,,,,,,
일별통계,2026-02-06,43,,,,,,,,,,,,
일별통계,2026-02-07,26,,,,,,,,,,,,
일별통계,2026-02-08,19,,,,,,,,,,,,
카테고리통계,,54,의류 - 아우터,111.8,5,,,,,,,,,
카테고리통계,,28,의류 - 셔츠,121.0,7,,,,,,,,,
카테고리통계,,19,의류 - 스커트,115.4,19,,,,,,,,,
카테고리통계,,15,의류 - 전체,83.3,5,,,,,,,,,
카테고리통계,,14,의류 - 원피스,116.4,47,,,,,,,,,
카테고리통계,,13,전체,96.5,6,,,,,,,,,
카테고리통계,,9,의류 - 데님,90.3,23,,,,,,,,,
카테고리통계,,9,가방 - 숄더백,97.6,34,,,,,,,,,
카테고리통계,,7,가방 - 전체,121.7,59,,,,,,,,,
카테고리통계,,7,가방 - 백액세서리,19.1,1,,,,,,,,,
카테고리통계,,6,의류 - 블라우스,95.2,18,,,,,,,,,
카테고리통계,,6,액세서리 - 모자,110.3,39,,,,,,,,,
카테고리통계,,5,의류 - 팬츠,99.0,11,,,,,,,,,
카테고리통계,,4,의류 - 티셔츠,126.8,73,,,,,,,,,
카테고리통계,,2,의류 - 니트,123.5,58,,,,,,,,,
카테고리통계,,1,액세서리 - 스카프/머플러,140.0,140,,,,,,,,,
카테고리통계,,1,액세서리 - 패션액세서리,165.0,165,,,,,,,,,
TOP1,,,가방 - 백액세서리,,1,2026-02-07,9600,70%,클리어런스,103,1833,4.8,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],./07/일일_요약_260207_083118.md
TOP2,,,의류 - 전체,,5,2026-02-03,203280,56%,,94,5289,4.9,"[민경,유니 PICK] CLOUD TRENCH GOOSE DOWN COAT [IVORY][BLACK]",./03/일일_요약_260203_083341.md
TOP3,,,의류 - 아우터,,5,2026-02-06,54960,76%,클리어런스,125,3073,4.9,EMBROIDERY PADDING JACKET [3COLORS],./06/일일_요약_260206_082829.md
TOP4,,,의류 - 셔츠,,7,2026-02-03,90816,30%,,119,2117,4.9,[여름 PICK] (3차 리오더) OVERSIZE DOLMAN SLEEVE SHEER SHIRT [5COLORS],./03/일일_요약_260203_083341.md
TOP5,,,의류 - 팬츠,,11,2026-02-08,52360,56%,,30,315,4.8,[채랑 PICK] DOUBLE WAIST WOOL BLENDED HALF PANTS [3COLORS],./08/일일_요약_260208_083444.md
TOP6,,,의류 - 블라우스,,18,2026-02-03,34000,60%,,0,7,,[리퍼브] BUSTIER PUFF-SLEEVE TOP [WHITE],./03/일일_요약_260203_083341.md
TOP7,,,의류 - 스커트,,19,2026-02-06,28560,76%,,9,153,4.8,STRAIGHT BELT LONG SKIRT [IVORY][BLACK],./06/일일_요약_260206_082829.md
TOP8,,,의류 - 데님,,23,2026-02-07,22968,74%,,4,294,5.0,SIDE SLIT STRAIGHT DENIM PANTS [LIGHT BLUE],./07/일일_요약_260207_083118.md
TOP9,,,의류 - 셔츠,,26,2026-02-06,38700,70%,,0,1,,[리퍼브] CRINKLE ZIP-UP SHIRT [BLACK],./06/일일_요약_260206_082829.md
TOP10,,,의류 - 아우터,,30,2026-02-06,83520,76%,,47,1543,4.7,TOGGLE BUTTON GOOSE DOWN LONG JUMPER [BLACK],./06/일일_요약_260206_082829.md
