유형,날짜,상품수,카테고리,평균순위,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
일별통계,2026-01-26,25,,,,,,,,,,,,
일별통계,2026-01-27,40,,,,,,,,,,,,
일별통계,2026-01-28,55,,,,,,,,,,,,
일별통계,2026-01-29,24,,,,,,,,,,,,
일별통계,2026-01-30,25,,,,,,,,,,,,
일별통계,2026-01-31,13,,,,,,,,,,,,
일별통계,2026-02-01,34,,,,,,,,,,,,
카테고리통계,,45,의류 - 아우터,87.9,2,,,,,,,,,
카테고리통계,,29,의류 - 전체,98.1,2,,,,,,,,,
카테고리통계,,24,의류 - 셔츠,106.5,24,,,,,,,,,
카테고리통계,,21,전체,108.0,6,,,,,,,,,
카테고리통계,,18,의류 - 스커트,94.4,17,,,,,,,,,
카테고리통계,,17,의류 - 데님,78.5,11,,,,,,,,,
카테고리통계,,13,의류 - 원피스,101.6,3,,,,,,,,,
카테고리통계,,10,가방 - 숄더백,144.0,39,,,,,,,,,
카테고리통계,,8,의류 - 팬츠,107.9,28,,,,,,,,,
카테고리통계,,7,의류 - 티셔츠,58.9,8,,,,,,,,,
카테고리통계,,7,가방 - 백액세서리,8.0,3,,,,,,,,,
카테고리통계,,5,가방 - 전체,128.4,65,,,,,,,,,
카테고리통계,,4,액세서리 - 패션액세서리,136.2,50,,,,,,,,,
카테고리통계,,4,의류 - 블라우스,143.8,85,,,,,,,,,
카테고리통계,,2,의류 - 니트,56.0,35,,,,,,,,,
카테고리통계,,2,액세서리 - 스카프/머플러,130.5,98,,,,,,,,,
TOP1,,,의류 - 전체,,2,2026-01-27,47861,79%,클리어런스,99,2691,5.0,EMBROIDERY PADDING JACKET [3COLORS],../01/27/일일_요약_260127_082750.md
TOP2,,,가방 - 백액세서리,,3,2026-01-26,9120,72%,클리어런스,95,1764,4.8,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],../01/26/일일_요약_260126_082524.md
TOP3,,,의류 - 원피스,,3,2026-01-27,55009,41%,클리어런스,657,8077,4.9,[단독](16차 리오더) AVEC HACIE COTTON LONG DRESS [CHARCOAL],../01/27/일일_요약_260127_082750.md
TOP4,,,의류 - 원피스,,8,2026-01-28,86401,46%,클리어런스,58,4033,4.9,(4차 리오더) ONE BUTTON DETAIL SLEEVELESS DRESS [BLACK],../01/28/일일_요약_260128_082734.md
TOP5,,,의류 - 티셔츠,,8,2026-01-28,75491,41%,클리어런스,14,460,5.0,[혜원 PICK] CONTRAST COLLAR CROP STRIPE T-SHIRT [3COLORS],../01/28/일일_요약_260128_082734.md
TOP6,,,의류 - 데님,,11,2026-01-28,52668,50%,클리어런스,18,361,5.0,[지우 PICK] CURVED DENIM PANTS [3COLORS],../01/28/일일_요약_260128_082734.md
TOP7,,,의류 - 전체,,12,2026-02-01,279250,33%,클리어런스,19,2836,4.4,[지우 PICK] REVERSIBLE FAUX FUR PADDED JUMPER [KHAKI],./01/일일_요약_260201_082801.md
TOP8,,,의류 - 티셔츠,,14,2026-01-28,48530,62%,클리어런스,2,106,5.0,LOVE SYMBOL HALF ZIP-UP [MELANGE GREY][NAVY],../01/28/일일_요약_260128_082734.md
TOP9,,,의류 - 아우터,,16,2026-01-29,223608,52%,클리어런스,83,5096,5.0,"[민경,유니 PICK] CLOUD TRENCH GOOSE DOWN COAT [IVORY][BLACK]",../01/29/일일_요약_260129_083050.md
TOP10,,,의류 - 스커트,,17,2026-01-31,75491,41%,클리어런스,17,827,5.0,"[유니,지우 PICK] NEW CLASSIC SUEDE LONG SKIRT [BROWN][CHOCOLATE]",../01/31/일일_요약_260131_083018.md
