유형,날짜,상품수,카테고리,평균순위,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
일별통계,2026-02-09,0,,,,,,,,,,,,
일별통계,2026-02-10,0,,,,,,,,,,,,
일별통계,2026-02-11,18,,,,,,,,,,,,
일별통계,2026-02-12,33,,,,,,,,,,,,
일별통계,2026-02-13,29,,,,,,,,,,,,
일별통계,2026-02-14,32,,,,,,,,,,,,
일별통계,2026-02-15,32,,,,,,,,,,,,
카테고리통계,,35,의류 - 아우터,84.9,4,,,,,,,,,
카테고리통계,,23,의류 - 전체,113.8,10,,,,,,,,,
카테고리통계,,21,의류 - 셔츠,110.6,13,,,,,,,,,
카테고리통계,,16,전체,116.8,12,,,,,,,,,
카테고리통계,,9,의류 - 스커트,99.9,17,,,,,,,,,
카테고리통계,,8,의류 - 원피스,130.6,48,,,,,,,,,
카테고리통계,,6,의류 - 데님,109.3,20,,,,,,,,,
카테고리통계,,6,가방 - 숄더백,105.3,14,,,,,,,,,
카테고리통계,,5,가방 - 백액세서리,19.8,1,,,,,,,,,
카테고리통계,,5,액세서리 - 모자,83.0,26,,,,,,,,,
카테고리통계,,4,가방 - 전체,107.2,30,,,,,,,,,
카테고리통계,,3,의류 - 팬츠,101.0,33,,,,,,,,,
카테고리통계,,2,액세서리 - 스카프/머플러,92.5,63,,,,,,,,,
카테고리통계,,1,의류 - 티셔츠,107.0,107,,,,,,,,,
TOP1,,,가방 - 백액세서리,,1,2026-02-14,9600,70%,,110,1892,4.9,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],./14/일일_요약_260214_083552.md
TOP2,,,의류 - 아우터,,4,2026-02-13,117480,34%,,647,14517,4.9,[지우 PICK] (6차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],./13/일일_요약_260213_083457.md
TOP3,,,의류 - 셔츠,,13,2026-02-12,90816,30%,,7,653,5.0,[채랑 PICK] SHEER STRIPE COTTON SHIRT [WHITE][SKYBLUE],./12/일일_요약_260212_083728.md
TOP4,,,가방 - 숄더백,,14,2026-02-14,61920,28%,설연휴세일,18,468,5.0,GLOSSY CRESCENT MOON BAG [3COLORS],./14/일일_요약_260214_083552.md
TOP5,,,의류 - 스커트,,17,2026-02-12,54120,56%,,7,339,5.0,TUCK DETAIL FLARE LONG SKIRT [BEIGE][BROWN],./12/일일_요약_260212_083728.md
TOP6,,,의류 - 데님,,20,2026-02-14,75600,28%,설연휴세일,19,394,5.0,"[채랑,지우 PICK] CURVED DENIM PANTS [3COLORS]",./14/일일_요약_260214_083552.md
TOP7,,,액세서리 - 모자,,26,2026-02-13,23600,60%,,1,30,5.0,[리퍼브] LOVE LETTERING BALL CAP [BLACK],./13/일일_요약_260213_083457.md
TOP8,,,의류 - 아우터,,27,2026-02-14,61830,73%,,150,3294,4.9,EMBROIDERY PADDING JACKET [3COLORS],./14/일일_요약_260214_083552.md
TOP9,,,의류 - 스커트,,29,2026-02-12,61200,60%,,0,13,,[리퍼브] LOW-RISE PLEATS MIDI SKIRT (BELT SET)[BEIGE][NAVY BLACK],./12/일일_요약_260212_083728.md
TOP10,,,의류 - 팬츠,,33,2026-02-13,24816,74%,설연휴세일,6,228,4.8,VELVET SEMI BOOTS CUT PANTS [BLACK],./13/일일_요약_260213_083457.md
