유형,날짜,상품수,카테고리,평균순위,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
일별통계,2026-02-16,17,,,,,,,,,,,,
일별통계,2026-02-17,20,,,,,,,,,,,,
일별통계,2026-02-18,13,,,,,,,,,,,,
일별통계,2026-02-19,20,,,,,,,,,,,,
일별통계,2026-02-20,13,,,,,,,,,,,,
일별통계,2026-02-21,13,,,,,,,,,,,,
일별통계,2026-02-22,16,,,,,,,,,,,,
카테고리통계,,28,의류 - 아우터,81.3,6,,,,,,,,,
카테고리통계,,16,의류 - 셔츠,120.2,28,,,,,,,,,
카테고리통계,,14,의류 - 전체,98.6,7,,,,,,,,,
카테고리통계,,11,의류 - 원피스,133.0,10,,,,,,,,,
카테고리통계,,9,전체,73.8,7,,,,,,,,,
카테고리통계,,7,의류 - 스커트,95.1,7,,,,,,,,,
카테고리통계,,6,의류 - 데님,120.2,42,,,,,,,,,
카테고리통계,,5,의류 - 팬츠,102.6,19,,,,,,,,,
카테고리통계,,5,가방 - 백액세서리,75.0,6,,,,,,,,,
카테고리통계,,3,의류 - 티셔츠,92.0,68,,,,,,,,,
카테고리통계,,2,액세서리 - 스카프/머플러,126.5,90,,,,,,,,,
카테고리통계,,2,의류 - 블라우스,87.5,87,,,,,,,,,
카테고리통계,,2,액세서리 - 패션액세서리,162.5,146,,,,,,,,,
카테고리통계,,1,의류 - 니트,159.0,159,,,,,,,,,
카테고리통계,,1,가방 - 전체,154.0,154,,,,,,,,,
TOP1,,,의류 - 아우터,,6,2026-02-22,120150,32%,설연휴세일,653,14682,4.9,(6차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],./22/일일_요약_260222_082923.md
TOP2,,,가방 - 백액세서리,,6,2026-02-22,16000,50%,설연휴세일,117,1910,4.9,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],./22/일일_요약_260222_082923.md
TOP3,,,의류 - 스커트,,7,2026-02-19,69054,41%,설연휴세일,448,14061,4.9,(12차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],./19/일일_요약_260219_083518.md
TOP4,,,의류 - 원피스,,10,2026-02-17,56430,58%,,38,3647,4.9,FLORAL PRINT ROBE MAXI DRESS [LIME YELLOW],./17/일일_요약_260217_083434.md
TOP5,,,의류 - 아우터,,16,2026-02-22,182250,55%,설연휴세일,36,1460,4.9,HANDMADE CASHMERE HOODED COAT [3COLORS],./22/일일_요약_260222_082923.md
TOP6,,,의류 - 팬츠,,19,2026-02-17,26334,75%,설연휴세일,31,217,4.9,HACIE BANDING OVER-FIT TROUSER [BLACK],./17/일일_요약_260217_083434.md
TOP7,,,의류 - 아우터,,19,2026-02-21,207900,46%,,15,702,4.9,GOOSE DOWN TRENCH COAT [BLACK],./21/일일_요약_260221_083327.md
TOP8,,,의류 - 아우터,,28,2026-02-16,140040,64%,설연휴세일,33,1301,4.9,"[채랑,혜원 PICK] HIGH NECK BELTED GOOSE DOWN LONG COAT [LIGHT KHAKI][DARK GREY]",./16/일일_요약_260216_083223.md
TOP9,,,의류 - 셔츠,,28,2026-02-16,81270,37%,설연휴세일,19,664,4.8,[채랑 PICK] OVERSIZE STANDARD STRIPE SHIRT [IVORY][PINK],./16/일일_요약_260216_083223.md
TOP10,,,의류 - 아우터,,33,2026-02-19,57433,75%,설연휴세일,157,3380,4.9,EMBROIDERY PADDING JACKET [3COLORS],./19/일일_요약_260219_083518.md
