날짜,시간,상품코드,브랜드코드,브랜드명,브랜드영문명,depth1_카테고리,depth2_카테고리,depth3_카테고리,순위,상품명,상품라벨앞,상품라벨뒤,서브상품명,정상가,판매가,최종판매가,가격,할인율,상품URL,상품이미지URL,세일태그,정보태그,당일배송,리뷰수,찜수,리뷰평점,상품상태코드,상품타입코드,이벤트시작,이벤트종료,컨텐츠정보
2026-05-04,08:37,306918731,105980,하시에,HACIE,의류,전체,셔츠,175,[여민 PICK] (7차 리오더) OVERSIZE DOLMAN SLEEVE SHEER SHIRT [6COLORS],[한정특가],,[한정특가],129000,103200,86275,86275,33%,https://m.wconcept.co.kr/Product/306918731,https://product-image.wconcept.co.kr/productimg/image/img1/31/306918731_GG51617.jpg,여름준비,"쿠폰,단독",Y,134,2391,4.9,01,15,2025-08-11T10:00:00,2025-08-14T10:00:00,"{'contentType': 'STYLE_CLIP', 'id': 37311, 'profileSeqNo': 1047, 'vid': 'v1119cg50000d2ra09vak5v2u79gi0t0', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/37311'}"
2026-05-04,08:37,306918730,105980,하시에,HACIE,의류,아우터,자켓,105,SANDY BEACH OPEN COLLAR JACKET [IVORY],[한정특가],,[한정특가],169000,118300,98899,98899,41%,https://m.wconcept.co.kr/Product/306918730,https://product-image.wconcept.co.kr/productimg/image/img1/30/306918730_HG16848.jpg,여름준비,"쿠폰,단독",Y,1,53,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-05-04,08:37,308102373,105980,하시에,HACIE,의류,아우터,점퍼,200,"[경은,지인 PICK] EMB LOGO VINTAGE WASHED COTTON BLOUSON [3COLORS]",[한정특가],,[한정특가],199000,179100,149728,149728,25%,https://m.wconcept.co.kr/Product/308102373,https://product-image.wconcept.co.kr/productimg/image/img1/73/308102373_GH14269.jpg,여름준비,"쿠폰,단독",Y,30,2044,5.0,01,15,2026-03-16T10:00:00,2026-03-17T10:00:00,
2026-05-04,08:37,302768208,105980,하시에,HACIE,의류,원피스,맥시,42,[단독](18차 리오더) AVEC HACIE COTTON LONG DRESS [IVORY][CHARCOAL],[5월 펀딩],,[5월 펀딩],94000,75200,62867,62867,33%,https://m.wconcept.co.kr/Product/302768208,https://product-image.wconcept.co.kr/productimg/image/img1/08/302768208_MK45677.jpg,여름준비,"쿠폰,단독",N,1130,14528,4.9,01,23,2026-05-01T10:00:00,2026-05-11T18:00:00,
2026-05-04,08:37,306918731,105980,하시에,HACIE,의류,셔츠,셔츠,20,[여민 PICK] (7차 리오더) OVERSIZE DOLMAN SLEEVE SHEER SHIRT [6COLORS],[한정특가],,[한정특가],129000,103200,86275,86275,33%,https://m.wconcept.co.kr/Product/306918731,https://product-image.wconcept.co.kr/productimg/image/img1/31/306918731_GG51617.jpg,여름준비,"쿠폰,단독",Y,134,2391,4.9,01,15,2025-08-11T10:00:00,2025-08-14T10:00:00,"{'contentType': 'STYLE_CLIP', 'id': 37311, 'profileSeqNo': 1047, 'vid': 'v1119cg50000d2ra09vak5v2u79gi0t0', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/37311'}"
2026-05-04,08:37,308102392,105980,하시에,HACIE,의류,스커트,롱,46,"[여민,지인,경은 PICK] (3차 리오더) CREASE SATIN LAYERED LONG SKIRT [IVORY][BLACK]",[한정특가],,[한정특가],129000,116100,97060,97060,25%,https://m.wconcept.co.kr/Product/308102392,https://product-image.wconcept.co.kr/productimg/image/img1/92/308102392_OG10108.jpg,여름준비,"쿠폰,단독",Y,57,3184,5.0,01,15,2026-04-17T00:00:00,2026-04-20T10:00:00,
2026-05-04,08:37,308102391,105980,하시에,HACIE,의류,스커트,미디,153,"[한빛,지인,유니 PICK] (1차 리오더) DOT PRINT LAYERED MID SKIRT [WHITE][BLACK]",[한정특가],,[한정특가],99000,89100,74488,74488,25%,https://m.wconcept.co.kr/Product/308102391,https://product-image.wconcept.co.kr/productimg/image/img1/91/308102391_NN17084.jpg,여름준비,"쿠폰,단독",Y,11,464,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-05-04,08:37,307414607,105980,하시에,HACIE,액세서리,스카프/머플러,스카프,50,(2차 리오더) WOOL BLENDED LEOPARD SHAWL MUFFLER [MOCHA],[한정특가],,[한정특가],105000,78750,65835,65835,37%,https://m.wconcept.co.kr/Product/307414607,https://product-image.wconcept.co.kr/productimg/image/img1/07/307414607_HG17229.jpg,여름준비,"쿠폰,단독",Y,14,325,4.6,01,15,2026-01-10T10:00:00,2026-01-11T10:00:00,
