날짜,시간,브랜드명,depth1_카테고리,depth2_카테고리,순위,상품명,가격,상품URL
2025-10-27,08:20,하시에,전체,전체,56,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],121040,https://m.wconcept.co.kr/Product/303596201
2025-10-27,08:20,하시에,전체,전체,189,FOX FUR HOODED GOOSE DOWN LONG JUMPER [3COLORS],265710,https://m.wconcept.co.kr/Product/301497840
2025-10-27,08:20,하시에,의류,전체,50,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],121040,https://m.wconcept.co.kr/Product/303596201
2025-10-27,08:20,하시에,의류,전체,157,FOX FUR HOODED GOOSE DOWN LONG JUMPER [3COLORS],265710,https://m.wconcept.co.kr/Product/301497840
2025-10-27,08:20,하시에,의류,전체,191,FOX FUR TRENCH GOOSE DOWN COAT [BEIGE][BLACK],239190,https://m.wconcept.co.kr/Product/303596782
2025-10-27,08:20,하시에,의류,아우터,38,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],121040,https://m.wconcept.co.kr/Product/303596201
2025-10-27,08:20,하시에,의류,아우터,104,FOX FUR HOODED GOOSE DOWN LONG JUMPER [3COLORS],265710,https://m.wconcept.co.kr/Product/301497840
2025-10-27,08:20,하시에,의류,아우터,124,FOX FUR TRENCH GOOSE DOWN COAT [BEIGE][BLACK],239190,https://m.wconcept.co.kr/Product/303596782
2025-10-27,08:20,하시에,의류,아우터,146,(2차 리오더) HANDMADE CASHMERE DOUBLE COAT [3COLORS],315600,https://m.wconcept.co.kr/Product/303596346
2025-10-27,08:20,하시에,의류,셔츠,134,[채랑 PICK] OVERSIZE STANDARD STRIPE SHIRT [IVORY][PINK],90816,https://m.wconcept.co.kr/Product/307414592
2025-10-27,08:20,하시에,의류,스커트,97,WHIP CORD WRAP SKIRT [BLACK],121088,https://m.wconcept.co.kr/Product/306668436
2025-10-27,08:20,하시에,의류,스커트,145,OUT POCKET DETAIL QUILTED PADDING SKORT [4COLORS],76032,https://m.wconcept.co.kr/Product/302115538
2025-10-27,08:20,하시에,의류,스커트,176,(11차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],83072,https://m.wconcept.co.kr/Product/306105637
2025-10-27,08:20,하시에,가방,전체,84,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],82500,https://m.wconcept.co.kr/Product/307456275
2025-10-27,08:20,하시에,가방,숄더백,43,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],82500,https://m.wconcept.co.kr/Product/307456275
2025-10-27,08:20,하시에,가방,숄더백,186,CRESCENT MOON BAG [5COLORS],52976,https://m.wconcept.co.kr/Product/303596708
