날짜,시간,상품코드,브랜드코드,브랜드명,브랜드영문명,depth1_카테고리,depth2_카테고리,depth3_카테고리,순위,상품명,상품라벨앞,상품라벨뒤,서브상품명,정상가,판매가,최종판매가,가격,할인율,상품URL,상품이미지URL,세일태그,정보태그,당일배송,리뷰수,찜수,리뷰평점,상품상태코드,상품타입코드,이벤트시작,이벤트종료,컨텐츠정보
2025-12-11,08:22,303596278,105980,하시에,HACIE,의류,전체,패딩,184,(5차 리오더) OVERFIT QUILTED GOOSE DOWN PONCHO [4COLORS],,,,186000,111600,93097,93097,50%,https://m.wconcept.co.kr/Product/303596278,https://product-image.wconcept.co.kr/productimg/image/img1/78/303596278_OJ11173.jpg,홀리데이,"쿠폰,단독",Y,265,3959,4.9,01,15,2024-11-21T10:00:00,2024-11-22T10:00:00,"{'contentType': 'STYLE_CLIP', 'id': 47290, 'profileSeqNo': 8522, 'vid': 'v0019cg00000d4pnc5n3kslfp3cd8ibg', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/47290'}"
2025-12-11,08:22,303596278,105980,하시에,HACIE,의류,아우터,패딩,93,(5차 리오더) OVERFIT QUILTED GOOSE DOWN PONCHO [4COLORS],,,,186000,111600,93097,93097,50%,https://m.wconcept.co.kr/Product/303596278,https://product-image.wconcept.co.kr/productimg/image/img1/78/303596278_OJ11173.jpg,홀리데이,"쿠폰,단독",Y,265,3959,4.9,01,15,2024-11-21T10:00:00,2024-11-22T10:00:00,"{'contentType': 'STYLE_CLIP', 'id': 47290, 'profileSeqNo': 8522, 'vid': 'v0019cg00000d4pnc5n3kslfp3cd8ibg', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/47290'}"
2025-12-11,08:22,303596758,105980,하시에,HACIE,의류,아우터,패딩,110,FOX FUR HOODED GOOSE DOWN JACKET [3COLORS],,,,432000,259200,216225,216225,50%,https://m.wconcept.co.kr/Product/303596758,https://product-image.wconcept.co.kr/productimg/image/img1/58/303596758_HG13987.jpg,홀리데이,"쿠폰,단독",Y,172,6497,4.9,01,15,2025-01-17T10:00:00,2025-01-18T10:00:00,
2025-12-11,08:22,306146259,105980,하시에,HACIE,의류,아우터,패딩,157,[민경 PICK] CLOUD TRENCH GOOSE DOWN COAT [IVORY][BLACK],,,,462000,254100,211970,211970,54%,https://m.wconcept.co.kr/Product/306146259,https://product-image.wconcept.co.kr/productimg/image/img1/59/306146259_GJ18226.jpg,홀리데이,"쿠폰,단독",Y,55,3931,4.9,01,15,2025-12-06T10:00:00,2025-12-07T10:00:00,
2025-12-11,08:22,306105649,105980,하시에,HACIE,의류,아우터,패딩,159,IRREGULAR STITCHED GOOSE DOWN JACKET [3COLORS],,,,232000,104400,87090,87090,62%,https://m.wconcept.co.kr/Product/306105649,https://product-image.wconcept.co.kr/productimg/image/img1/49/306105649_GG13572.jpg,홀리데이,"쿠폰,단독",Y,23,1466,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2025-12-11,08:22,307456259,105980,하시에,HACIE,의류,아우터,코트,162,[여름 PICK] SHAWL COLLAR CASHMERE BLENDED HANDMADE COAT [MELANGE GREY][BLACK],,,,369000,221400,184692,184692,50%,https://m.wconcept.co.kr/Product/307456259,https://product-image.wconcept.co.kr/productimg/image/img1/59/307456259_GI19480.jpg,홀리데이,"쿠폰,단독",Y,3,183,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2025-12-11,08:22,306157282,105980,하시에,HACIE,의류,아우터,패딩,182,[단독기획]COZY LUSTER DOWN PUFFER JACKET [4COLORS],,,,365000,127750,106569,106569,71%,https://m.wconcept.co.kr/Product/306157282,https://product-image.wconcept.co.kr/productimg/image/img1/82/306157282_GG19189.jpg,홀리데이,"쿠폰,단독",Y,33,1601,4.8,01,15,2025-01-26T10:00:00,2025-01-27T10:00:00,"{'contentType': 'STYLE_CLIP', 'id': 46702, 'profileSeqNo': 1047, 'vid': 'v0019cg00000d4mlp773ksl8kcqciip0', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/46702'}"
2025-12-11,08:22,306105604,105980,하시에,HACIE,의류,원피스,맥시,29,(3차 리오더) ONE BUTTON DETAIL SLEEVELESS DRESS [BLACK],[한정특가],,[한정특가],159000,111300,92846,92846,42%,https://m.wconcept.co.kr/Product/306105604,https://product-image.wconcept.co.kr/productimg/image/img1/04/306105604_LG11958.jpg,홀리데이,"쿠폰,단독",Y,32,3107,4.9,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2025-12-11,08:22,301267857,105980,하시에,HACIE,의류,블라우스,블라우스,131,PUFF-SLEEVE BACK POINT BLOUSE [4COLORS],,,,77000,38500,32117,32117,58%,https://m.wconcept.co.kr/Product/301267857,https://product-image.wconcept.co.kr/productimg/image/img1/57/301267857_GG14010.jpg,홀리데이,"쿠폰,단독",Y,235,2992,4.9,01,15,2022-03-28T10:00:00,2022-04-04T10:00:00,
2025-12-11,08:22,307414592,105980,하시에,HACIE,의류,셔츠,셔츠,2,"[채랑,유니 PICK] OVERSIZE STANDARD STRIPE SHIRT [IVORY][PINK]",,,,129000,90300,75328,75328,42%,https://m.wconcept.co.kr/Product/307414592,https://product-image.wconcept.co.kr/productimg/image/img1/92/307414592_OG28690.jpg,홀리데이,"쿠폰,단독",Y,14,594,4.7,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2025-12-11,08:22,306668472,105980,하시에,HACIE,의류,셔츠,셔츠,132,[여름 PICK] (3차 리오더) BLUE STRIPE COTTON SHIRT [BLUE],,,,119000,95200,79416,79416,33%,https://m.wconcept.co.kr/Product/306668472,https://product-image.wconcept.co.kr/productimg/image/img1/72/306668472_GG19442.jpg,홀리데이,"쿠폰,단독",Y,43,899,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2025-12-11,08:22,306105637,105980,하시에,HACIE,의류,스커트,롱,65,[민경 PICK](12차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],,,,118000,82600,68905,68905,42%,https://m.wconcept.co.kr/Product/306105637,https://product-image.wconcept.co.kr/productimg/image/img1/37/306105637_HG61726.jpg,홀리데이,"쿠폰,단독",Y,411,14119,4.9,01,15,2025-11-07T10:00:00,2025-11-10T10:00:00,
2025-12-11,08:22,306105634,105980,하시에,HACIE,의류,팬츠,와이드,21,[여름 PICK] NEW CLASSIC WAIST BANDING PANTS [3COLORS],,,,135000,94500,78832,78832,42%,https://m.wconcept.co.kr/Product/306105634,https://product-image.wconcept.co.kr/productimg/image/img1/34/306105634_HJ14290.jpg,홀리데이,"쿠폰,단독",Y,28,348,4.9,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
