날짜,시간,브랜드명,depth1_카테고리,depth2_카테고리,순위,상품명,가격,상품URL
2025-10-24,08:20,하시에,전체,전체,14,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],114988,https://m.wconcept.co.kr/Product/303596201
2025-10-24,08:20,하시에,의류,전체,14,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],114988,https://m.wconcept.co.kr/Product/303596201
2025-10-24,08:20,하시에,의류,전체,197,COLLARLESS GOOSE DOWN JACKET [BLACK],88616,https://m.wconcept.co.kr/Product/303596270
2025-10-24,08:20,하시에,의류,아우터,8,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],114988,https://m.wconcept.co.kr/Product/303596201
2025-10-24,08:20,하시에,의류,아우터,102,COLLARLESS GOOSE DOWN JACKET [BLACK],88616,https://m.wconcept.co.kr/Product/303596270
2025-10-24,08:20,하시에,의류,아우터,117,LIGHT WEIGHT HOODED GOOSE DOWN COAT [BLACK],203490,https://m.wconcept.co.kr/Product/306157288
2025-10-24,08:20,하시에,의류,아우터,127,FAUX LEATHER DETAIL QUILTED JACKET [BLACK],118137,https://m.wconcept.co.kr/Product/306105650
2025-10-24,08:20,하시에,의류,아우터,163,EMB LOGO OVERSIZE ZIP-UP HOODIE [MELANGE GREY][BLACK],102714,https://m.wconcept.co.kr/Product/307414593
2025-10-24,08:20,하시에,의류,아우터,186,(5차 리오더) OVERFIT QUILTED GOOSE DOWN PONCHO [4COLORS],105136,https://m.wconcept.co.kr/Product/303596278
2025-10-24,08:20,하시에,의류,아우터,198,HANDMADE CASHMERE HOODED COAT [3COLORS],228926,https://m.wconcept.co.kr/Product/306105744
2025-10-24,08:20,하시에,의류,블라우스,124,PUFF-SLEEVE BACK POINT BLOUSE [4COLORS],40656,https://m.wconcept.co.kr/Product/301267857
2025-10-24,08:20,하시에,의류,셔츠,26,[채랑 PICK] OVERSIZE STANDARD STRIPE SHIRT [IVORY][PINK],90816,https://m.wconcept.co.kr/Product/307414592
2025-10-24,08:20,하시에,의류,셔츠,99,[여름 PICK] (3차 리오더) OVERSIZE DOLMAN SLEEVE SHEER SHIRT [5COLORS],90816,https://m.wconcept.co.kr/Product/306918731
2025-10-24,08:20,하시에,의류,셔츠,131,[여름 PICK] (3차 리오더) BLUE STRIPE COTTON SHIRT [BLUE],83776,https://m.wconcept.co.kr/Product/306668472
2025-10-24,08:20,하시에,의류,스커트,29,(11차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],83072,https://m.wconcept.co.kr/Product/306105637
2025-10-24,08:20,하시에,의류,스커트,61,[채랑 PICK] (CHOCOLATE/S - 11/18 재입고) NEW CLASSIC SUEDE LONG SKIRT [BROWN][CHOCOLATE],90816,https://m.wconcept.co.kr/Product/307414600
2025-10-24,08:20,하시에,의류,스커트,177,UNBALANCED SLIT SATIN SKIRT [6COLORS],33880,https://m.wconcept.co.kr/Product/301213435
2025-10-24,08:20,하시에,의류,스커트,185,SIGNATURE BANDING GLOSSY FLARE SKIRT [IVORY][BLACK],77000,https://m.wconcept.co.kr/Product/305707678
2025-10-24,08:20,하시에,의류,팬츠,37,EMB LOGO JOGGER SWEATPANTS [MELANGE GREY][BLACK],95040,https://m.wconcept.co.kr/Product/307414603
2025-10-24,08:20,하시에,의류,데님,75,HAYLEY FLARE JEANS [MIDDLE BLUE],88264,https://m.wconcept.co.kr/Product/306918843
2025-10-24,08:20,하시에,의류,데님,147,[채랑 PICK] VINTAGE VELVET WIDE CURVED DENIM PANTS [3COLORS],104896,https://m.wconcept.co.kr/Product/307414606
2025-10-24,08:20,하시에,가방,전체,38,CRESCENT MOON BAG [5COLORS],52976,https://m.wconcept.co.kr/Product/303596708
2025-10-24,08:20,하시에,가방,전체,118,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],82500,https://m.wconcept.co.kr/Product/307456275
2025-10-24,08:20,하시에,가방,숄더백,23,CRESCENT MOON BAG [5COLORS],52976,https://m.wconcept.co.kr/Product/303596708
2025-10-24,08:20,하시에,가방,숄더백,58,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],82500,https://m.wconcept.co.kr/Product/307456275
2025-10-24,08:20,하시에,가방,숄더백,163,[채랑 PICK] TWIST STRAP LEATHER MINI BAG [BLACK],69696,https://m.wconcept.co.kr/Product/306772184
2025-10-24,08:20,하시에,가방,백액세서리,181,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],16896,https://m.wconcept.co.kr/Product/306105587
2025-10-24,08:20,하시에,액세서리,스카프/머플러,177,GLOSSY GOOSE DOWN MUFFLER [4COLORS],44352,https://m.wconcept.co.kr/Product/306157258
