날짜,시간,상품코드,브랜드코드,브랜드명,브랜드영문명,depth1_카테고리,depth2_카테고리,depth3_카테고리,순위,상품명,상품라벨앞,상품라벨뒤,서브상품명,정상가,판매가,최종판매가,가격,할인율,상품URL,상품이미지URL,세일태그,정보태그,당일배송,리뷰수,찜수,리뷰평점,상품상태코드,상품타입코드,이벤트시작,이벤트종료,컨텐츠정보
2026-02-06,08:28,303596164,105980,하시에,HACIE,전체,전체,패딩,20,EMBROIDERY PADDING JACKET [3COLORS],[단 하루 20%쿠폰],,[단 하루 20%쿠폰],229000,68700,54960,54960,76%,https://m.wconcept.co.kr/Product/303596164,https://product-image.wconcept.co.kr/productimg/image/img1/64/303596164_HH97107.jpg,,"쿠폰,단독",Y,134,3171,4.9,01,15,2024-11-07T10:00:00,2024-11-08T10:00:00,"{'contentType': 'STYLE_CLIP', 'id': 51117, 'profileSeqNo': 1047, 'vid': 'v1819cg00000d5ooifn3ksl3uv5as3j0', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/51117'}"
2026-02-06,08:28,303596751,105980,하시에,HACIE,전체,전체,패딩,109,TOGGLE BUTTON GOOSE DOWN LONG JUMPER [BLACK],[단 하루 20%쿠폰],,[단 하루 20%쿠폰],348000,104400,83520,83520,76%,https://m.wconcept.co.kr/Product/303596751,https://product-image.wconcept.co.kr/productimg/image/img1/51/303596751_NM18453.jpg,,"쿠폰,단독",Y,47,1543,4.7,01,15,2024-01-17T10:00:00,2024-01-18T10:00:00,
2026-02-06,08:28,308132834,105980,하시에,HACIE,전체,전체,코트,154,[리퍼브] HANDMADE CASHMERE HOODED COAT [3COLORS],,,,405000,60750,60750,60750,85%,https://m.wconcept.co.kr/Product/308132834,https://product-image.wconcept.co.kr/productimg/image/img1/34/308132834_GG86483.jpg,,단독,N,0,49,,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-02-06,08:28,303596164,105980,하시에,HACIE,의류,전체,패딩,12,EMBROIDERY PADDING JACKET [3COLORS],[단 하루 20%쿠폰],,[단 하루 20%쿠폰],229000,68700,54960,54960,76%,https://m.wconcept.co.kr/Product/303596164,https://product-image.wconcept.co.kr/productimg/image/img1/64/303596164_HH97107.jpg,,"쿠폰,단독",Y,134,3171,4.9,01,15,2024-11-07T10:00:00,2024-11-08T10:00:00,"{'contentType': 'STYLE_CLIP', 'id': 51117, 'profileSeqNo': 1047, 'vid': 'v1819cg00000d5ooifn3ksl3uv5as3j0', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/51117'}"
2026-02-06,08:28,303596751,105980,하시에,HACIE,의류,전체,패딩,64,TOGGLE BUTTON GOOSE DOWN LONG JUMPER [BLACK],[단 하루 20%쿠폰],,[단 하루 20%쿠폰],348000,104400,83520,83520,76%,https://m.wconcept.co.kr/Product/303596751,https://product-image.wconcept.co.kr/productimg/image/img1/51/303596751_NM18453.jpg,,"쿠폰,단독",Y,47,1543,4.7,01,15,2024-01-17T10:00:00,2024-01-18T10:00:00,
2026-02-06,08:28,308132834,105980,하시에,HACIE,의류,전체,코트,87,[리퍼브] HANDMADE CASHMERE HOODED COAT [3COLORS],,,,405000,60750,60750,60750,85%,https://m.wconcept.co.kr/Product/308132834,https://product-image.wconcept.co.kr/productimg/image/img1/34/308132834_GG86483.jpg,,단독,N,0,49,,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-02-06,08:28,302070873,105980,하시에,HACIE,의류,전체,자켓,193,STRING DETAIL GOOSE DOWN SHORT JACKET [3COLORS],[단 하루 20%쿠폰],,[단 하루 20%쿠폰],263000,78900,63120,63120,76%,https://m.wconcept.co.kr/Product/302070873,https://product-image.wconcept.co.kr/productimg/image/img1/73/302070873_JM39818.jpg,,"쿠폰,단독",Y,499,7710,4.9,01,15,2024-11-20T10:00:00,2024-11-21T10:00:00,
2026-02-06,08:28,303596164,105980,하시에,HACIE,의류,아우터,패딩,5,EMBROIDERY PADDING JACKET [3COLORS],[단 하루 20%쿠폰],,[단 하루 20%쿠폰],229000,68700,54960,54960,76%,https://m.wconcept.co.kr/Product/303596164,https://product-image.wconcept.co.kr/productimg/image/img1/64/303596164_HH97107.jpg,,"쿠폰,단독",Y,134,3171,4.9,01,15,2024-11-07T10:00:00,2024-11-08T10:00:00,"{'contentType': 'STYLE_CLIP', 'id': 51117, 'profileSeqNo': 1047, 'vid': 'v1819cg00000d5ooifn3ksl3uv5as3j0', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/51117'}"
2026-02-06,08:28,303596751,105980,하시에,HACIE,의류,아우터,패딩,30,TOGGLE BUTTON GOOSE DOWN LONG JUMPER [BLACK],[단 하루 20%쿠폰],,[단 하루 20%쿠폰],348000,104400,83520,83520,76%,https://m.wconcept.co.kr/Product/303596751,https://product-image.wconcept.co.kr/productimg/image/img1/51/303596751_NM18453.jpg,,"쿠폰,단독",Y,47,1543,4.7,01,15,2024-01-17T10:00:00,2024-01-18T10:00:00,
2026-02-06,08:28,308132834,105980,하시에,HACIE,의류,아우터,코트,39,[리퍼브] HANDMADE CASHMERE HOODED COAT [3COLORS],,,,405000,60750,60750,60750,85%,https://m.wconcept.co.kr/Product/308132834,https://product-image.wconcept.co.kr/productimg/image/img1/34/308132834_GG86483.jpg,,단독,N,0,49,,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
