날짜,시간,상품코드,브랜드코드,브랜드명,브랜드영문명,depth1_카테고리,depth2_카테고리,depth3_카테고리,순위,상품명,상품라벨앞,상품라벨뒤,서브상품명,정상가,판매가,최종판매가,가격,할인율,상품URL,상품이미지URL,세일태그,정보태그,당일배송,리뷰수,찜수,리뷰평점,상품상태코드,상품타입코드,이벤트시작,이벤트종료,컨텐츠정보
2025-12-07,08:22,306146259,105980,하시에,HACIE,전체,전체,패딩,7,CLOUD TRENCH GOOSE DOWN COAT [IVORY][BLACK],[단독특가],,[단독특가],462000,231000,188727,188727,59%,https://m.wconcept.co.kr/Product/306146259,https://product-image.wconcept.co.kr/productimg/image/img1/59/306146259_JG16757.jpg,홀리데이,"쿠폰,단독",Y,49,3636,4.9,01,15,2025-12-06T10:00:00,2025-12-07T10:00:00,
2025-12-07,08:22,307731244,105980,하시에,HACIE,전체,전체,패딩,140,[혜원 PICK] HIGH NECK BELTED GOOSE DOWN LONG COAT [LIGHT KHAKI][DARK GREY],[한정특가],,[한정특가],389000,233400,190688,190688,51%,https://m.wconcept.co.kr/Product/307731244,https://product-image.wconcept.co.kr/productimg/image/img1/44/307731244_HO40889.jpg,홀리데이,"쿠폰,단독",Y,15,506,4.9,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2025-12-07,08:22,306146259,105980,하시에,HACIE,의류,전체,패딩,7,CLOUD TRENCH GOOSE DOWN COAT [IVORY][BLACK],[단독특가],,[단독특가],462000,231000,188727,188727,59%,https://m.wconcept.co.kr/Product/306146259,https://product-image.wconcept.co.kr/productimg/image/img1/59/306146259_JG16757.jpg,홀리데이,"쿠폰,단독",Y,49,3636,4.9,01,15,2025-12-06T10:00:00,2025-12-07T10:00:00,
2025-12-07,08:22,307731244,105980,하시에,HACIE,의류,전체,패딩,112,[혜원 PICK] HIGH NECK BELTED GOOSE DOWN LONG COAT [LIGHT KHAKI][DARK GREY],[한정특가],,[한정특가],389000,233400,190688,190688,51%,https://m.wconcept.co.kr/Product/307731244,https://product-image.wconcept.co.kr/productimg/image/img1/44/307731244_HO40889.jpg,홀리데이,"쿠폰,단독",Y,15,506,4.9,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2025-12-07,08:22,306146259,105980,하시에,HACIE,의류,아우터,패딩,6,CLOUD TRENCH GOOSE DOWN COAT [IVORY][BLACK],[단독특가],,[단독특가],462000,231000,188727,188727,59%,https://m.wconcept.co.kr/Product/306146259,https://product-image.wconcept.co.kr/productimg/image/img1/59/306146259_JG16757.jpg,홀리데이,"쿠폰,단독",Y,49,3636,4.9,01,15,2025-12-06T10:00:00,2025-12-07T10:00:00,
2025-12-07,08:22,307731244,105980,하시에,HACIE,의류,아우터,패딩,72,[혜원 PICK] HIGH NECK BELTED GOOSE DOWN LONG COAT [LIGHT KHAKI][DARK GREY],[한정특가],,[한정특가],389000,233400,190688,190688,51%,https://m.wconcept.co.kr/Product/307731244,https://product-image.wconcept.co.kr/productimg/image/img1/44/307731244_HO40889.jpg,홀리데이,"쿠폰,단독",Y,15,506,4.9,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2025-12-07,08:22,306117185,105980,하시에,HACIE,의류,아우터,패딩,129,[모찌언니 PICK] WHITE FOX FUR DOWN LONG JUMPER [NAVY],[단독특가],,[단독특가],508000,355600,300600,300600,41%,https://m.wconcept.co.kr/Product/306117185,https://product-image.wconcept.co.kr/productimg/image/img1/85/306117185_GG13521.jpg,홀리데이,"쿠폰,단독",N,54,3755,4.9,01,23,2025-12-01T10:00:00,2025-12-10T18:00:00,
2025-12-07,08:22,303596758,105980,하시에,HACIE,의류,아우터,패딩,183,FOX FUR HOODED GOOSE DOWN JACKET [3COLORS],[단독특가],,[단독특가],432000,259200,211766,211766,51%,https://m.wconcept.co.kr/Product/303596758,https://product-image.wconcept.co.kr/productimg/image/img1/58/303596758_HG13987.jpg,홀리데이,"쿠폰,단독",Y,170,6463,4.9,01,15,2025-01-17T10:00:00,2025-01-18T10:00:00,
2025-12-07,08:22,306105604,105980,하시에,HACIE,의류,원피스,맥시,42,(3차 리오더) ONE BUTTON DETAIL SLEEVELESS DRESS [BLACK],[한정특가],,[한정특가],159000,111300,95718,95718,40%,https://m.wconcept.co.kr/Product/306105604,https://product-image.wconcept.co.kr/productimg/image/img1/04/306105604_LG11958.jpg,홀리데이,"쿠폰,단독",Y,28,2961,4.9,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2025-12-07,08:22,302768208,105980,하시에,HACIE,의류,원피스,맥시,162,[단독](16차 리오더) AVEC HACIE COTTON LONG DRESS [CHARCOAL],[단독특가],,[단독특가],94000,70500,60630,60630,36%,https://m.wconcept.co.kr/Product/302768208,https://product-image.wconcept.co.kr/productimg/image/img1/08/302768208_LH50076.jpg,홀리데이,"쿠폰,단독",Y,654,8059,4.9,01,15,2025-09-15T10:00:00,2025-09-16T10:00:00,
2025-12-07,08:22,303596376,105980,하시에,HACIE,의류,원피스,맥시,199,AVEC HACIE JERSEY HOOD LONG DRESS [LIGHT PINK],[단독특가],,[단독특가],115000,57500,49450,49450,57%,https://m.wconcept.co.kr/Product/303596376,https://product-image.wconcept.co.kr/productimg/image/img1/76/303596376_GO16607.jpg,홀리데이,"쿠폰,단독",Y,25,390,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2025-12-07,08:22,307414592,105980,하시에,HACIE,의류,셔츠,셔츠,155,"[채랑,유니 PICK] OVERSIZE STANDARD STRIPE SHIRT [IVORY][PINK]",[단독특가],,[단독특가],129000,90300,77658,77658,40%,https://m.wconcept.co.kr/Product/307414592,https://product-image.wconcept.co.kr/productimg/image/img1/92/307414592_OG28690.jpg,홀리데이,"쿠폰,단독",Y,12,580,4.7,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
