날짜,시간,상품코드,브랜드코드,브랜드명,브랜드영문명,depth1_카테고리,depth2_카테고리,depth3_카테고리,순위,상품명,상품라벨앞,상품라벨뒤,서브상품명,정상가,판매가,최종판매가,가격,할인율,상품URL,상품이미지URL,세일태그,정보태그,당일배송,리뷰수,찜수,리뷰평점,상품상태코드,상품타입코드,이벤트시작,이벤트종료,컨텐츠정보
2026-01-08,08:25,306157323,105980,하시에,HACIE,전체,전체,패딩,92,TRENCH DETAIL GOOSE DOWN FOX FUR JACKET [BROWN][BLACK],[20%쿠폰][한정특가],,[20%쿠폰],442000,397800,318240,318240,28%,https://m.wconcept.co.kr/Product/306157323,https://product-image.wconcept.co.kr/productimg/image/img1/23/306157323_HG20763.jpg,뉴이어위크,"쿠폰,단독",Y,20,1850,4.7,01,15,2025-12-01T10:00:00,2025-12-10T18:00:00,
2026-01-08,08:25,306157323,105980,하시에,HACIE,의류,전체,패딩,80,TRENCH DETAIL GOOSE DOWN FOX FUR JACKET [BROWN][BLACK],[20%쿠폰][한정특가],,[20%쿠폰],442000,397800,318240,318240,28%,https://m.wconcept.co.kr/Product/306157323,https://product-image.wconcept.co.kr/productimg/image/img1/23/306157323_HG20763.jpg,뉴이어위크,"쿠폰,단독",Y,20,1850,4.7,01,15,2025-12-01T10:00:00,2025-12-10T18:00:00,
2026-01-08,08:25,306157323,105980,하시에,HACIE,의류,아우터,패딩,51,TRENCH DETAIL GOOSE DOWN FOX FUR JACKET [BROWN][BLACK],[20%쿠폰][한정특가],,[20%쿠폰],442000,397800,318240,318240,28%,https://m.wconcept.co.kr/Product/306157323,https://product-image.wconcept.co.kr/productimg/image/img1/23/306157323_HG20763.jpg,뉴이어위크,"쿠폰,단독",Y,20,1850,4.7,01,15,2025-12-01T10:00:00,2025-12-10T18:00:00,
2026-01-08,08:25,306157288,105980,하시에,HACIE,의류,아우터,패딩,106,LIGHT WEIGHT HOODED GOOSE DOWN COAT [BLACK],[20%쿠폰][한정특가],,[20%쿠폰],315000,299250,239400,239400,24%,https://m.wconcept.co.kr/Product/306157288,https://product-image.wconcept.co.kr/productimg/image/img1/88/306157288_JG11232.jpg,뉴이어위크,"쿠폰,단독",Y,79,4391,4.7,01,15,2026-01-08T10:00:00,2026-01-09T10:00:00,
2026-01-08,08:25,303596278,105980,하시에,HACIE,의류,아우터,패딩,126,(5차 리오더) OVERFIT QUILTED GOOSE DOWN PONCHO [4COLORS],[20%쿠폰][한정특가],,[20%쿠폰],186000,93000,74400,74400,60%,https://m.wconcept.co.kr/Product/303596278,https://product-image.wconcept.co.kr/productimg/image/img1/78/303596278_GG51600.jpg,뉴이어위크,"쿠폰,단독",Y,284,4206,4.9,01,15,2024-11-21T10:00:00,2024-11-22T10:00:00,"{'contentType': 'STYLE_CLIP', 'id': 47290, 'profileSeqNo': 8522, 'vid': 'v0019cg00000d4pnc5n3kslfp3cd8ibg', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/47290'}"
2026-01-08,08:25,306157278,105980,하시에,HACIE,의류,아우터,패딩,166,[채랑 PICK][단독기획] HEAVY DUMPLING DOWN JUMPER [3COLORS],[20%쿠폰][한정특가],,[20%쿠폰],398000,258700,206960,206960,48%,https://m.wconcept.co.kr/Product/306157278,https://product-image.wconcept.co.kr/productimg/image/img1/78/306157278_LO64735.jpg,뉴이어위크,"쿠폰,단독",Y,275,8628,4.9,01,15,2025-12-19T10:00:00,2025-12-24T10:00:00,"{'contentType': 'STYLE_CLIP', 'id': 18001, 'profileSeqNo': 1047, 'vid': 'v1119cg50000curb9u7ak5velm5jh68g', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/18001'}"
2026-01-08,08:25,307463098,105980,하시에,HACIE,의류,아우터,패딩,200,"[유니,채랑,지우 PICK] (2차 리오더) [단독기획] FOX FUR BELTED GOOSE DOWN [3COLORS]",[20%쿠폰][한정특가],,[20%쿠폰],389000,252850,202280,202280,48%,https://m.wconcept.co.kr/Product/307463098,https://product-image.wconcept.co.kr/productimg/image/img1/98/307463098_GN14128.jpg,뉴이어위크,"쿠폰,단독",Y,150,6139,4.9,01,15,2025-12-19T10:00:00,2025-12-24T10:00:00,"{'contentType': 'STYLE_CLIP', 'id': 47255, 'profileSeqNo': 1047, 'vid': 'v1819cg00000d4p8bgf3kslfgcd1nhe0', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/47255'}"
2026-01-08,08:25,306105604,105980,하시에,HACIE,의류,원피스,맥시,20,(3차 리오더) ONE BUTTON DETAIL SLEEVELESS DRESS [BLACK],[20%쿠폰][한정특가],,[20%쿠폰],159000,143100,114480,114480,28%,https://m.wconcept.co.kr/Product/306105604,https://product-image.wconcept.co.kr/productimg/image/img1/04/306105604_LG11958.jpg,뉴이어위크,"쿠폰,단독",Y,45,3805,4.9,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-01-08,08:25,306918733,105980,하시에,HACIE,의류,셔츠,셔츠,100,[채랑 PICK] SHEER STRIPE COTTON SHIRT [WHITE][SKYBLUE],[20%쿠폰][한정특가],,[20%쿠폰],129000,116100,92880,92880,28%,https://m.wconcept.co.kr/Product/306918733,https://product-image.wconcept.co.kr/productimg/image/img1/33/306918733_IO88843.jpg,뉴이어위크,"쿠폰,단독",Y,4,363,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-01-08,08:25,306668485,105980,하시에,HACIE,의류,셔츠,셔츠,124,[채랑 PICK] OPEN COLLAR STEADY SHIRT [WHITE],[20%쿠폰][한정특가],,[20%쿠폰],119000,107100,85680,85680,28%,https://m.wconcept.co.kr/Product/306668485,https://product-image.wconcept.co.kr/productimg/image/img1/85/306668485_OG21030.jpg,뉴이어위크,"쿠폰,단독",Y,11,100,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
