날짜,시간,상품코드,브랜드코드,브랜드명,브랜드영문명,depth1_카테고리,depth2_카테고리,depth3_카테고리,순위,상품명,상품라벨앞,상품라벨뒤,서브상품명,정상가,판매가,최종판매가,가격,할인율,상품URL,상품이미지URL,세일태그,정보태그,당일배송,리뷰수,찜수,리뷰평점,상품상태코드,상품타입코드,이벤트시작,이벤트종료,컨텐츠정보
2026-02-22,08:29,303596201,105980,하시에,HACIE,전체,전체,패딩,7,(6차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],,,,178000,133500,120150,120150,32%,https://m.wconcept.co.kr/Product/303596201,https://product-image.wconcept.co.kr/productimg/image/img1/01/303596201_KG17265.jpg,,"쿠폰,단독",Y,659,14851,4.9,01,15,2025-10-01T10:00:00,2025-10-10T18:00:00,"{'contentType': 'STYLE_CLIP', 'id': 41306, 'profileSeqNo': 1047, 'vid': 'v1119cg50000d3njqinak5v94bjs20m0', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/41306'}"
2026-02-22,08:29,306105744,105980,하시에,HACIE,전체,전체,코트,32,HANDMADE CASHMERE HOODED COAT [3COLORS],[한정특가],,[한정특가],405000,202500,182250,182250,55%,https://m.wconcept.co.kr/Product/306105744,https://product-image.wconcept.co.kr/productimg/image/img1/44/306105744_GG86483.jpg,,"쿠폰,단독",Y,37,1465,4.9,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-02-22,08:29,303596201,105980,하시에,HACIE,의류,전체,패딩,7,(6차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],,,,178000,133500,120150,120150,32%,https://m.wconcept.co.kr/Product/303596201,https://product-image.wconcept.co.kr/productimg/image/img1/01/303596201_KG17265.jpg,,"쿠폰,단독",Y,659,14851,4.9,01,15,2025-10-01T10:00:00,2025-10-10T18:00:00,"{'contentType': 'STYLE_CLIP', 'id': 41306, 'profileSeqNo': 1047, 'vid': 'v1119cg50000d3njqinak5v94bjs20m0', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/41306'}"
2026-02-22,08:29,306105744,105980,하시에,HACIE,의류,전체,코트,25,HANDMADE CASHMERE HOODED COAT [3COLORS],[한정특가],,[한정특가],405000,202500,182250,182250,55%,https://m.wconcept.co.kr/Product/306105744,https://product-image.wconcept.co.kr/productimg/image/img1/44/306105744_GG86483.jpg,,"쿠폰,단독",Y,37,1465,4.9,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-02-22,08:29,303596201,105980,하시에,HACIE,의류,아우터,패딩,6,(6차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],,,,178000,133500,120150,120150,32%,https://m.wconcept.co.kr/Product/303596201,https://product-image.wconcept.co.kr/productimg/image/img1/01/303596201_KG17265.jpg,,"쿠폰,단독",Y,659,14851,4.9,01,15,2025-10-01T10:00:00,2025-10-10T18:00:00,"{'contentType': 'STYLE_CLIP', 'id': 41306, 'profileSeqNo': 1047, 'vid': 'v1119cg50000d3njqinak5v94bjs20m0', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/41306'}"
2026-02-22,08:29,306105744,105980,하시에,HACIE,의류,아우터,코트,16,HANDMADE CASHMERE HOODED COAT [3COLORS],[한정특가],,[한정특가],405000,202500,182250,182250,55%,https://m.wconcept.co.kr/Product/306105744,https://product-image.wconcept.co.kr/productimg/image/img1/44/306105744_GG86483.jpg,,"쿠폰,단독",Y,37,1465,4.9,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-02-22,08:29,303596164,105980,하시에,HACIE,의류,아우터,패딩,85,EMBROIDERY PADDING JACKET [3COLORS],[한정특가],,[한정특가],229000,91600,82440,82440,64%,https://m.wconcept.co.kr/Product/303596164,https://product-image.wconcept.co.kr/productimg/image/img1/64/303596164_HH97107.jpg,,"쿠폰,단독",Y,166,3526,4.9,01,15,2024-11-07T10:00:00,2024-11-08T10:00:00,"{'contentType': 'STYLE_CLIP', 'id': 51117, 'profileSeqNo': 1047, 'vid': 'v1819cg00000d5ooifn3ksl3uv5as3j0', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/51117'}"
2026-02-22,08:29,307456255,105980,하시에,HACIE,의류,아우터,자켓,106,[ITALY] TWILL TEXTURE WOOL SHORT JACKET [BLACK],[한정특가],,[한정특가],339000,288150,259335,259335,24%,https://m.wconcept.co.kr/Product/307456255,https://product-image.wconcept.co.kr/productimg/image/img1/55/307456255_JG14584.jpg,,"쿠폰,단독",Y,13,701,4.8,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-02-22,08:29,305707576,105980,하시에,HACIE,의류,원피스,맥시,137,DRAPED TIE DETAIL DRESS [IVORY][BLACK],[한정특가],,[한정특가],209000,146300,131670,131670,37%,https://m.wconcept.co.kr/Product/305707576,https://product-image.wconcept.co.kr/productimg/image/img1/76/305707576_JI86186.jpg,,"쿠폰,단독",Y,8,927,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-02-22,08:29,302768241,105980,하시에,HACIE,의류,원피스,맥시,180,FLORAL PRINT ROBE MAXI DRESS [LIME YELLOW],[한정특가],,[한정특가],135000,94500,85050,85050,37%,https://m.wconcept.co.kr/Product/302768241,https://product-image.wconcept.co.kr/productimg/image/img1/41/302768241_FG10740.jpg,,"쿠폰,단독",Y,38,3738,4.9,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-02-22,08:29,306918734,105980,하시에,HACIE,의류,셔츠,셔츠,153,TULIP WIRE HEM LINE SHIRT [WHITE][BUTTER YELLOW],[한정특가],,[한정특가],129000,90300,81270,81270,37%,https://m.wconcept.co.kr/Product/306918734,https://product-image.wconcept.co.kr/productimg/image/img1/34/306918734_LG64191.jpg,,"쿠폰,단독",Y,3,161,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-02-22,08:29,306105637,105980,하시에,HACIE,의류,스커트,롱,189,(12차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],[한정특가],,[한정특가],118000,100300,90270,90270,24%,https://m.wconcept.co.kr/Product/306105637,https://product-image.wconcept.co.kr/productimg/image/img1/37/306105637_NM15448.jpg,,"쿠폰,단독",Y,448,14038,4.9,01,15,2025-11-07T10:00:00,2025-11-10T10:00:00,
2026-02-22,08:29,306105587,105980,하시에,HACIE,가방,전체,키링,154,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],[한정특가],,[한정특가],32000,16000,16000,16000,50%,https://m.wconcept.co.kr/Product/306105587,https://product-image.wconcept.co.kr/productimg/image/img1/87/306105587_GI38630.jpg,,단독,Y,118,1914,4.9,01,15,2025-08-16T10:00:00,2025-08-17T10:00:00,
2026-02-22,08:29,306105587,105980,하시에,HACIE,가방,백액세서리,키링,6,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],[한정특가],,[한정특가],32000,16000,16000,16000,50%,https://m.wconcept.co.kr/Product/306105587,https://product-image.wconcept.co.kr/productimg/image/img1/87/306105587_GI38630.jpg,,단독,Y,118,1914,4.9,01,15,2025-08-16T10:00:00,2025-08-17T10:00:00,
2026-02-22,08:29,306772176,105980,하시에,HACIE,액세서리,패션액세서리,벨트,146,REVERSE LEATHER BELT [BLACK&CAMEL],[한정특가],,[한정특가],77000,53900,48510,48510,37%,https://m.wconcept.co.kr/Product/306772176,https://product-image.wconcept.co.kr/productimg/image/img1/76/306772176_IG57083.jpg,,"쿠폰,단독",Y,1,56,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-02-22,08:29,306772177,105980,하시에,HACIE,액세서리,패션액세서리,벨트,179,ROUND BUCKLE LEATHER BELT [BLACK],[한정특가],,[한정특가],59000,41300,36300,36300,38%,https://m.wconcept.co.kr/Product/306772177,https://product-image.wconcept.co.kr/productimg/image/img1/77/306772177_HN20989.jpg,,"쿠폰,단독",Y,1,63,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
