유형,날짜,상품수,카테고리,평균순위,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
일별통계,2025-12-22,21,,,,,,,,,,,,
카테고리통계,,3,의류 - 아우터,91.0,52,,,,,,,,,
카테고리통계,,3,의류 - 셔츠,77.3,27,,,,,,,,,
카테고리통계,,3,의류 - 스커트,114.0,8,,,,,,,,,
카테고리통계,,3,의류 - 데님,85.7,22,,,,,,,,,
카테고리통계,,2,전체,96.5,93,,,,,,,,,
카테고리통계,,2,의류 - 전체,77.0,75,,,,,,,,,
카테고리통계,,1,의류 - 원피스,21.0,21,,,,,,,,,
카테고리통계,,1,의류 - 니트,60.0,60,,,,,,,,,
카테고리통계,,1,가방 - 전체,172.0,172,,,,,,,,,
카테고리통계,,1,가방 - 숄더백,97.0,97,,,,,,,,,
카테고리통계,,1,가방 - 백액세서리,147.0,147,,,,,,,,,
TOP1,,,의류 - 스커트,,8,2025-12-22,74340,37%,,420,14121,4.9,[민경 PICK](12차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],./22/일일_요약_251222_082248.md
TOP2,,,의류 - 원피스,,21,2025-12-22,114480,28%,,39,3372,4.9,(3차 리오더) ONE BUTTON DETAIL SLEEVELESS DRESS [BLACK],./22/일일_요약_251222_082248.md
TOP3,,,의류 - 데님,,22,2025-12-22,22950,73%,,50,920,4.8,SLIM STRAIGHT FIT DENIM PANTS [BLUE][BLACK],./22/일일_요약_251222_082248.md
TOP4,,,의류 - 셔츠,,27,2025-12-22,81270,37%,,15,625,4.7,"[채랑,유니 PICK] OVERSIZE STANDARD STRIPE SHIRT [IVORY][PINK]",./22/일일_요약_251222_082248.md
TOP5,,,의류 - 셔츠,,32,2025-12-22,81270,37%,,4,251,5.0,[채랑 PICK] SHEER STRIPE COTTON SHIRT [WHITE][SKYBLUE],./22/일일_요약_251222_082248.md
TOP6,,,의류 - 아우터,,52,2025-12-22,181497,61%,,65,4330,4.9,"[유니,민경 PICK] CLOUD TRENCH GOOSE DOWN COAT [IVORY][BLACK]",./22/일일_요약_251222_082248.md
TOP7,,,의류 - 아우터,,54,2025-12-22,104236,74%,,240,7119,4.9,[채랑 PICK][단독기획] HEAVY DUMPLING DOWN JUMPER [3COLORS],./22/일일_요약_251222_082248.md
TOP8,,,의류 - 니트,,60,2025-12-22,114480,28%,,31,1103,4.9,"[민경,채랑,유니 PICK] HAIRY PLUME KNIT CARDIGAN [3COLORS]",./22/일일_요약_251222_082248.md
TOP9,,,가방 - 숄더백,,97,2025-12-22,60544,30%,,166,6077,4.9,CRESCENT MOON BAG [4COLORS],./22/일일_요약_251222_082248.md
TOP10,,,의류 - 데님,,103,2025-12-22,39150,55%,,6,127,5.0,SIDE SLIT STRAIGHT DENIM PANTS [Pale Blue],./22/일일_요약_251222_082248.md
