유형,기간,상품수,일평균,카테고리,평균순위,평균가격,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
1주차,1주차,179,25.6,,,,,,,,,,,,,
2주차,2주차,157,22.4,,,,,,,,,,,,,
3주차,3주차,144,20.6,,,,,,,,,,,,,
4주차,4주차,176,25.1,,,,,,,,,,,,,
5주차,5주차,74,24.7,,,,,,,,,,,,,
카테고리통계,,173,,의류 - 아우터,98.4,"188,291",,,,,,,,,,
카테고리통계,,99,,의류 - 전체,94.1,"179,912",,,,,,,,,,
카테고리통계,,81,,전체,97.4,"186,957",,,,,,,,,,
카테고리통계,,79,,의류 - 셔츠,100.9,"82,013",,,,,,,,,,
카테고리통계,,58,,의류 - 스커트,93.8,"71,007",,,,,,,,,,
카테고리통계,,50,,가방 - 숄더백,94.1,"62,901",,,,,,,,,,
카테고리통계,,41,,의류 - 원피스,67.7,"93,985",,,,,,,,,,
카테고리통계,,35,,의류 - 데님,101.0,"74,462",,,,,,,,,,
카테고리통계,,31,,가방 - 백액세서리,69.6,"14,453",,,,,,,,,,
카테고리통계,,24,,가방 - 전체,95.2,"58,828",,,,,,,,,,
카테고리통계,,12,,의류 - 팬츠,126.1,"69,535",,,,,,,,,,
카테고리통계,,11,,의류 - 니트,91.5,"87,441",,,,,,,,,,
카테고리통계,,11,,액세서리 - 스카프/머플러,97.0,"49,854",,,,,,,,,,
카테고리통계,,9,,의류 - 티셔츠,120.1,"66,370",,,,,,,,,,
카테고리통계,,7,,액세서리 - 모자,114.3,"30,450",,,,,,,,,,
TOP1,,,,의류 - 스커트,,,1,2025-12-04,71036,40%,블랙위크,396,14097,4.9,(12차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],./04/일일_요약_251204_082118.md
TOP2,,,,의류 - 아우터,,,1,2025-12-23,104236,74%,홀리데이,206,6359,4.9,[채랑 PICK][단독기획] HEAVY DUMPLING DOWN JUMPER [3COLORS],./23/일일_요약_251223_082409.md
TOP3,,,,의류 - 셔츠,,,2,2025-12-11,75328,42%,블랙위크,10,557,5.0,"[채랑,유니 PICK] OVERSIZE STANDARD STRIPE SHIRT [IVORY][PINK]",./11/일일_요약_251211_082212.md
TOP4,,,,의류 - 원피스,,,2,2025-12-16,114798,28%,홀리데이,26,2787,4.9,(3차 리오더) ONE BUTTON DETAIL SLEEVELESS DRESS [BLACK],./16/일일_요약_251216_082445.md
TOP5,,,,가방 - 백액세서리,,,3,2025-12-03,14080,56%,블랙위크,75,1526,4.9,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],./03/일일_요약_251203_082237.md
TOP6,,,,의류 - 데님,,,3,2025-12-31,87165,42%,블랙위크,13,100,5.0,"(DARK BROWN/S,M-1/20, NAVY BLACK/S-2/3 재입고) [민경,유니,혜원 PICK] VINTAGE VELVET WIDE CURVED DENIM PANTS [3COLORS]",./31/일일_요약_251231_082327.md
TOP7,,,,의류 - 아우터,,,6,2025-12-07,188727,59%,홀리데이,44,3306,4.9,CLOUD TRENCH GOOSE DOWN COAT [IVORY][BLACK],./07/일일_요약_251207_082204.md
TOP8,,,,의류 - 아우터,,,6,2025-12-23,186778,52%,홀리데이,93,4909,4.9,"[유니,채랑,지우 PICK] (2차 리오더) [단독기획] FOX FUR BELTED GOOSE DOWN [3COLORS]",./23/일일_요약_251223_082409.md
TOP9,,,,액세서리 - 스카프/머플러,,,6,2025-12-24,66150,37%,홀리데이,10,259,4.6,WOOL BLENDED LEOPARD SHAWL MUFFLER [MOCHA],./24/일일_요약_251224_082332.md
TOP10,,,,의류 - 셔츠,,,7,2025-12-27,87570,37%,,24,755,4.9,HAILEY OVERSIZE CROPPED SHIRT [3COLORS],./27/일일_요약_251227_082408.md
TOP11,,,,의류 - 스커트,,,9,2025-12-28,64800,55%,홀리데이,76,1507,5.0,[채랑 PICK] OUT POCKET DETAIL QUILTED PADDING SKORT [IVORY][BEIGE],./28/일일_요약_251228_082305.md
TOP12,,,,의류 - 데님,,,10,2025-12-06,63210,40%,홀리데이,1,126,5.0,[채랑PICK] WASHED WIDE DENIM PANTS [MIDDLE BLUE],./06/일일_요약_251206_082239.md
TOP13,,,,가방 - 숄더백,,,13,2025-12-11,50219,42%,블랙위크,160,5706,4.9,CRESCENT MOON BAG [4COLORS],./11/일일_요약_251211_082212.md
