유형,기간,상품수,일평균,카테고리,평균순위,평균가격,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
TOP14,,,,의류 - 스커트,,,15,2025-12-18,90000,28%,,14,414,4.9,[채랑 PICK] SIGNATURE BANDING GLOSSY FLARE SKIRT [IVORY][BLACK],./18/일일_요약_251218_082424.md
TOP15,,,,의류 - 셔츠,,,15,2025-12-19,56250,55%,홀리데이,583,9592,4.9,(20차 리오더) LAYERED CUFFS SHIRTS [5COLORS],./19/일일_요약_251219_082425.md
TOP16,,,,의류 - 아우터,,,15,2025-12-30,365760,28%,홀리데이,54,3623,4.9,[채랑 PICK] WHITE FOX FUR DOWN LONG JUMPER [NAVY],./30/일일_요약_251230_082404.md
TOP17,,,,의류 - 셔츠,,,16,2025-12-25,101355,21%,블랙위크,3,179,5.0,[채랑 PICK] SHEER STRIPE COTTON SHIRT [WHITE][SKYBLUE],./25/일일_요약_251225_082355.md
TOP18,,,,액세서리 - 모자,,,16,2025-12-25,30267,49%,홀리데이,3,121,5.0,LOVE LETTERING BALL CAP [BLACK],./25/일일_요약_251225_082355.md
TOP19,,,,가방 - 숄더백,,,17,2025-12-06,75250,40%,홀리데이,15,4372,5.0,"[채랑,유니 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN]",./06/일일_요약_251206_082239.md
TOP20,,,,액세서리 - 패션액세서리,,,19,2025-12-27,37170,37%,연말결산,1,43,5.0,ROUND BUCKLE LEATHER BELT [CAMEL],./27/일일_요약_251227_082408.md
1주차_TOP1,1주차,,,의류 - 스커트,,,1,2025-12-04,71036,40%,,0,0,,(12차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],./2025년_12월_1주차_통계.md
1주차_TOP2,1주차,,,가방 - 백액세서리,,,3,2025-12-03,14080,56%,,0,0,,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],./2025년_12월_1주차_통계.md
1주차_TOP3,1주차,,,의류 - 아우터,,,6,2025-12-02,102684,74%,,0,0,,[채랑 PICK][단독기획] HEAVY DUMPLING DOWN JUMPER [3COLORS],./2025년_12월_1주차_통계.md
1주차_TOP4,1주차,,,의류 - 아우터,,,6,2025-12-07,188727,59%,,0,0,,CLOUD TRENCH GOOSE DOWN COAT [IVORY][BLACK],./2025년_12월_1주차_통계.md
1주차_TOP5,1주차,,,의류 - 셔츠,,,9,2025-12-03,73775,43%,,0,0,,"[채랑,유니 PICK] OVERSIZE STANDARD STRIPE SHIRT [IVORY][PINK]",./2025년_12월_1주차_통계.md
2주차_TOP1,2주차,,,의류 - 셔츠,,,2,2025-12-11,75328,42%,,0,0,,"[채랑,유니 PICK] OVERSIZE STANDARD STRIPE SHIRT [IVORY][PINK]",./2025년_12월_2주차_통계.md
2주차_TOP2,2주차,,,의류 - 원피스,,,7,2025-12-14,95718,40%,,0,0,,(3차 리오더) ONE BUTTON DETAIL SLEEVELESS DRESS [BLACK],./2025년_12월_2주차_통계.md
2주차_TOP3,2주차,,,의류 - 아우터,,,12,2025-12-09,211970,54%,,0,0,,CLOUD TRENCH GOOSE DOWN COAT [IVORY][BLACK],./2025년_12월_2주차_통계.md
2주차_TOP4,2주차,,,가방 - 숄더백,,,13,2025-12-11,50219,42%,,0,0,,CRESCENT MOON BAG [4COLORS],./2025년_12월_2주차_통계.md
2주차_TOP5,2주차,,,가방 - 백액세서리,,,13,2025-12-12,13347,58%,,0,0,,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],./2025년_12월_2주차_통계.md
3주차_TOP1,3주차,,,의류 - 원피스,,,2,2025-12-16,114798,28%,,0,0,,(3차 리오더) ONE BUTTON DETAIL SLEEVELESS DRESS [BLACK],./2025년_12월_3주차_통계.md
3주차_TOP2,3주차,,,의류 - 스커트,,,15,2025-12-18,90000,28%,,0,0,,[채랑 PICK] SIGNATURE BANDING GLOSSY FLARE SKIRT [IVORY][BLACK],./2025년_12월_3주차_통계.md
3주차_TOP3,3주차,,,의류 - 셔츠,,,15,2025-12-19,56250,55%,,0,0,,(20차 리오더) LAYERED CUFFS SHIRTS [5COLORS],./2025년_12월_3주차_통계.md
3주차_TOP4,3주차,,,가방 - 백액세서리,,,18,2025-12-19,14080,56%,,0,0,,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],./2025년_12월_3주차_통계.md
3주차_TOP5,3주차,,,가방 - 숄더백,,,20,2025-12-15,51772,40%,,0,0,,CRESCENT MOON BAG [4COLORS],./2025년_12월_3주차_통계.md
4주차_TOP1,4주차,,,의류 - 아우터,,,1,2025-12-23,104236,74%,,0,0,,[채랑 PICK][단독기획] HEAVY DUMPLING DOWN JUMPER [3COLORS],./2025년_12월_4주차_통계.md
4주차_TOP2,4주차,,,의류 - 스커트,,,3,2025-12-25,74340,37%,,0,0,,(12차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],./2025년_12월_4주차_통계.md
4주차_TOP3,4주차,,,의류 - 아우터,,,6,2025-12-23,186778,52%,,0,0,,"[유니,채랑,지우 PICK] (2차 리오더) [단독기획] FOX FUR BELTED GOOSE DOWN [3COLORS]",./2025년_12월_4주차_통계.md
4주차_TOP4,4주차,,,액세서리 - 스카프/머플러,,,6,2025-12-24,66150,37%,,0,0,,WOOL BLENDED LEOPARD SHAWL MUFFLER [MOCHA],./2025년_12월_4주차_통계.md
4주차_TOP5,4주차,,,의류 - 원피스,,,7,2025-12-27,100170,37%,,0,0,,(3차 리오더) ONE BUTTON DETAIL SLEEVELESS DRESS [BLACK],./2025년_12월_4주차_통계.md
5주차_TOP1,5주차,,,의류 - 데님,,,3,2025-12-31,87165,42%,,0,0,,"(DARK BROWN/S,M-1/20, NAVY BLACK/S-2/3 재입고) [민경,유니,혜원 PICK] VINTAGE VELVET WIDE CURVED DENIM PANTS [3COLORS]",./2025년_12월_5주차_통계.md
5주차_TOP2,5주차,,,의류 - 아우터,,,7,2025-12-29,125370,68%,,0,0,,[채랑 PICK][단독기획] HEAVY DUMPLING DOWN JUMPER [3COLORS],./2025년_12월_5주차_통계.md
5주차_TOP3,5주차,,,가방 - 백액세서리,,,15,2025-12-30,16000,50%,,0,0,,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],./2025년_12월_5주차_통계.md
5주차_TOP4,5주차,,,의류 - 아우터,,,15,2025-12-30,365760,28%,,0,0,,[채랑 PICK] WHITE FOX FUR DOWN LONG JUMPER [NAVY],./2025년_12월_5주차_통계.md
5주차_TOP5,5주차,,,의류 - 아우터,,,26,2025-12-30,287910,37%,,0,0,,"[민경,채랑 PICK] (2차 리오더) HANDMADE CASHMERE DOUBLE COAT [3COLORS]",./2025년_12월_5주차_통계.md
