유형,날짜,상품수,카테고리,평균순위,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
일별통계,2025-12-29,22,,,,,,,,,,,,
카테고리통계,,5,의류 - 아우터,81.8,7,,,,,,,,,
카테고리통계,,3,전체,89.3,16,,,,,,,,,
카테고리통계,,3,의류 - 전체,72.3,16,,,,,,,,,
카테고리통계,,3,의류 - 원피스,99.7,34,,,,,,,,,
카테고리통계,,2,가방 - 숄더백,139.0,102,,,,,,,,,
카테고리통계,,1,의류 - 블라우스,67.0,67,,,,,,,,,
카테고리통계,,1,의류 - 셔츠,130.0,130,,,,,,,,,
카테고리통계,,1,의류 - 티셔츠,82.0,82,,,,,,,,,
카테고리통계,,1,의류 - 스커트,68.0,68,,,,,,,,,
카테고리통계,,1,의류 - 팬츠,191.0,191,,,,,,,,,
카테고리통계,,1,가방 - 백액세서리,65.0,65,,,,,,,,,
TOP1,,,의류 - 아우터,,7,2025-12-29,125370,68%,연말결산,257,7857,4.9,[채랑 PICK][단독기획] HEAVY DUMPLING DOWN JUMPER [3COLORS],./29/일일_요약_251229_082349.md
TOP2,,,의류 - 원피스,,34,2025-12-29,100170,37%,연말결산,39,3543,4.9,(3차 리오더) ONE BUTTON DETAIL SLEEVELESS DRESS [BLACK],./29/일일_요약_251229_082349.md
TOP3,,,의류 - 아우터,,40,2025-12-29,210060,46%,연말결산,134,5942,4.9,"[유니,채랑,지우 PICK] (2차 리오더) [단독기획] FOX FUR BELTED GOOSE DOWN [3COLORS]",./29/일일_요약_251229_082349.md
TOP4,,,의류 - 아우터,,53,2025-12-29,228690,50%,연말결산,71,4540,4.9,"[민경,유니 PICK] CLOUD TRENCH GOOSE DOWN COAT [IVORY][BLACK]",./29/일일_요약_251229_082349.md
TOP5,,,가방 - 백액세서리,,65,2025-12-29,16000,50%,연말결산,89,1631,4.8,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],./29/일일_요약_251229_082349.md
TOP6,,,의류 - 블라우스,,67,2025-12-29,68670,37%,연말결산,3,407,4.7,SILKY TIE DETAIL BLOUSE [IVORY][BLACK],./29/일일_요약_251229_082349.md
TOP7,,,의류 - 스커트,,68,2025-12-29,74340,37%,연말결산,425,14114,4.9,[민경 PICK](12차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],./29/일일_요약_251229_082349.md
TOP8,,,의류 - 티셔츠,,82,2025-12-29,81270,37%,연말결산,12,424,5.0,KNIT COLLAR STRIPE PK T-SHIRT [BURGUNDY][BROWN],./29/일일_요약_251229_082349.md
TOP9,,,가방 - 숄더백,,102,2025-12-29,65400,40%,연말결산,7,740,4.6,TWIST STRAP LEATHER BIG BAG [BROWN],./29/일일_요약_251229_082349.md
TOP10,,,의류 - 원피스,,110,2025-12-29,52920,46%,연말결산,159,2778,4.9,COLLAR DETAIL KNIT DRESS [BEIGE][BLACK],./29/일일_요약_251229_082349.md
