날짜,시간,상품코드,브랜드코드,브랜드명,브랜드영문명,depth1_카테고리,depth2_카테고리,depth3_카테고리,순위,상품명,상품라벨앞,상품라벨뒤,서브상품명,정상가,판매가,최종판매가,가격,할인율,상품URL,상품이미지URL,세일태그,정보태그,당일배송,리뷰수,찜수,리뷰평점,상품상태코드,상품타입코드,이벤트시작,이벤트종료,컨텐츠정보
2026-05-08,08:48,308102392,105980,하시에,HACIE,전체,전체,롱,151,"[여민,지인,경은 PICK] (3차 리오더) CREASE SATIN LAYERED LONG SKIRT [IVORY][BLACK]",[한정특가],,[한정특가],129000,116100,102168,102168,21%,https://m.wconcept.co.kr/Product/308102392,https://product-image.wconcept.co.kr/productimg/image/img1/92/308102392_GM20769.jpg,프리쇼,"쿠폰,단독",Y,64,3334,5.0,01,15,2026-04-17T00:00:00,2026-04-20T10:00:00,
2026-05-08,08:48,308102392,105980,하시에,HACIE,의류,전체,롱,115,"[여민,지인,경은 PICK] (3차 리오더) CREASE SATIN LAYERED LONG SKIRT [IVORY][BLACK]",[한정특가],,[한정특가],129000,116100,102168,102168,21%,https://m.wconcept.co.kr/Product/308102392,https://product-image.wconcept.co.kr/productimg/image/img1/92/308102392_GM20769.jpg,프리쇼,"쿠폰,단독",Y,64,3334,5.0,01,15,2026-04-17T00:00:00,2026-04-20T10:00:00,
2026-05-08,08:48,307456258,105980,하시에,HACIE,의류,아우터,패딩,144,CASHMERE BLENDED EMB QUILTING JACKET [CAMEL][BLACK],[한정특가],,[한정특가],215000,139750,122980,122980,43%,https://m.wconcept.co.kr/Product/307456258,https://product-image.wconcept.co.kr/productimg/image/img1/58/307456258_HJ79009.jpg,프리쇼,"쿠폰,단독",Y,3,340,4.3,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-05-08,08:48,308102377,105980,하시에,HACIE,의류,아우터,자켓,193,"[지인,유니 PICK] (1차 리오더) CORDUROY COLLAR VINTAGE WASHED SAFARI JACKET [TAN BEIGE][CHARCOAL]",[한정특가],,[한정특가],199000,179100,157608,157608,21%,https://m.wconcept.co.kr/Product/308102377,https://product-image.wconcept.co.kr/productimg/image/img1/77/308102377_OG16504.jpg,프리쇼,"쿠폰,단독",Y,52,3773,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,"{'contentType': 'STYLE_CLIP', 'id': 56939, 'profileSeqNo': 4863, 'vid': 'v0019cg00000d72umtf3ksl2smj7eif0', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/56939'}"
2026-05-08,08:48,306918731,105980,하시에,HACIE,의류,셔츠,셔츠,59,[여민 PICK] (7차 리오더) OVERSIZE DOLMAN SLEEVE SHEER SHIRT [6COLORS],[한정특가],,[한정특가],129000,103200,90816,90816,30%,https://m.wconcept.co.kr/Product/306918731,https://product-image.wconcept.co.kr/productimg/image/img1/31/306918731_GG51617.jpg,프리쇼,"쿠폰,단독",Y,138,2433,4.9,01,15,2025-08-11T10:00:00,2025-08-14T10:00:00,"{'contentType': 'STYLE_CLIP', 'id': 37311, 'profileSeqNo': 1047, 'vid': 'v1119cg50000d2ra09vak5v2u79gi0t0', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/37311'}"
2026-05-08,08:48,308102383,105980,하시에,HACIE,의류,셔츠,셔츠,124,[한빛 PICK] (1차 리오더) OVERSIZE DOLMAN SLEEVE CHECK SHIRT [ORANGE CHECK][BLACK CHECK],[한정특가],,[한정특가],119000,101150,89012,89012,25%,https://m.wconcept.co.kr/Product/308102383,https://product-image.wconcept.co.kr/productimg/image/img1/83/308102383_GG12355.jpg,프리쇼,"쿠폰,단독",Y,11,771,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-05-08,08:48,301482915,105980,하시에,HACIE,의류,셔츠,셔츠,126,[지인 PICK](21차 리오더) LAYERED CUFFS SHIRTS [6COLORS],[한정특가],,[한정특가],125000,93750,82500,82500,34%,https://m.wconcept.co.kr/Product/301482915,https://product-image.wconcept.co.kr/productimg/image/img1/15/301482915_ML12210.jpg,프리쇼,"쿠폰,단독",Y,593,9964,4.9,01,15,2026-04-01T10:00:00,2026-04-13T18:00:00,
2026-05-08,08:48,308102384,105980,하시에,HACIE,의류,셔츠,셔츠,187,[여민 PICK] EMB LOGO STRIPE CROP SHIRT [3COLORS],[한정특가],,[한정특가],119000,89250,78540,78540,34%,https://m.wconcept.co.kr/Product/308102384,https://product-image.wconcept.co.kr/productimg/image/img1/84/308102384_GM35136.jpg,프리쇼,"쿠폰,단독",Y,5,148,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-05-08,08:48,308102389,105980,하시에,HACIE,의류,티셔츠,스웻,180,EMB LOGO WAFFLE HENLY NECK SWEATSHIRT [BUTTER YELLOW][MELANGE GREY],[한정특가],,[한정특가],99000,74250,65340,65340,34%,https://m.wconcept.co.kr/Product/308102389,https://product-image.wconcept.co.kr/productimg/image/img1/89/308102389_GG20722.jpg,프리쇼,"쿠폰,단독",Y,0,111,,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-05-08,08:48,306772165,105980,하시에,HACIE,의류,티셔츠,스웻,181,LOVE SYMBOL HALF ZIP-UP [MELANGE GREY][NAVY],[한정특가],,[한정특가],129000,70950,62436,62436,52%,https://m.wconcept.co.kr/Product/306772165,https://product-image.wconcept.co.kr/productimg/image/img1/65/306772165_GG99820.jpg,프리쇼,"쿠폰,단독",Y,4,152,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
