유형,날짜,상품수,카테고리,평균순위,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
일별통계,2026-04-13,16,,,,,,,,,,,,
일별통계,2026-04-14,18,,,,,,,,,,,,
일별통계,2026-04-15,12,,,,,,,,,,,,
일별통계,2026-04-16,4,,,,,,,,,,,,
일별통계,2026-04-17,25,,,,,,,,,,,,
일별통계,2026-04-18,12,,,,,,,,,,,,
일별통계,2026-04-19,10,,,,,,,,,,,,
카테고리통계,,26,의류 - 셔츠,108.5,23,,,,,,,,,
카테고리통계,,13,의류 - 아우터,95.5,4,,,,,,,,,
카테고리통계,,12,의류 - 스커트,72.2,2,,,,,,,,,
카테고리통계,,11,의류 - 원피스,127.6,30,,,,,,,,,
카테고리통계,,7,의류 - 팬츠,84.1,26,,,,,,,,,
카테고리통계,,5,의류 - 티셔츠,159.0,130,,,,,,,,,
카테고리통계,,4,의류 - 니트,155.5,63,,,,,,,,,
카테고리통계,,4,의류 - 전체,92.5,40,,,,,,,,,
카테고리통계,,4,의류 - 데님,150.5,103,,,,,,,,,
카테고리통계,,3,의류 - 블라우스,165.7,118,,,,,,,,,
카테고리통계,,3,전체,82.3,54,,,,,,,,,
카테고리통계,,2,가방 - 백액세서리,77.5,74,,,,,,,,,
카테고리통계,,1,액세서리 - 스카프/머플러,95.0,95,,,,,,,,,
카테고리통계,,1,가방 - 숄더백,172.0,172,,,,,,,,,
카테고리통계,,1,액세서리 - 패션액세서리,165.0,165,,,,,,,,,
TOP1,,,의류 - 스커트,,2,2026-04-18,93597,27%,랜쇼페,40,2415,5.0,"[지인,경은 PICK] (3차 리오더) CREASE SATIN LAYERED LONG SKIRT [IVORY][BLACK]",./18/일일_요약_260418_083322.md
TOP2,,,의류 - 아우터,,4,2026-04-17,133056,30%,랜쇼페,60,1568,4.9,(3차 리오더) VOLUME FIT HIGH NECK WINDBREAKER JACKET [IVORY][BLACK],./17/일일_요약_260417_083448.md
TOP3,,,의류 - 스커트,,23,2026-04-17,102168,21%,랜쇼페,5,344,5.0,"[한빛,경은 PICK] SATIN COLORATION BANDING LONG SKIRT [IVORY][BLACK]",./17/일일_요약_260417_083448.md
TOP4,,,의류 - 셔츠,,23,2026-04-19,85088,34%,랜쇼페,129,2230,4.9,[여민 PICK] (7차 리오더) OVERSIZE DOLMAN SLEEVE SHEER SHIRT [6COLORS],./19/일일_요약_260419_082830.md
TOP5,,,의류 - 팬츠,,26,2026-04-14,97152,30%,랜쇼페,32,805,5.0,"[한빛,채랑 PICK] (1차 리오더) TAILORED OVERFIT WOOL BLENDED PANTS [3COLORS]",./14/일일_요약_260414_083713.md
TOP6,,,의류 - 원피스,,30,2026-04-18,57618,57%,,10,2101,4.9,FLORAL PRINT ROBE MAXI DRESS [SKY BLUE],./18/일일_요약_260418_083322.md
TOP7,,,의류 - 셔츠,,34,2026-04-17,78752,28%,랜쇼페,22,300,5.0,[유니 PICK] EMB LOGO SIGNATURE COTTON SHIRT [4COLORS],./17/일일_요약_260417_083448.md
TOP8,,,의류 - 셔츠,,36,2026-04-17,82237,36%,,20,711,4.8,[채랑 PICK] (1차 리오더) OVERSIZE STANDARD STRIPE SHIRT [IVORY][PINK],./17/일일_요약_260417_083448.md
TOP9,,,의류 - 셔츠,,39,2026-04-17,75862,36%,,49,968,5.0,[여름 PICK] (4차 리오더) BLUE STRIPE COTTON SHIRT [BLUE],./17/일일_요약_260417_083448.md
TOP10,,,의류 - 셔츠,,41,2026-04-17,75862,36%,,13,149,5.0,(1차 리오더) OPEN COLLAR STEADY SHIRT [WHITE],./17/일일_요약_260417_083448.md
