유형,날짜,상품수,카테고리,평균순위,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
일별통계,2026-04-06,10,,,,,,,,,,,,
일별통계,2026-04-07,14,,,,,,,,,,,,
일별통계,2026-04-08,17,,,,,,,,,,,,
일별통계,2026-04-09,19,,,,,,,,,,,,
일별통계,2026-04-10,17,,,,,,,,,,,,
일별통계,2026-04-11,0,,,,,,,,,,,,
일별통계,2026-04-12,13,,,,,,,,,,,,
카테고리통계,,22,의류 - 아우터,102.9,31,,,,,,,,,
카테고리통계,,11,의류 - 셔츠,103.4,13,,,,,,,,,
카테고리통계,,8,의류 - 데님,94.9,16,,,,,,,,,
카테고리통계,,8,의류 - 스커트,92.2,30,,,,,,,,,
카테고리통계,,6,의류 - 니트,77.3,42,,,,,,,,,
카테고리통계,,6,의류 - 전체,151.8,116,,,,,,,,,
카테고리통계,,6,의류 - 원피스,81.3,22,,,,,,,,,
카테고리통계,,6,의류 - 팬츠,126.0,80,,,,,,,,,
카테고리통계,,5,의류 - 티셔츠,121.0,14,,,,,,,,,
카테고리통계,,4,의류 - 블라우스,146.5,93,,,,,,,,,
카테고리통계,,3,전체,161.7,152,,,,,,,,,
카테고리통계,,2,가방 - 숄더백,110.0,39,,,,,,,,,
카테고리통계,,2,가방 - 백액세서리,118.5,50,,,,,,,,,
카테고리통계,,1,가방 - 전체,55.0,55,,,,,,,,,
TOP1,,,의류 - 셔츠,,13,2026-04-08,75000,40%,랜쇼페,583,9765,4.9,[지인 PICK](21차 리오더) LAYERED CUFFS SHIRTS [6COLORS],./08/일일_요약_260408_083203.md
TOP2,,,의류 - 티셔츠,,14,2026-04-09,79800,24%,랜쇼페,4,845,5.0,[지인 PICK] (1치 리오더) CREASE SATIN LAYERED SLEEVELESS BLOUSE [IVORY][BLACK],./09/일일_요약_260409_083246.md
TOP3,,,의류 - 데님,,16,2026-04-06,59800,48%,랜쇼페,108,1871,4.9,EMBROIDERED LOGO TWO-TUCK DENIM PANTS [LIGHT BLUE],./06/일일_요약_260406_082727.md
TOP4,,,의류 - 데님,,17,2026-04-12,43776,54%,랜쇼페,25,323,5.0,GARMENT DYING DENIM HALF PANTS [3COLORS],./12/일일_요약_260412_082715.md
TOP5,,,의류 - 셔츠,,19,2026-04-10,68120,48%,랜쇼페,43,453,4.9,DOUBLE CUFFS OVERSIZE SHIRT [3COLORS],./10/일일_요약_260410_083317.md
TOP6,,,의류 - 원피스,,22,2026-04-10,75520,36%,랜쇼페,408,6393,4.9,(14차 리오더) SATIN SLEEVELESS LONG DRESS [5COLORS],./10/일일_요약_260410_083317.md
TOP7,,,의류 - 셔츠,,29,2026-04-10,74120,32%,랜쇼페,22,285,5.0,[유니 PICK] EMB LOGO SIGNATURE COTTON SHIRT [4COLORS],./10/일일_요약_260410_083317.md
TOP8,,,의류 - 스커트,,30,2026-04-09,98040,24%,랜쇼페,39,2184,5.0,"[지인,경은 PICK] (2차 리오더) CREASE SATIN LAYERED LONG SKIRT [IVORY][BLACK]",./09/일일_요약_260409_083246.md
TOP9,,,의류 - 데님,,30,2026-04-12,56400,60%,랜쇼페,1,35,5.0,[리퍼브] LAYERED DENIM MAXI LONG SKIRT [BLUE],./12/일일_요약_260412_082715.md
TOP10,,,의류 - 아우터,,31,2026-04-09,195440,44%,랜쇼페,59,2125,5.0,HANDMADE CASHMERE COLLARLESS COAT [OATMEAL][CHARCOAL],./09/일일_요약_260409_083246.md
