유형,기간,상품수,일평균,카테고리,평균순위,평균가격,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
TOP3,,,,의류 - 셔츠,,,5,2026-04-01,80920,32%,,1,228,5.0,[한빛 PICK] OVERSIZE DOLMAN SLEEVE CHECK SHIRT [ORANGE CHECK][BLACK CHECK],./01/일일_요약_260401_082840.md
TOP4,,,,의류 - 아우터,,,10,2026-04-22,148852,25%,랜쇼페,38,2892,4.9,"[지인,유니 PICK] (1차 리오더) CORDUROY COLLAR VINTAGE WASHED SAFARI JACKET [TAN BEIGE][CHARCOAL]",./22/일일_요약_260422_083010.md
TOP5,,,,의류 - 원피스,,,11,2026-04-22,66176,30%,,1112,14351,4.9,[단독](18차 리오더) AVEC HACIE COTTON LONG DRESS [IVORY][CHARCOAL],./22/일일_요약_260422_083010.md
TOP6,,,,의류 - 아우터,,,11,2026-04-28,241200,29%,,22,1121,4.8,(2차 리오더)[ITALY] TWILL TEXTURE WOOL SHORT JACKET [BLACK],./28/일일_요약_260428_084551.md
TOP7,,,,의류 - 셔츠,,,13,2026-04-08,75000,40%,랜쇼페,583,9735,4.9,[지인 PICK](21차 리오더) LAYERED CUFFS SHIRTS [6COLORS],./08/일일_요약_260408_083203.md
TOP8,,,,의류 - 셔츠,,,13,2026-04-29,90816,30%,랜쇼페,128,2225,4.9,[여민 PICK] (7차 리오더) OVERSIZE DOLMAN SLEEVE SHEER SHIRT [6COLORS],./29/일일_요약_260429_084858.md
TOP9,,,,의류 - 스커트,,,14,2026-04-01,87720,32%,,2,218,5.0,"[한빛,경은 PICK] SATIN COLORATION BANDING LONG SKIRT [IVORY][BLACK]",./01/일일_요약_260401_082840.md
TOP10,,,,의류 - 티셔츠,,,14,2026-04-09,79800,24%,,2,632,5.0,[지인 PICK] (1치 리오더) CREASE SATIN LAYERED SLEEVELESS BLOUSE [IVORY][BLACK],./09/일일_요약_260409_083246.md
TOP11,,,,의류 - 데님,,,16,2026-04-06,59800,48%,랜쇼페,108,1871,4.9,EMBROIDERED LOGO TWO-TUCK DENIM PANTS [LIGHT BLUE],./06/일일_요약_260406_082727.md
TOP12,,,,의류 - 데님,,,17,2026-04-12,43776,54%,랜쇼페,25,323,5.0,GARMENT DYING DENIM HALF PANTS [3COLORS],./12/일일_요약_260412_082715.md
TOP13,,,,의류 - 셔츠,,,19,2026-04-10,68120,48%,,43,450,4.9,DOUBLE CUFFS OVERSIZE SHIRT [3COLORS],./10/일일_요약_260410_083317.md
TOP14,,,,의류 - 원피스,,,22,2026-04-10,75520,36%,랜쇼페,408,6393,4.9,(14차 리오더) SATIN SLEEVELESS LONG DRESS [5COLORS],./10/일일_요약_260410_083317.md
TOP15,,,,의류 - 니트,,,22,2026-04-24,86328,21%,랜쇼페,0,139,,[한빛 PICK] OVER-FIT DEEP V-NECK PULL OVER [BUTTER YELLOW][MELANGE GREY],./24/일일_요약_260424_083913.md
TOP16,,,,가방 - 백액세서리,,,23,2026-04-04,17920,44%,,128,1931,4.9,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],./04/일일_요약_260404_082754.md
TOP17,,,,의류 - 셔츠,,,23,2026-04-30,64706,50%,여름준비,4,211,5.0,HIGH NECK COLLAR ZIP-UP SHIRT [BUTTER YELLOW][BLACK],./30/일일_요약_260430_084849.md
TOP18,,,,의류 - 아우터,,,24,2026-04-01,135320,32%,,16,952,5.0,[경은 PICK] EMB LOGO VINTAGE WASHED COTTON BLOUSON [3COLORS],./01/일일_요약_260401_082840.md
TOP19,,,,의류 - 셔츠,,,25,2026-04-30,54716,54%,여름준비,2,411,5.0,SAILOR COLLAR HIDDEN BUTTON BLOUSE [IVORY][BLACK],./30/일일_요약_260430_084849.md
TOP20,,,,의류 - 팬츠,,,26,2026-04-14,97152,30%,,31,745,5.0,"[한빛,채랑 PICK] (1차 리오더) TAILORED OVERFIT WOOL BLENDED PANTS [3COLORS]",./14/일일_요약_260414_083713.md
1주차_TOP1,1주차,,,의류 - 셔츠,,,5,2026-04-01,80920,32%,,0,0,,[한빛 PICK] OVERSIZE DOLMAN SLEEVE CHECK SHIRT [ORANGE CHECK][BLACK CHECK],./2026년_04월_1주차_통계.md
1주차_TOP2,1주차,,,의류 - 스커트,,,10,2026-04-01,98040,24%,,0,0,,"[지인,경은 PICK] (3차 리오더) CREASE SATIN LAYERED LONG SKIRT [IVORY][BLACK]",./2026년_04월_1주차_통계.md
1주차_TOP3,1주차,,,의류 - 스커트,,,14,2026-04-01,87720,32%,,0,0,,"[한빛,경은 PICK] SATIN COLORATION BANDING LONG SKIRT [IVORY][BLACK]",./2026년_04월_1주차_통계.md
1주차_TOP4,1주차,,,의류 - 데님,,,16,2026-04-06,59800,48%,,0,0,,EMBROIDERED LOGO TWO-TUCK DENIM PANTS [LIGHT BLUE],./2026년_04월_1주차_통계.md
1주차_TOP5,1주차,,,가방 - 백액세서리,,,23,2026-04-04,17920,44%,,0,0,,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],./2026년_04월_1주차_통계.md
2주차_TOP1,2주차,,,의류 - 셔츠,,,13,2026-04-08,75000,40%,,0,0,,[지인 PICK](21차 리오더) LAYERED CUFFS SHIRTS [6COLORS],./2026년_04월_2주차_통계.md
2주차_TOP2,2주차,,,의류 - 티셔츠,,,14,2026-04-09,79800,24%,,0,0,,[지인 PICK] (1치 리오더) CREASE SATIN LAYERED SLEEVELESS BLOUSE [IVORY][BLACK],./2026년_04월_2주차_통계.md
2주차_TOP3,2주차,,,의류 - 데님,,,17,2026-04-12,43776,54%,,0,0,,GARMENT DYING DENIM HALF PANTS [3COLORS],./2026년_04월_2주차_통계.md
2주차_TOP4,2주차,,,의류 - 셔츠,,,19,2026-04-10,68120,48%,,0,0,,DOUBLE CUFFS OVERSIZE SHIRT [3COLORS],./2026년_04월_2주차_통계.md
2주차_TOP5,2주차,,,의류 - 아우터,,,20,2026-04-14,133056,30%,,0,0,,(3차 리오더) VOLUME FIT HIGH NECK WINDBREAKER JACKET [IVORY][BLACK],./2026년_04월_2주차_통계.md
3주차_TOP1,3주차,,,의류 - 스커트,,,2,2026-04-18,93597,27%,,0,0,,"[지인,경은 PICK] (3차 리오더) CREASE SATIN LAYERED LONG SKIRT [IVORY][BLACK]",./2026년_04월_3주차_통계.md
3주차_TOP2,3주차,,,의류 - 아우터,,,4,2026-04-17,133056,30%,,0,0,,(3차 리오더) VOLUME FIT HIGH NECK WINDBREAKER JACKET [IVORY][BLACK],./2026년_04월_3주차_통계.md
3주차_TOP3,3주차,,,의류 - 스커트,,,23,2026-04-17,102168,21%,,0,0,,"[한빛,경은 PICK] SATIN COLORATION BANDING LONG SKIRT [IVORY][BLACK]",./2026년_04월_3주차_통계.md
3주차_TOP4,3주차,,,의류 - 셔츠,,,23,2026-04-19,85088,34%,,0,0,,[여민 PICK] (7차 리오더) OVERSIZE DOLMAN SLEEVE SHEER SHIRT [6COLORS],./2026년_04월_3주차_통계.md
3주차_TOP5,3주차,,,의류 - 원피스,,,30,2026-04-18,57618,57%,,0,0,,FLORAL PRINT ROBE MAXI DRESS [SKY BLUE],./2026년_04월_3주차_통계.md
4주차_TOP1,4주차,,,의류 - 아우터,,,5,2026-04-22,133056,30%,,0,0,,(3차 리오더) VOLUME FIT HIGH NECK WINDBREAKER JACKET [IVORY][BLACK],./2026년_04월_4주차_통계.md
4주차_TOP2,4주차,,,의류 - 아우터,,,10,2026-04-22,148852,25%,,0,0,,"[지인,유니 PICK] (1차 리오더) CORDUROY COLLAR VINTAGE WASHED SAFARI JACKET [TAN BEIGE][CHARCOAL]",./2026년_04월_4주차_통계.md
4주차_TOP3,4주차,,,의류 - 원피스,,,11,2026-04-22,66176,30%,,0,0,,[단독](18차 리오더) AVEC HACIE COTTON LONG DRESS [IVORY][CHARCOAL],./2026년_04월_4주차_통계.md
4주차_TOP4,4주차,,,의류 - 아우터,,,11,2026-04-28,241200,29%,,0,0,,(2차 리오더)[ITALY] TWILL TEXTURE WOOL SHORT JACKET [BLACK],./2026년_04월_4주차_통계.md
4주차_TOP5,4주차,,,의류 - 스커트,,,16,2026-04-22,102168,21%,,0,0,,"[지인,경은 PICK] (3차 리오더) CREASE SATIN LAYERED LONG SKIRT [IVORY][BLACK]",./2026년_04월_4주차_통계.md
5주차_TOP1,5주차,,,의류 - 스커트,,,11,2026-04-29,102168,21%,,0,0,,"[지인,경은 PICK] (3차 리오더) CREASE SATIN LAYERED LONG SKIRT [IVORY][BLACK]",./2026년_04월_5주차_통계.md
5주차_TOP2,5주차,,,의류 - 셔츠,,,13,2026-04-29,90816,30%,,0,0,,[여민 PICK] (7차 리오더) OVERSIZE DOLMAN SLEEVE SHEER SHIRT [6COLORS],./2026년_04월_5주차_통계.md
5주차_TOP3,5주차,,,의류 - 아우터,,,17,2026-04-30,149728,25%,,0,0,,"[지인,유니 PICK] (1차 리오더) CORDUROY COLLAR VINTAGE WASHED SAFARI JACKET [TAN BEIGE][CHARCOAL]",./2026년_04월_5주차_통계.md
5주차_TOP4,5주차,,,의류 - 셔츠,,,23,2026-04-30,64706,50%,,0,0,,HIGH NECK COLLAR ZIP-UP SHIRT [BUTTER YELLOW][BLACK],./2026년_04월_5주차_통계.md
5주차_TOP5,5주차,,,의류 - 셔츠,,,25,2026-04-30,54716,54%,,0,0,,SAILOR COLLAR HIDDEN BUTTON BLOUSE [IVORY][BLACK],./2026년_04월_5주차_통계.md
