유형,기간,상품수,일평균,카테고리,평균순위,평균가격,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
1주차,1주차,89,12.7,,,,,,,,,,,,,
2주차,2주차,100,14.3,,,,,,,,,,,,,
3주차,3주차,87,12.4,,,,,,,,,,,,,
4주차,4주차,103,14.7,,,,,,,,,,,,,
5주차,5주차,23,11.5,,,,,,,,,,,,,
카테고리통계,,73,,의류 - 아우터,89.9,"143,187",,,,,,,,,,
카테고리통계,,73,,의류 - 셔츠,105.5,"76,901",,,,,,,,,,
카테고리통계,,42,,의류 - 스커트,79.9,"84,663",,,,,,,,,,
카테고리통계,,35,,의류 - 원피스,105.1,"75,265",,,,,,,,,,
카테고리통계,,33,,의류 - 전체,115.8,"124,048",,,,,,,,,,
카테고리통계,,22,,의류 - 팬츠,110.3,"70,479",,,,,,,,,,
카테고리통계,,22,,의류 - 데님,115.1,"57,618",,,,,,,,,,
카테고리통계,,21,,전체,116.4,"142,269",,,,,,,,,,
카테고리통계,,20,,의류 - 티셔츠,116.2,"44,163",,,,,,,,,,
카테고리통계,,15,,가방 - 백액세서리,89.9,"16,884",,,,,,,,,,
카테고리통계,,15,,의류 - 니트,103.2,"75,287",,,,,,,,,,
카테고리통계,,14,,의류 - 블라우스,149.0,"48,717",,,,,,,,,,
카테고리통계,,8,,가방 - 숄더백,136.5,"67,459",,,,,,,,,,
카테고리통계,,3,,액세서리 - 스카프/머플러,141.0,"56,637",,,,,,,,,,
카테고리통계,,2,,가방 - 전체,100.5,"68,352",,,,,,,,,,
TOP1,,,,의류 - 스커트,,,2,2026-04-18,93597,27%,,34,1852,5.0,"[지인,경은 PICK] (3차 리오더) CREASE SATIN LAYERED LONG SKIRT [IVORY][BLACK]",./18/일일_요약_260418_083322.md
TOP2,,,,의류 - 아우터,,,4,2026-04-17,133056,30%,,51,1365,4.9,(3차 리오더) VOLUME FIT HIGH NECK WINDBREAKER JACKET [IVORY][BLACK],./17/일일_요약_260417_083448.md
