날짜,시간,브랜드명,depth1_카테고리,depth2_카테고리,순위,상품명,가격,상품URL
2025-10-29,08:40,하시에,전체,전체,6,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],114988,https://m.wconcept.co.kr/Product/303596201
2025-10-29,08:40,하시에,전체,전체,56,LIGHT WEIGHT HOODED GOOSE DOWN COAT [BLACK],203490,https://m.wconcept.co.kr/Product/306157288
2025-10-29,08:40,하시에,전체,전체,198,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],82500,https://m.wconcept.co.kr/Product/307456275
2025-10-29,08:40,하시에,의류,전체,6,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],114988,https://m.wconcept.co.kr/Product/303596201
2025-10-29,08:40,하시에,의류,전체,53,LIGHT WEIGHT HOODED GOOSE DOWN COAT [BLACK],203490,https://m.wconcept.co.kr/Product/306157288
2025-10-29,08:40,하시에,의류,전체,180,OVERSIZE GOOSE DOWN HOODED VEST [3COLORS],159800,https://m.wconcept.co.kr/Product/306157286
2025-10-29,08:40,하시에,의류,아우터,3,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],114988,https://m.wconcept.co.kr/Product/303596201
2025-10-29,08:40,하시에,의류,아우터,39,LIGHT WEIGHT HOODED GOOSE DOWN COAT [BLACK],203490,https://m.wconcept.co.kr/Product/306157288
2025-10-29,08:40,하시에,의류,아우터,110,OVERSIZE GOOSE DOWN HOODED VEST [3COLORS],159800,https://m.wconcept.co.kr/Product/306157286
2025-10-29,08:40,하시에,의류,아우터,130,FOX FUR HOODED GOOSE DOWN LONG JUMPER [3COLORS],265710,https://m.wconcept.co.kr/Product/301497840
2025-10-29,08:40,하시에,의류,아우터,147,(5차 리오더) OVERFIT QUILTED GOOSE DOWN PONCHO [4COLORS],105136,https://m.wconcept.co.kr/Product/303596278
2025-10-29,08:40,하시에,의류,아우터,200,COLLARLESS QUILTED PADDING JACKET [CREAM][BLACK],123760,https://m.wconcept.co.kr/Product/306105653
2025-10-29,08:40,하시에,의류,원피스,135,METAL BUTTON DETAIL CRINKLE DRESS [WHITE][BLACK],99792,https://m.wconcept.co.kr/Product/305871426
2025-10-29,08:40,하시에,의류,셔츠,19,[채랑 PICK] OVERSIZE STANDARD STRIPE SHIRT [IVORY][PINK],90816,https://m.wconcept.co.kr/Product/307414592
2025-10-29,08:40,하시에,의류,셔츠,197,[여름 PICK] (3차 리오더) BLUE STRIPE COTTON SHIRT [BLUE],79587,https://m.wconcept.co.kr/Product/306668472
2025-10-29,08:40,하시에,의류,데님,165,[채랑 PICK] CURVED DENIM PANTS [3COLORS],73920,https://m.wconcept.co.kr/Product/306668439
2025-10-29,08:40,하시에,의류,데님,168,ULOTRICHOUS DETAIL WIDE DENIM PANTS [LIGHT BLUE],72072,https://m.wconcept.co.kr/Product/306105731
2025-10-29,08:40,하시에,가방,전체,17,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],82500,https://m.wconcept.co.kr/Product/307456275
2025-10-29,08:40,하시에,가방,숄더백,10,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],82500,https://m.wconcept.co.kr/Product/307456275
2025-10-29,08:40,하시에,가방,숄더백,104,CRESCENT MOON BAG [5COLORS],52976,https://m.wconcept.co.kr/Product/303596708
2025-10-29,08:40,하시에,가방,백액세서리,126,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],16896,https://m.wconcept.co.kr/Product/306105587
