날짜,시간,상품코드,브랜드코드,브랜드명,브랜드영문명,depth1_카테고리,depth2_카테고리,depth3_카테고리,순위,상품명,상품라벨앞,상품라벨뒤,서브상품명,정상가,판매가,최종판매가,가격,할인율,상품URL,상품이미지URL,세일태그,정보태그,당일배송,리뷰수,찜수,리뷰평점,상품상태코드,상품타입코드,이벤트시작,이벤트종료,컨텐츠정보
2026-02-12,08:37,306166367,105980,하시에,HACIE,전체,전체,코트,96,[채랑 PICK] HANDMADE CASHMERE CAPE COAT [MELANGE BROWN][BLACK],[한정특가],,[한정특가],589000,176700,155496,155496,74%,https://m.wconcept.co.kr/Product/306166367,https://product-image.wconcept.co.kr/productimg/image/img1/67/306166367_GG15040.jpg,,"쿠폰,단독",Y,9,331,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-02-12,08:37,303596346,105980,하시에,HACIE,전체,전체,코트,105,[채랑 PICK] (2차 리오더) HANDMADE CASHMERE DOUBLE COAT [3COLORS],[한정특가],,[한정특가],457000,319900,281512,281512,38%,https://m.wconcept.co.kr/Product/303596346,https://product-image.wconcept.co.kr/productimg/image/img1/46/303596346_GJ26002.jpg,,"쿠폰,단독",Y,141,10891,4.7,01,15,2025-10-01T10:00:00,2025-10-10T18:00:00,
2026-02-12,08:37,307731244,105980,하시에,HACIE,전체,전체,패딩,110,"[채랑,혜원 PICK] HIGH NECK BELTED GOOSE DOWN LONG COAT [LIGHT KHAKI][DARK GREY]",[한정특가],,[한정특가],389000,155600,136928,136928,65%,https://m.wconcept.co.kr/Product/307731244,https://product-image.wconcept.co.kr/productimg/image/img1/44/307731244_GG99283.jpg,,"쿠폰,단독",Y,31,1238,4.9,01,15,2025-12-19T10:00:00,2025-12-24T10:00:00,
2026-02-12,08:37,303596201,105980,하시에,HACIE,전체,전체,패딩,117,[지우 PICK] (6차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],[한정특가],,[한정특가],178000,133500,117480,117480,34%,https://m.wconcept.co.kr/Product/303596201,https://product-image.wconcept.co.kr/productimg/image/img1/01/303596201_LI16264.jpg,,"쿠폰,단독",Y,648,14550,4.9,01,15,2025-10-01T10:00:00,2025-10-10T18:00:00,"{'contentType': 'STYLE_CLIP', 'id': 41306, 'profileSeqNo': 1047, 'vid': 'v1119cg50000d3njqinak5v94bjs20m0', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/41306'}"
2026-02-12,08:37,306105653,105980,하시에,HACIE,전체,전체,패딩,141,COLLARLESS QUILTED PADDING JACKET [CREAM][BLACK],[한정특가],,[한정특가],182000,91000,80080,80080,56%,https://m.wconcept.co.kr/Product/306105653,https://product-image.wconcept.co.kr/productimg/image/img1/53/306105653_IG46339.jpg,,"쿠폰,단독",Y,82,1619,4.8,01,15,2025-10-01T10:00:00,2025-10-10T18:00:00,
2026-02-12,08:37,306166367,105980,하시에,HACIE,의류,전체,코트,72,[채랑 PICK] HANDMADE CASHMERE CAPE COAT [MELANGE BROWN][BLACK],[한정특가],,[한정특가],589000,176700,155496,155496,74%,https://m.wconcept.co.kr/Product/306166367,https://product-image.wconcept.co.kr/productimg/image/img1/67/306166367_GG15040.jpg,,"쿠폰,단독",Y,9,331,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-02-12,08:37,303596346,105980,하시에,HACIE,의류,전체,코트,78,[채랑 PICK] (2차 리오더) HANDMADE CASHMERE DOUBLE COAT [3COLORS],[한정특가],,[한정특가],457000,319900,281512,281512,38%,https://m.wconcept.co.kr/Product/303596346,https://product-image.wconcept.co.kr/productimg/image/img1/46/303596346_GJ26002.jpg,,"쿠폰,단독",Y,141,10891,4.7,01,15,2025-10-01T10:00:00,2025-10-10T18:00:00,
2026-02-12,08:37,307731244,105980,하시에,HACIE,의류,전체,패딩,83,"[채랑,혜원 PICK] HIGH NECK BELTED GOOSE DOWN LONG COAT [LIGHT KHAKI][DARK GREY]",[한정특가],,[한정특가],389000,155600,136928,136928,65%,https://m.wconcept.co.kr/Product/307731244,https://product-image.wconcept.co.kr/productimg/image/img1/44/307731244_GG99283.jpg,,"쿠폰,단독",Y,31,1238,4.9,01,15,2025-12-19T10:00:00,2025-12-24T10:00:00,
2026-02-12,08:37,303596201,105980,하시에,HACIE,의류,전체,패딩,88,[지우 PICK] (6차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],[한정특가],,[한정특가],178000,133500,117480,117480,34%,https://m.wconcept.co.kr/Product/303596201,https://product-image.wconcept.co.kr/productimg/image/img1/01/303596201_LI16264.jpg,,"쿠폰,단독",Y,648,14550,4.9,01,15,2025-10-01T10:00:00,2025-10-10T18:00:00,"{'contentType': 'STYLE_CLIP', 'id': 41306, 'profileSeqNo': 1047, 'vid': 'v1119cg50000d3njqinak5v94bjs20m0', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/41306'}"
2026-02-12,08:37,306105653,105980,하시에,HACIE,의류,전체,패딩,106,COLLARLESS QUILTED PADDING JACKET [CREAM][BLACK],[한정특가],,[한정특가],182000,91000,80080,80080,56%,https://m.wconcept.co.kr/Product/306105653,https://product-image.wconcept.co.kr/productimg/image/img1/53/306105653_IG46339.jpg,,"쿠폰,단독",Y,82,1619,4.8,01,15,2025-10-01T10:00:00,2025-10-10T18:00:00,
