유형,날짜,상품수,카테고리,평균순위,최고순위,기록일,가격,할인율,상품명,링크
일별통계,2025-10-27,16,,,,,,,,
일별통계,2025-10-28,22,,,,,,,,
일별통계,2025-10-29,21,,,,,,,,
일별통계,2025-10-30,22,,,,,,,,
일별통계,2025-10-31,26,,,,,,,,
일별통계,2025-11-01,8,,,,,,,,
일별통계,2025-11-02,22,,,,,,,,
카테고리통계,,32,의류 - 아우터,93.5,2,,,,,
카테고리통계,,23,의류 - 전체,99.4,2,,,,,
카테고리통계,,19,전체,97.8,3,,,,,
카테고리통계,,12,가방 - 숄더백,81.7,10,,,,,
카테고리통계,,11,의류 - 스커트,71.2,3,,,,,
카테고리통계,,9,의류 - 셔츠,126.4,19,,,,,
카테고리통계,,7,가방 - 전체,71.4,17,,,,,
카테고리통계,,6,의류 - 데님,146.3,112,,,,,
카테고리통계,,5,의류 - 원피스,113.6,53,,,,,
카테고리통계,,3,의류 - 티셔츠,103.0,47,,,,,
카테고리통계,,3,의류 - 팬츠,79.0,69,,,,,
카테고리통계,,3,가방 - 백액세서리,77.3,22,,,,,
카테고리통계,,2,액세서리 - 스카프/머플러,129.5,129,,,,,
카테고리통계,,1,의류 - 니트,43.0,43,,,,,
카테고리통계,,1,의류 - 블라우스,43.0,43,,,,,
TOP1,,,의류 - 전체,,2,2025-10-28,114988,0%,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],./28/일일_요약_251028_082032.md
TOP2,,,의류 - 스커트,,3,2025-10-31,117455,0%,WHIP CORD WRAP SKIRT [BLACK],./31/일일_요약_251031_082059.md
TOP3,,,의류 - 스커트,,4,2025-10-28,83072,0%,(11차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],./28/일일_요약_251028_082032.md
TOP4,,,가방 - 숄더백,,10,2025-10-29,82500,0%,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],./29/일일_요약_251029_084056.md
TOP5,,,의류 - 아우터,,14,2025-10-28,203490,0%,LIGHT WEIGHT HOODED GOOSE DOWN COAT [BLACK],./28/일일_요약_251028_082032.md
TOP6,,,의류 - 셔츠,,19,2025-10-29,90816,0%,[채랑 PICK] OVERSIZE STANDARD STRIPE SHIRT [IVORY][PINK],./29/일일_요약_251029_084056.md
TOP7,,,가방 - 백액세서리,,22,2025-10-31,16389,0%,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],./31/일일_요약_251031_082059.md
TOP8,,,의류 - 아우터,,25,2025-10-31,253946,0%,GOOSE DOWN TRENCH COAT [BLACK],./31/일일_요약_251031_082059.md
TOP9,,,가방 - 숄더백,,30,2025-10-28,52976,0%,CRESCENT MOON BAG [5COLORS],./28/일일_요약_251028_082032.md
TOP10,,,의류 - 스커트,,31,2025-10-28,90816,0%,[채랑 PICK] (11/18 재입고) NEW CLASSIC SUEDE LONG SKIRT [BROWN][CHOCOLATE],./28/일일_요약_251028_082032.md
