유형,기간,상품수,일평균,카테고리,평균순위,평균가격,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
4주차,4주차,149,21.3,,,,,,,,,,,,,
5주차,5주차,69,23.0,,,,,,,,,,,,,
카테고리통계,,53,,의류 - 아우터,96.9,"183,237",,,,,,,,,,
카테고리통계,,34,,의류 - 전체,97.6,"176,221",,,,,,,,,,
카테고리통계,,26,,전체,86.0,"176,862",,,,,,,,,,
카테고리통계,,22,,의류 - 셔츠,127.4,"87,643",,,,,,,,,,
카테고리통계,,19,,가방 - 숄더백,86.9,"73,618",,,,,,,,,,
카테고리통계,,18,,의류 - 스커트,74.7,"86,381",,,,,,,,,,
카테고리통계,,10,,가방 - 전체,80.8,"81,831",,,,,,,,,,
카테고리통계,,9,,의류 - 데님,149.1,"75,753",,,,,,,,,,
카테고리통계,,7,,가방 - 백액세서리,110.3,"17,628",,,,,,,,,,
카테고리통계,,6,,의류 - 원피스,85.8,"84,412",,,,,,,,,,
카테고리통계,,4,,의류 - 팬츠,68.5,"80,291",,,,,,,,,,
카테고리통계,,3,,의류 - 티셔츠,77.7,"52,770",,,,,,,,,,
카테고리통계,,3,,의류 - 니트,46.3,"112,777",,,,,,,,,,
카테고리통계,,3,,액세서리 - 스카프/머플러,161.3,"70,224",,,,,,,,,,
카테고리통계,,1,,의류 - 블라우스,124.0,"40,656",,,,,,,,,,
TOP1,,,,의류 - 전체,,,2,2025-10-28,114988,0%,,0,0,,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],./28/일일_요약_251028_082032.md
TOP2,,,,의류 - 스커트,,,3,2025-10-31,117455,0%,,0,0,,WHIP CORD WRAP SKIRT [BLACK],./31/일일_요약_251031_082059.md
TOP3,,,,의류 - 스커트,,,4,2025-10-28,83072,0%,,0,0,,(11차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],./28/일일_요약_251028_082032.md
TOP4,,,,가방 - 숄더백,,,10,2025-10-29,82500,0%,,0,0,,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],./29/일일_요약_251029_084056.md
TOP5,,,,의류 - 아우터,,,14,2025-10-28,203490,0%,,0,0,,LIGHT WEIGHT HOODED GOOSE DOWN COAT [BLACK],./28/일일_요약_251028_082032.md
TOP6,,,,의류 - 스커트,,,18,2025-10-23,96492,0%,,0,0,,[채랑 PICK] (CHOCOLATE/S - 11/18 재입고) NEW CLASSIC SUEDE LONG SKIRT [BROWN][CHOCOLATE],./23/일일_요약_251023_081935.md
TOP7,,,,의류 - 셔츠,,,19,2025-10-29,90816,0%,,0,0,,[채랑 PICK] OVERSIZE STANDARD STRIPE SHIRT [IVORY][PINK],./29/일일_요약_251029_084056.md
TOP8,,,,의류 - 니트,,,20,2025-10-23,121635,0%,,0,0,,[채랑 PICK] HAIRY PLUME KNIT CARDIGAN [3COLORS],./23/일일_요약_251023_081935.md
TOP9,,,,가방 - 백액세서리,,,22,2025-10-31,16389,0%,,0,0,,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],./31/일일_요약_251031_082059.md
TOP10,,,,가방 - 숄더백,,,23,2025-10-24,52976,0%,,0,0,,CRESCENT MOON BAG [5COLORS],./24/일일_요약_251024_082004.md
TOP11,,,,의류 - 아우터,,,25,2025-10-31,253946,0%,,0,0,,GOOSE DOWN TRENCH COAT [BLACK],./31/일일_요약_251031_082059.md
TOP12,,,,의류 - 셔츠,,,26,2025-10-23,83776,0%,,0,0,,(3차 리오더) BLUE STRIPE COTTON SHIRT [BLUE],./23/일일_요약_251023_081935.md
TOP13,,,,의류 - 원피스,,,27,2025-10-23,104940,0%,,0,0,,(2차 리오더) ONE BUTTON DETAIL SLEEVELESS DRESS [BLACK],./23/일일_요약_251023_081935.md
TOP14,,,,의류 - 팬츠,,,37,2025-10-24,95040,0%,,0,0,,EMB LOGO JOGGER SWEATPANTS [MELANGE GREY][BLACK],./24/일일_요약_251024_082004.md
TOP15,,,,의류 - 아우터,,,46,2025-10-26,265710,0%,,0,0,,FOX FUR HOODED GOOSE DOWN LONG JUMPER [3COLORS],./26/일일_요약_251026_081926.md
TOP16,,,,의류 - 티셔츠,,,47,2025-10-30,33748,0%,,0,0,,[채랑 PICK] COLOR BLOCK RINGER TOP [3COLORS],./30/일일_요약_251030_082204.md
TOP17,,,,의류 - 아우터,,,48,2025-10-31,224511,0%,,0,0,,[채랑 PICK] [단독기획] FOX FUR BELTED GOOSE DOWN [3COLORS],./31/일일_요약_251031_082059.md
TOP18,,,,의류 - 아우터,,,49,2025-10-22,278112,0%,,0,0,,(2차 리오더) HANDMADE CASHMERE DOUBLE COAT [3COLORS],./22/일일_요약_251022_091817.md
TOP19,,,,의류 - 원피스,,,53,2025-10-28,77880,0%,,0,0,,(13차 리오더) SATIN SLEEVELESS LONG DRESS [6COLORS],./28/일일_요약_251028_082032.md
TOP20,,,,의류 - 아우터,,,64,2025-10-31,151048,0%,,0,0,,EMBROIDERY PADDING JACKET [3COLORS],./31/일일_요약_251031_082059.md
4주차_TOP1,4주차,,,의류 - 전체,,,2,2025-10-28,114988,0%,,0,0,,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],./2025년_10월_4주차_통계.md
4주차_TOP2,4주차,,,의류 - 스커트,,,4,2025-10-28,83072,0%,,0,0,,(11차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],./2025년_10월_4주차_통계.md
4주차_TOP3,4주차,,,가방 - 숄더백,,,11,2025-10-23,99000,0%,,0,0,,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],./2025년_10월_4주차_통계.md
4주차_TOP4,4주차,,,의류 - 아우터,,,14,2025-10-28,203490,0%,,0,0,,LIGHT WEIGHT HOODED GOOSE DOWN COAT [BLACK],./2025년_10월_4주차_통계.md
4주차_TOP5,4주차,,,의류 - 스커트,,,18,2025-10-23,96492,0%,,0,0,,[채랑 PICK] (CHOCOLATE/S - 11/18 재입고) NEW CLASSIC SUEDE LONG SKIRT [BROWN][CHOCOLATE],./2025년_10월_4주차_통계.md
5주차_TOP1,5주차,,,의류 - 전체,,,3,2025-10-29,114988,0%,,0,0,,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],./2025년_10월_5주차_통계.md
5주차_TOP2,5주차,,,의류 - 스커트,,,3,2025-10-31,117455,0%,,0,0,,WHIP CORD WRAP SKIRT [BLACK],./2025년_10월_5주차_통계.md
5주차_TOP3,5주차,,,가방 - 숄더백,,,10,2025-10-29,82500,0%,,0,0,,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],./2025년_10월_5주차_통계.md
5주차_TOP4,5주차,,,의류 - 셔츠,,,19,2025-10-29,90816,0%,,0,0,,[채랑 PICK] OVERSIZE STANDARD STRIPE SHIRT [IVORY][PINK],./2025년_10월_5주차_통계.md
5주차_TOP5,5주차,,,가방 - 백액세서리,,,22,2025-10-31,16389,0%,,0,0,,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],./2025년_10월_5주차_통계.md
