날짜,시간,브랜드명,depth1_카테고리,depth2_카테고리,순위,상품명,가격,상품URL
2025-10-23,08:19,하시에,전체,전체,15,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],114988,https://m.wconcept.co.kr/Product/303596201
2025-10-23,08:19,하시에,전체,전체,123,ZIP DETAIL GOOSE DOWN MIDDLE COAT [BLACK],278540,https://m.wconcept.co.kr/Product/306157301
2025-10-23,08:19,하시에,전체,전체,154,FAUX LEATHER DETAIL QUILTED JACKET [BLACK],118137,https://m.wconcept.co.kr/Product/306105650
2025-10-23,08:19,하시에,의류,전체,13,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],114988,https://m.wconcept.co.kr/Product/303596201
2025-10-23,08:19,하시에,의류,전체,102,ZIP DETAIL GOOSE DOWN MIDDLE COAT [BLACK],278540,https://m.wconcept.co.kr/Product/306157301
2025-10-23,08:19,하시에,의류,전체,122,FAUX LEATHER DETAIL QUILTED JACKET [BLACK],118137,https://m.wconcept.co.kr/Product/306105650
2025-10-23,08:19,하시에,의류,전체,168,[채랑 PICK] HAIRY PLUME KNIT CARDIGAN [3COLORS],121635,https://m.wconcept.co.kr/Product/307456270
2025-10-23,08:19,하시에,의류,아우터,10,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],114988,https://m.wconcept.co.kr/Product/303596201
2025-10-23,08:19,하시에,의류,아우터,70,ZIP DETAIL GOOSE DOWN MIDDLE COAT [BLACK],278540,https://m.wconcept.co.kr/Product/306157301
2025-10-23,08:19,하시에,의류,아우터,81,FAUX LEATHER DETAIL QUILTED JACKET [BLACK],118137,https://m.wconcept.co.kr/Product/306105650
2025-10-23,08:19,하시에,의류,아우터,125,VOLUME HOODED HANDMADE SHORT COAT [BLACK][CAMEL],121932,https://m.wconcept.co.kr/Product/303596325
2025-10-23,08:19,하시에,의류,아우터,143,LIGHT WEIGHT HOODED GOOSE DOWN COAT [BLACK],203490,https://m.wconcept.co.kr/Product/306157288
2025-10-23,08:19,하시에,의류,아우터,180,(2차 리오더) HANDMADE CASHMERE DOUBLE COAT [3COLORS],278112,https://m.wconcept.co.kr/Product/303596346
2025-10-23,08:19,하시에,의류,원피스,27,(2차 리오더) ONE BUTTON DETAIL SLEEVELESS DRESS [BLACK],104940,https://m.wconcept.co.kr/Product/306105604
2025-10-23,08:19,하시에,의류,셔츠,26,(3차 리오더) BLUE STRIPE COTTON SHIRT [BLUE],83776,https://m.wconcept.co.kr/Product/306668472
2025-10-23,08:19,하시에,의류,셔츠,162,(3차 리오더) OVERSIZE DOLMAN SLEEVE SHEER SHIRT [5COLORS],90816,https://m.wconcept.co.kr/Product/306918731
2025-10-23,08:19,하시에,의류,셔츠,182,(20차 리오더) LAYERED CUFFS SHIRTS [5COLORS],77000,https://m.wconcept.co.kr/Product/301482915
2025-10-23,08:19,하시에,의류,티셔츠,60,[채랑 PICK] COLOR BLOCK RINGER TOP [3COLORS],33748,https://m.wconcept.co.kr/Product/306105578
2025-10-23,08:19,하시에,의류,니트,20,[채랑 PICK] HAIRY PLUME KNIT CARDIGAN [3COLORS],121635,https://m.wconcept.co.kr/Product/307456270
2025-10-23,08:19,하시에,의류,스커트,15,(11차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],83072,https://m.wconcept.co.kr/Product/306105637
2025-10-23,08:19,하시에,의류,스커트,18,[채랑 PICK] (CHOCOLATE/S - 11/18 재입고) NEW CLASSIC SUEDE LONG SKIRT [BROWN][CHOCOLATE],96492,https://m.wconcept.co.kr/Product/307414600
2025-10-23,08:19,하시에,의류,데님,172,SIDE SLIT STRAIGHT DENIM PANTS [DARK BLUE],45936,https://m.wconcept.co.kr/Product/301632929
2025-10-23,08:19,하시에,가방,전체,21,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],99000,https://m.wconcept.co.kr/Product/307456275
2025-10-23,08:19,하시에,가방,숄더백,11,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],99000,https://m.wconcept.co.kr/Product/307456275
2025-10-23,08:19,하시에,가방,숄더백,137,[채랑PICK] DOUBLE BUCKLE SHOULDER BAG [BEIGE],73304,https://m.wconcept.co.kr/Product/306772193
2025-10-23,08:19,하시에,가방,백액세서리,90,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],19712,https://m.wconcept.co.kr/Product/306105587
2025-10-23,08:19,하시에,액세서리,스카프/머플러,178,WOOL BLENDED LEOPARD SHAWL MUFFLER [MOCHA],83160,https://m.wconcept.co.kr/Product/307414607
