유형,날짜,상품수,카테고리,평균순위,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
일별통계,2025-11-17,16,,,,,,,,,,,,
일별통계,2025-11-18,20,,,,,,,,,,,,
일별통계,2025-11-19,14,,,,,,,,,,,,
일별통계,2025-11-20,13,,,,,,,,,,,,
일별통계,2025-11-21,14,,,,,,,,,,,,
일별통계,2025-11-22,13,,,,,,,,,,,,
일별통계,2025-11-23,103,,,,,,,,,,,,
카테고리통계,,46,의류 - 아우터,86.4,1,,,,,,,,,
카테고리통계,,30,의류 - 전체,79.8,2,,,,,,,,,
카테고리통계,,27,전체,81.6,2,,,,,,,,,
카테고리통계,,21,의류 - 스커트,97.4,2,,,,,,,,,
카테고리통계,,17,의류 - 셔츠,97.6,5,,,,,,,,,
카테고리통계,,9,의류 - 원피스,112.7,27,,,,,,,,,
카테고리통계,,8,의류 - 니트,121.9,55,,,,,,,,,
카테고리통계,,8,가방 - 숄더백,100.2,3,,,,,,,,,
카테고리통계,,7,의류 - 티셔츠,57.3,9,,,,,,,,,
카테고리통계,,6,의류 - 데님,98.3,36,,,,,,,,,
카테고리통계,,6,가방 - 백액세서리,66.8,8,,,,,,,,,
카테고리통계,,4,가방 - 전체,103.0,7,,,,,,,,,
카테고리통계,,3,의류 - 팬츠,101.3,82,,,,,,,,,
카테고리통계,,1,액세서리 - 모자,146.0,146,,,,,,,,,
TOP1,,,의류 - 아우터,,1,2025-11-23,50706,83%,더블유위크,65,3927,4.8,HANDMADE BELTED MUFFLER CASHMERE COAT [3COLORS],./23/일일_요약_251123_082218.md
TOP2,,,의류 - 아우터,,2,2025-11-23,119101,70%,더블유위크,184,5339,4.9,"[채랑,모찌언니 PICK][단독기획] HEAVY DUMPLING DOWN JUMPER [4COLORS]",./23/일일_요약_251123_082218.md
TOP3,,,의류 - 스커트,,2,2025-11-23,70623,40%,더블유위크,372,14009,4.8,(11차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],./23/일일_요약_251123_082218.md
TOP4,,,가방 - 숄더백,,3,2025-11-22,57190,34%,더블유위크,152,5330,4.9,CRESCENT MOON BAG [5COLORS],./22/일일_요약_251122_082143.md
TOP5,,,의류 - 아우터,,4,2025-11-23,264703,37%,더블유위크,0,158,,[지우 PICK] REVERSIBLE FAUX FUR PADDED JUMPER [KHAKI],./23/일일_요약_251123_082218.md
TOP6,,,의류 - 셔츠,,5,2025-11-20,79135,34%,더블유위크,41,888,5.0,[여름 PICK] (3차 리오더) BLUE STRIPE COTTON SHIRT [BLUE],./20/일일_요약_251120_082214.md
TOP7,,,의류 - 스커트,,6,2025-11-23,17157,87%,더블유위크,36,769,4.9,QUILTED PADDING LONG SKIRT [4COLORS],./23/일일_요약_251123_082218.md
TOP8,,,가방 - 백액세서리,,8,2025-11-22,17920,44%,더블유위크,71,1446,4.9,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],./22/일일_요약_251122_082143.md
TOP9,,,의류 - 티셔츠,,9,2025-11-23,62543,37%,더블유위크,28,697,5.0,"[모찌언니,여름 PICK] STRING DETAIL OVERSIZE MULTI STRIPE T-SHIRT [IVORY][NAVY]",./23/일일_요약_251123_082218.md
TOP10,,,의류 - 아우터,,10,2025-11-23,289973,37%,더블유위크,1,561,5.0,[유니 PICK] FOX FUR HOODED DRAW STRING GOOSE DOWN JUMPER [KHAKI][BLACK],./23/일일_요약_251123_082218.md
