유형,날짜,상품수,카테고리,평균순위,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
일별통계,2025-11-10,16,,,,,,,,,,,,
일별통계,2025-11-11,26,,,,,,,,,,,,
일별통계,2025-11-12,15,,,,,,,,,,,,
일별통계,2025-11-13,23,,,,,,,,,,,,
일별통계,2025-11-14,23,,,,,,,,,,,,
일별통계,2025-11-15,16,,,,,,,,,,,,
일별통계,2025-11-16,17,,,,,,,,,,,,
카테고리통계,,23,의류 - 아우터,109.8,8,,,,,,,,,
카테고리통계,,20,의류 - 스커트,96.1,7,,,,,,,,,
카테고리통계,,14,의류 - 전체,119.6,12,,,,,,,,,
카테고리통계,,11,의류 - 셔츠,106.6,9,,,,,,,,,
카테고리통계,,11,의류 - 데님,152.6,63,,,,,,,,,
카테고리통계,,10,전체,110.1,12,,,,,,,,,
카테고리통계,,9,의류 - 원피스,67.6,9,,,,,,,,,
카테고리통계,,8,가방 - 숄더백,80.2,15,,,,,,,,,
카테고리통계,,6,가방 - 전체,101.7,27,,,,,,,,,
카테고리통계,,6,가방 - 백액세서리,91.0,26,,,,,,,,,
카테고리통계,,5,액세서리 - 스카프/머플러,82.8,24,,,,,,,,,
카테고리통계,,4,의류 - 티셔츠,120.0,52,,,,,,,,,
카테고리통계,,3,의류 - 니트,115.7,102,,,,,,,,,
카테고리통계,,3,의류 - 팬츠,171.0,137,,,,,,,,,
카테고리통계,,2,액세서리 - 전체,150.0,100,,,,,,,,,
카테고리통계,,1,의류 - 블라우스,175.0,175,,,,,,,,,
TOP1,,,의류 - 스커트,,7,2025-11-12,70623,40%,쓱데이,356,13989,4.8,(11차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],./12/일일_요약_251112_082130.md
TOP2,,,의류 - 아우터,,8,2025-11-12,206948,47%,쓱데이,40,2165,5.0,[채랑 PICK] (2차 리오더) [단독기획] FOX FUR BELTED GOOSE DOWN [3COLORS],./12/일일_요약_251112_082130.md
TOP3,,,의류 - 셔츠,,9,2025-11-13,81496,37%,더블유위크,7,368,5.0,[채랑 PICK] OVERSIZE STANDARD STRIPE SHIRT [IVORY][PINK],./13/일일_요약_251113_082251.md
TOP4,,,의류 - 원피스,,9,2025-11-14,95161,40%,더블유위크,24,2218,4.9,(3차 리오더) ONE BUTTON DETAIL SLEEVELESS DRESS [BLACK],./14/일일_요약_251114_082247.md
TOP5,,,의류 - 원피스,,10,2025-11-15,61740,37%,더블유위크,153,2676,4.9,COLLAR DETAIL KNIT DRESS [3COLORS],./15/일일_요약_251115_082117.md
TOP6,,,가방 - 숄더백,,15,2025-11-10,58728,32%,쓱데이,150,5133,4.9,CRESCENT MOON BAG [5COLORS],./10/일일_요약_251110_091846.md
TOP7,,,액세서리 - 스카프/머플러,,24,2025-11-13,66334,37%,더블유위크,8,215,4.5,WOOL BLENDED LEOPARD SHAWL MUFFLER [MOCHA],./13/일일_요약_251113_082251.md
TOP8,,,의류 - 원피스,,25,2025-11-16,74340,37%,,395,6391,4.9,(13차 리오더) SATIN SLEEVELESS LONG DRESS [6COLORS],./16/일일_요약_251116_082106.md
TOP9,,,의류 - 스커트,,25,2025-11-16,74970,37%,더블유위크,2,76,5.0,FRONT ZIP-UP DETAIL MID SKIRT [3COLORS],./16/일일_요약_251116_082106.md
TOP10,,,가방 - 백액세서리,,26,2025-11-11,17024,47%,쓱데이,70,1437,4.9,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],./11/일일_요약_251111_082227.md
