날짜,시간,브랜드명,depth1_카테고리,depth2_카테고리,순위,상품명,가격,상품URL
2025-11-03,08:20,하시에,전체,전체,72,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],121553,https://m.wconcept.co.kr/Product/303596201
2025-11-03,08:20,하시에,전체,전체,105,[채랑 PICK][단독기획] HEAVY DUMPLING DOWN JUMPER [4COLORS],135893,https://m.wconcept.co.kr/Product/306157278
2025-11-03,08:20,하시에,전체,전체,166,FOX FUR GOOSE DOWN LONG PARKA [LIGHT GREY][CHARCOAL],150234,https://m.wconcept.co.kr/Product/307321973
2025-11-03,08:20,하시에,의류,전체,41,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],121553,https://m.wconcept.co.kr/Product/303596201
2025-11-03,08:20,하시에,의류,전체,67,[채랑 PICK][단독기획] HEAVY DUMPLING DOWN JUMPER [4COLORS],135893,https://m.wconcept.co.kr/Product/306157278
2025-11-03,08:20,하시에,의류,전체,113,FOX FUR GOOSE DOWN LONG PARKA [LIGHT GREY][CHARCOAL],150234,https://m.wconcept.co.kr/Product/307321973
2025-11-03,08:20,하시에,의류,아우터,28,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],121553,https://m.wconcept.co.kr/Product/303596201
2025-11-03,08:20,하시에,의류,아우터,43,[채랑 PICK][단독기획] HEAVY DUMPLING DOWN JUMPER [4COLORS],135893,https://m.wconcept.co.kr/Product/306157278
2025-11-03,08:20,하시에,의류,아우터,76,FOX FUR GOOSE DOWN LONG PARKA [LIGHT GREY][CHARCOAL],150234,https://m.wconcept.co.kr/Product/307321973
2025-11-03,08:20,하시에,의류,아우터,192,(5차 리오더) OVERFIT QUILTED GOOSE DOWN PONCHO [4COLORS],111139,https://m.wconcept.co.kr/Product/303596278
2025-11-03,08:20,하시에,의류,아우터,199,RUFFLE STRING DETAIL DUCK DOWN VEST [3COLORS],67605,https://m.wconcept.co.kr/Product/306105645
2025-11-03,08:20,하시에,의류,원피스,162,COLLAR DETAIL KNIT DRESS [3COLORS],58557,https://m.wconcept.co.kr/Product/304291849
2025-11-03,08:20,하시에,의류,원피스,170,(13차 리오더) SATIN SLEEVELESS LONG DRESS [6COLORS],70507,https://m.wconcept.co.kr/Product/301454263
2025-11-03,08:20,하시에,의류,블라우스,154,DOLMAN SLEEVE BLOUSE [3COLORS],62740,https://m.wconcept.co.kr/Product/307298017
2025-11-03,08:20,하시에,의류,셔츠,191,HAILEY OVERSIZE CROPPED SHIRT [3COLORS],94920,https://m.wconcept.co.kr/Product/305707675
2025-11-03,08:20,하시에,의류,니트,63,[채랑 PICK] HAIRY PLUME KNIT CARDIGAN [3COLORS],108578,https://m.wconcept.co.kr/Product/307456270
2025-11-03,08:20,하시에,의류,니트,142,CASHMERE BLENDED STRIPE KNIT TOP [GREY][BLUE],84250,https://m.wconcept.co.kr/Product/306105607
2025-11-03,08:20,하시에,의류,스커트,42,(11차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],80580,https://m.wconcept.co.kr/Product/306105637
2025-11-03,08:20,하시에,의류,스커트,46,[채랑 PICK] TUCK DETAIL FLARE LONG SKIRT [BEIGE][BROWN],83994,https://m.wconcept.co.kr/Product/306668435
2025-11-03,08:20,하시에,가방,숄더백,129,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],85360,https://m.wconcept.co.kr/Product/307456275
2025-11-03,08:20,하시에,가방,숄더백,144,CRESCENT MOON BAG [5COLORS],58728,https://m.wconcept.co.kr/Product/303596708
