유형,기간,상품수,일평균,카테고리,평균순위,평균가격,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
1주차,1주차,87,12.4,,,,,,,,,,,,,
2주차,2주차,70,10.0,,,,,,,,,,,,,
3주차,3주차,71,10.1,,,,,,,,,,,,,
4주차,4주차,112,16.0,,,,,,,,,,,,,
5주차,5주차,47,15.7,,,,,,,,,,,,,
카테고리통계,,90,,의류 - 셔츠,91.8,"79,247",,,,,,,,,,
카테고리통계,,39,,의류 - 원피스,97.6,"71,877",,,,,,,,,,
카테고리통계,,38,,의류 - 아우터,84.8,"131,986",,,,,,,,,,
카테고리통계,,37,,의류 - 데님,106.9,"69,388",,,,,,,,,,
카테고리통계,,32,,의류 - 스커트,82.8,"83,991",,,,,,,,,,
카테고리통계,,29,,의류 - 티셔츠,108.8,"41,479",,,,,,,,,,
카테고리통계,,27,,의류 - 전체,95.8,"88,097",,,,,,,,,,
카테고리통계,,23,,의류 - 팬츠,82.4,"64,905",,,,,,,,,,
카테고리통계,,18,,전체,88.4,"91,629",,,,,,,,,,
카테고리통계,,10,,의류 - 니트,123.3,"76,615",,,,,,,,,,
카테고리통계,,10,,가방 - 숄더백,107.5,"90,077",,,,,,,,,,
카테고리통계,,10,,의류 - 블라우스,80.0,"62,904",,,,,,,,,,
카테고리통계,,9,,가방 - 백액세서리,158.7,"14,005",,,,,,,,,,
카테고리통계,,5,,액세서리 - 패션액세서리,152.4,"34,122",,,,,,,,,,
카테고리통계,,4,,가방 - 전체,101.2,"100,887",,,,,,,,,,
TOP1,,,,의류 - 스커트,,,1,2026-05-27,90300,30%,여름준비,56,3061,5.0,"[지인,여민,경은,한빛 PICK] (3차 리오더) CREASE SATIN LAYERED LONG SKIRT [IVORY][BLACK]",./27/일일_요약_260527_085913.md
TOP2,,,,의류 - 블라우스,,,1,2026-05-27,69300,30%,,0,742,,[리라 PICK] COWL NECK DRAPE BLOUSE [ICE GREY][NAVY],./27/일일_요약_260527_085913.md
TOP3,,,,의류 - 원피스,,,2,2026-05-03,50008,47%,여름준비,1130,14468,4.9,[단독](18차 리오더) AVEC HACIE COTTON LONG DRESS [IVORY][CHARCOAL],./03/일일_요약_260503_083722.md
TOP4,,,,의류 - 셔츠,,,2,2026-05-22,86275,33%,여름준비,132,2366,4.9,"[한빛,여민 PICK] (7차 리오더) OVERSIZE DOLMAN SLEEVE SHEER SHIRT [6COLORS]",./22/일일_요약_260522_085606.md
TOP5,,,,의류 - 셔츠,,,2,2026-05-27,74970,37%,여름준비,9,713,5.0,"[예지,한빛 PICK] (2차 리오더) OVERSIZE DOLMAN SLEEVE CHECK SHIRT [ORANGE CHECK][BLACK CHECK]",./27/일일_요약_260527_085913.md
TOP6,,,,의류 - 아우터,,,2,2026-05-27,111300,30%,,0,175,,[리라 PICK] CREASE SILKY LINEN OVER-FIT JACKET [3COLORS],./27/일일_요약_260527_085913.md
TOP7,,,,의류 - 데님,,,8,2026-05-03,84222,43%,여름준비,26,194,5.0,(1차 리오더) VINTAGE VELVET WIDE CURVED DENIM PANTS [3COLORS],./03/일일_요약_260503_083722.md
TOP8,,,,의류 - 아우터,,,8,2026-05-05,133091,33%,프리쇼,3,219,5.0,HIGH-NECK ZIP-UP VARSITY JUMPER [IVORY][BLACK],./05/일일_요약_260505_090716.md
TOP9,,,,의류 - 데님,,,12,2026-05-16,76184,27%,여름필수템,5,188,4.2,(1차 리오더) WASHED WIDE DENIM PANTS [MIDDLE BLUE],./16/일일_요약_260516_084933.md
TOP10,,,,의류 - 데님,,,15,2026-05-16,67221,36%,프리쇼,24,379,5.0,[예지 PICK](2차 리오더) CURVED DENIM PANTS [3COLORS],./16/일일_요약_260516_084933.md
TOP11,,,,의류 - 셔츠,,,15,2026-05-27,81270,37%,,4,304,5.0,TULIP WIRE HEM LINE SHIRT [WHITE][BUTTER YELLOW],./27/일일_요약_260527_085913.md
TOP12,,,,의류 - 티셔츠,,,18,2026-05-03,49376,50%,여름준비,52,795,4.9,(2차 리오더) STRING DETAIL OVERSIZE MULTI STRIPE T-SHIRT [IVORY][NAVY],./03/일일_요약_260503_083722.md
TOP13,,,,의류 - 티셔츠,,,18,2026-05-20,28297,27%,여름준비,58,752,4.9,"[여민,예지,한빛 PICK](2차 리오더) SIGNATURE CROP T-SHIRT [7COLORS]",./20/일일_요약_260520_085740.md
TOP14,,,,의류 - 팬츠,,,18,2026-05-27,54530,34%,프리쇼,188,1309,5.0,[예지 PICK](4차 리오더) STITCHED BERMUDA PANTS [3COLORS],./27/일일_요약_260527_085913.md
TOP15,,,,의류 - 아우터,,,19,2026-05-03,125718,37%,여름준비,49,3711,5.0,"[지인,유니 PICK] (1차 리오더) CORDUROY COLLAR VINTAGE WASHED SAFARI JACKET [TAN BEIGE][CHARCOAL]",./03/일일_요약_260503_083722.md
TOP16,,,,의류 - 셔츠,,,19,2026-05-07,73304,38%,프리쇼,50,979,5.0,(4차 리오더) BLUE STRIPE COTTON SHIRT [BLUE],./07/일일_요약_260507_084255.md
TOP17,,,,가방 - 숄더백,,,19,2026-05-27,125370,37%,여름필수템,1,267,5.0,"[예지,한빛,리라,여민 PICK] FAUX LEATHER TWIST STRAP MINI BAG [3COLORS]",./27/일일_요약_260527_085913.md
TOP18,,,,의류 - 팬츠,,,19,2026-05-27,83300,30%,,0,108,,[리라 PICK] TWO TUCK DETAIL LINEN HALF PANTS (+BELT) [3COLORS],./27/일일_요약_260527_085913.md
TOP19,,,,의류 - 니트,,,21,2026-05-08,86328,21%,프리쇼,2,335,5.0,[한빛 PICK] OVER-FIT DEEP V-NECK PULL OVER [BUTTER YELLOW][MELANGE GREY],./08/일일_요약_260508_084836.md
TOP20,,,,의류 - 원피스,,,21,2026-05-29,78470,34%,프리쇼,411,6428,4.9,(14차 리오더) SATIN SLEEVELESS LONG DRESS [5COLORS],./29/일일_요약_260529_090601.md
1주차_TOP1,1주차,,,의류 - 원피스,,,2,2026-05-03,50008,47%,,0,0,,[단독](18차 리오더) AVEC HACIE COTTON LONG DRESS [IVORY][CHARCOAL],./2026년_05월_1주차_통계.md
