날짜,시간,상품코드,브랜드코드,브랜드명,브랜드영문명,depth1_카테고리,depth2_카테고리,depth3_카테고리,순위,상품명,상품라벨앞,상품라벨뒤,서브상품명,정상가,판매가,최종판매가,가격,할인율,상품URL,상품이미지URL,세일태그,정보태그,당일배송,리뷰수,찜수,리뷰평점,상품상태코드,상품타입코드,이벤트시작,이벤트종료,컨텐츠정보
2026-06-27,08:58,308102379,105980,하시에,HACIE,의류,전체,슬리브리스,139,"[지인,한빛 PICK] (3차 리오더) CREASE SATIN LAYERED SLEEVELESS BLOUSE [IVORY][BLACK]",[한정특가],,[한정특가],105000,94500,77206,77206,26%,https://m.wconcept.co.kr/Product/308102379,https://product-image.wconcept.co.kr/productimg/image/img1/79/308102379_GH11132.jpg,여름대비템,"쿠폰,단독",Y,33,4109,4.9,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-06-27,08:58,308564437,105980,하시에,HACIE,의류,전체,셔츠,153,JACQUARD HALF SLEEVE BLOUSE [WHITE][BLACK],[한정특가],,[한정특가],99000,89100,72795,72795,26%,https://m.wconcept.co.kr/Product/308564437,https://product-image.wconcept.co.kr/productimg/image/img1/37/308564437_GG10971.jpg,여름대비템,"쿠폰,단독",Y,2,264,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-06-27,08:58,308564432,105980,하시에,HACIE,의류,아우터,자켓,71,[리라 PICK] CREASE SILKY LINEN OVER-FIT JACKET [3COLORS],[한정특가],,[한정특가],159000,143100,119632,119632,25%,https://m.wconcept.co.kr/Product/308564432,https://product-image.wconcept.co.kr/productimg/image/img1/32/308564432_KM75485.jpg,여름대비템,"쿠폰,단독",Y,18,849,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-06-27,08:58,301454263,105980,하시에,HACIE,의류,원피스,미디,101,[령은 PICK] (14차 리오더)[NEW컬러추가]SATIN SLEEVELESS LONG DRESS [5COLORS],[한정특가],,[한정특가],118000,100300,83851,83851,29%,https://m.wconcept.co.kr/Product/301454263,https://product-image.wconcept.co.kr/productimg/image/img1/63/301454263_KG92442.jpg,여름대비템,"쿠폰,단독",Y,420,6951,4.9,01,15,2024-06-14T10:00:00,2024-06-17T10:00:00,
2026-06-27,08:58,302768208,105980,하시에,HACIE,의류,원피스,맥시,190,[경은 PICK](19차 리오더)[NEW컬러추가]AVEC HACIE COTTON LONG DRESS [5COLORS],[한정특가],,[한정특가],94000,84600,70726,70726,25%,https://m.wconcept.co.kr/Product/302768208,https://product-image.wconcept.co.kr/productimg/image/img1/08/302768208_JG61566.jpg,여름대비템,"쿠폰,단독",Y,1195,14998,4.9,01,15,2026-06-01T18:00:00,2026-06-02T18:00:00,
2026-06-27,08:58,308564435,105980,하시에,HACIE,의류,블라우스,블라우스,95,(2차 리오더) BUTTON DETAIL LINEN BLOUSE [WHITE][BLACK],[한정특가],,[한정특가],105000,94500,77206,77206,26%,https://m.wconcept.co.kr/Product/308564435,https://product-image.wconcept.co.kr/productimg/image/img1/35/308564435_GG20432.jpg,여름대비템,"쿠폰,단독",N,6,935,4.8,01,17,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-06-27,08:58,308564437,105980,하시에,HACIE,의류,셔츠,셔츠,18,JACQUARD HALF SLEEVE BLOUSE [WHITE][BLACK],[한정특가],,[한정특가],99000,89100,72795,72795,26%,https://m.wconcept.co.kr/Product/308564437,https://product-image.wconcept.co.kr/productimg/image/img1/37/308564437_GG10971.jpg,여름대비템,"쿠폰,단독",Y,2,264,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-06-27,08:58,308102379,105980,하시에,HACIE,의류,티셔츠,슬리브리스,12,"[지인,한빛 PICK] (3차 리오더) CREASE SATIN LAYERED SLEEVELESS BLOUSE [IVORY][BLACK]",[한정특가],,[한정특가],105000,94500,77206,77206,26%,https://m.wconcept.co.kr/Product/308102379,https://product-image.wconcept.co.kr/productimg/image/img1/79/308102379_GH11132.jpg,여름대비템,"쿠폰,단독",Y,33,4109,4.9,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2026-06-27,08:58,308102386,105980,하시에,HACIE,의류,티셔츠,반팔,124,"[여민,예지,한빛 PICK](5차 리오더)[NEW컬러추가]SIGNATURE CROP T-SHIRT [7COLORS]",[한정특가],,[한정특가],39000,35100,28677,28677,26%,https://m.wconcept.co.kr/Product/308102386,https://product-image.wconcept.co.kr/productimg/image/img1/86/308102386_GM20206.jpg,여름대비템,"쿠폰,단독",N,150,3127,4.9,01,17,2026-05-15T10:00:00,2026-05-18T10:00:00,
2026-06-27,08:58,306668439,105980,하시에,HACIE,의류,데님,스트레이트진,161,"[한빛,예지 PICK](2차 리오더) CURVED DENIM PANTS [3COLORS]",[한정특가],,[한정특가],105000,89250,74613,74613,29%,https://m.wconcept.co.kr/Product/306668439,https://product-image.wconcept.co.kr/productimg/image/img1/39/306668439_OL18599.jpg,여름대비템,"쿠폰,단독",Y,35,874,4.9,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
