유형,날짜,상품수,카테고리,평균순위,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
일별통계,2026-03-02,15,,,,,,,,,,,,
일별통계,2026-03-03,20,,,,,,,,,,,,
일별통계,2026-03-04,22,,,,,,,,,,,,
일별통계,2026-03-05,28,,,,,,,,,,,,
일별통계,2026-03-06,20,,,,,,,,,,,,
일별통계,2026-03-07,36,,,,,,,,,,,,
일별통계,2026-03-08,43,,,,,,,,,,,,
카테고리통계,,42,의류 - 아우터,69.5,1,,,,,,,,,
카테고리통계,,27,전체,72.8,4,,,,,,,,,
카테고리통계,,27,의류 - 전체,56.1,1,,,,,,,,,
카테고리통계,,20,의류 - 셔츠,83.9,9,,,,,,,,,
카테고리통계,,15,의류 - 스커트,91.6,18,,,,,,,,,
카테고리통계,,11,의류 - 원피스,111.5,21,,,,,,,,,
카테고리통계,,9,의류 - 데님,100.8,26,,,,,,,,,
카테고리통계,,7,가방 - 백액세서리,75.9,6,,,,,,,,,
카테고리통계,,6,의류 - 티셔츠,124.8,82,,,,,,,,,
카테고리통계,,6,가방 - 숄더백,120.5,82,,,,,,,,,
카테고리통계,,5,의류 - 팬츠,76.2,17,,,,,,,,,
카테고리통계,,4,의류 - 니트,148.0,115,,,,,,,,,
카테고리통계,,3,가방 - 전체,172.0,154,,,,,,,,,
카테고리통계,,1,액세서리 - 모자,185.0,185,,,,,,,,,
카테고리통계,,1,액세서리 - 패션액세서리,92.0,92,,,,,,,,,
TOP1,,,의류 - 전체,,1,2026-03-04,179863,31%,프리쇼,19,922,5.0,[유니 PICK] HIGH-NECK OVERSIZE SAFARI JUMPER [TAN BEIGE][GREY],./04/일일_요약_260304_082102.md
TOP2,,,전체,,4,2026-03-03,130066,35%,프리쇼,19,614,5.0,[유니 PICK] CORDUROY COLLAR VINTAGE WASHED SAFARI JACKET [TAN BEIGE][CHARCOAL],./03/일일_요약_260303_082025.md
TOP3,,,가방 - 백액세서리,,6,2026-03-07,12960,60%,,121,1921,4.9,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],./07/일일_요약_260307_082217.md
TOP4,,,의류 - 아우터,,7,2026-03-04,109069,39%,프리쇼,674,14986,4.9,(6차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],./04/일일_요약_260304_082102.md
TOP5,,,의류 - 셔츠,,9,2026-03-06,68068,43%,,1,92,5.0,NEW LAYERED CUFFS COTTON SHIRT [BLUE],./06/일일_요약_260306_084600.md
TOP6,,,의류 - 팬츠,,17,2026-03-05,71692,47%,,8,86,5.0,EMB LOGO JOGGER SWEATPANTS [MELANGE GREY][BLACK],./05/일일_요약_260305_082438.md
TOP7,,,의류 - 스커트,,18,2026-03-06,53460,60%,,17,302,4.9,GLOSSY MEMORY PLEATS FLARE SKIRT [IVORY][BLACK],./06/일일_요약_260306_084600.md
TOP8,,,의류 - 팬츠,,19,2026-03-06,85624,38%,,20,474,4.9,ZIP DETAIL WIDE PANTS [BLACK],./06/일일_요약_260306_084600.md
TOP9,,,의류 - 원피스,,21,2026-03-07,55836,41%,,666,8193,4.9,[단독](16차 리오더) AVEC HACIE COTTON LONG DRESS [CHARCOAL],./07/일일_요약_260307_082217.md
TOP10,,,의류 - 아우터,,21,2026-03-07,265680,48%,,66,4530,4.9,[채랑 PICK] WHITE FOX FUR DOWN LONG JUMPER [NAVY],./07/일일_요약_260307_082217.md
