유형,날짜,상품수,카테고리,평균순위,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
일별통계,2026-03-16,16,,,,,,,,,,,,
일별통계,2026-03-17,21,,,,,,,,,,,,
일별통계,2026-03-18,15,,,,,,,,,,,,
일별통계,2026-03-19,11,,,,,,,,,,,,
일별통계,2026-03-20,20,,,,,,,,,,,,
일별통계,2026-03-21,7,,,,,,,,,,,,
일별통계,2026-03-22,14,,,,,,,,,,,,
카테고리통계,,16,의류 - 아우터,79.0,1,,,,,,,,,
카테고리통계,,15,의류 - 셔츠,95.2,18,,,,,,,,,
카테고리통계,,13,의류 - 전체,92.1,9,,,,,,,,,
카테고리통계,,13,의류 - 스커트,65.2,1,,,,,,,,,
카테고리통계,,12,의류 - 원피스,119.1,43,,,,,,,,,
카테고리통계,,11,전체,92.9,9,,,,,,,,,
카테고리통계,,7,의류 - 티셔츠,126.9,29,,,,,,,,,
카테고리통계,,7,의류 - 데님,96.3,21,,,,,,,,,
카테고리통계,,5,의류 - 블라우스,98.4,31,,,,,,,,,
카테고리통계,,2,가방 - 백액세서리,124.5,58,,,,,,,,,
카테고리통계,,1,액세서리 - 스카프/머플러,141.0,141,,,,,,,,,
카테고리통계,,1,의류 - 니트,136.0,136,,,,,,,,,
카테고리통계,,1,가방 - 숄더백,175.0,175,,,,,,,,,
TOP1,,,의류 - 아우터,,1,2026-03-17,113920,36%,,707,15461,4.9,(6차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],./17/일일_요약_260317_082601.md
TOP2,,,의류 - 스커트,,1,2026-03-21,92880,28%,,18,674,5.0,[경은 PICK] CREASE SATIN LAYERED LONG SKIRT [IVORY][BLACK],./21/일일_요약_260321_082310.md
TOP3,,,의류 - 셔츠,,18,2026-03-17,88960,36%,스프링위크,25,791,4.9,HAILEY OVERSIZE CROPPED SHIRT [3COLORS],./17/일일_요약_260317_082601.md
TOP4,,,의류 - 셔츠,,20,2026-03-20,85680,28%,스프링위크,1,92,5.0,[경은 PICK] CREASE TEXTURE SHIRRING SHIRT [WHITE][BLACK],./20/일일_요약_260320_082429.md
TOP5,,,의류 - 데님,,21,2026-03-16,64680,38%,,23,384,5.0,[채랑 PICK] CURVED DENIM PANTS [3COLORS],./16/일일_요약_260316_082254.md
TOP6,,,의류 - 셔츠,,22,2026-03-20,78480,28%,,17,165,5.0,[유니 PICK] EMB LOGO SIGNATURE COTTON SHIRT [4COLORS],./20/일일_요약_260320_082429.md
TOP7,,,의류 - 아우터,,26,2026-03-22,104424,54%,스프링위크,192,3763,4.9,EMBROIDERY PADDING JACKET [3COLORS],./22/일일_요약_260322_081849.md
TOP8,,,의류 - 티셔츠,,29,2026-03-20,33840,28%,스프링위크,2,136,5.0,[경은 PICK] MULTI SILKET ROUND NECK T-SHIRT [3COLORS],./20/일일_요약_260320_082429.md
TOP9,,,의류 - 블라우스,,31,2026-03-20,82800,28%,스프링위크,0,49,,[경은 PICK] OVER-FIT SHIRRING TIE BLOUSE [3COLORS],./20/일일_요약_260320_082429.md
TOP10,,,의류 - 블라우스,,34,2026-03-20,69760,36%,스프링위크,4,432,4.8,SILKY TIE DETAIL BLOUSE [IVORY][BLACK],./20/일일_요약_260320_082429.md
