유형,기간,상품수,일평균,카테고리,평균순위,평균가격,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
1주차,1주차,154,22.0,,,,,,,,,,,,,
2주차,2주차,117,16.7,,,,,,,,,,,,,
3주차,3주차,99,14.1,,,,,,,,,,,,,
4주차,4주차,107,15.3,,,,,,,,,,,,,
5주차,5주차,25,8.3,,,,,,,,,,,,,
카테고리통계,,111,,의류 - 아우터,83.0,"143,864",,,,,,,,,,
카테고리통계,,67,,의류 - 전체,83.0,"138,234",,,,,,,,,,
카테고리통계,,66,,의류 - 셔츠,103.8,"75,898",,,,,,,,,,
카테고리통계,,56,,전체,85.9,"143,768",,,,,,,,,,
카테고리통계,,48,,의류 - 스커트,84.5,"77,594",,,,,,,,,,
카테고리통계,,45,,의류 - 원피스,113.2,"71,925",,,,,,,,,,
카테고리통계,,28,,의류 - 티셔츠,110.6,"38,696",,,,,,,,,,
카테고리통계,,24,,의류 - 데님,93.4,"67,519",,,,,,,,,,
카테고리통계,,15,,가방 - 백액세서리,82.2,"15,233",,,,,,,,,,
카테고리통계,,10,,가방 - 숄더백,136.2,"55,996",,,,,,,,,,
카테고리통계,,9,,의류 - 팬츠,85.0,"79,901",,,,,,,,,,
카테고리통계,,9,,의류 - 니트,121.7,"90,239",,,,,,,,,,
카테고리통계,,6,,의류 - 블라우스,114.0,"67,667",,,,,,,,,,
카테고리통계,,3,,가방 - 전체,172.0,"47,974",,,,,,,,,,
카테고리통계,,3,,액세서리 - 스카프/머플러,168.3,"64,820",,,,,,,,,,
TOP1,,,,의류 - 전체,,,1,2026-03-04,179863,31%,프리쇼,18,781,5.0,[유니 PICK] HIGH-NECK OVERSIZE SAFARI JUMPER [TAN BEIGE][GREY],./04/일일_요약_260304_082102.md
TOP2,,,,의류 - 아우터,,,1,2026-03-17,113920,36%,프리쇼,671,14972,4.9,(6차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],./17/일일_요약_260317_082601.md
TOP3,,,,의류 - 스커트,,,1,2026-03-21,92880,28%,프리쇼,0,94,,[경은 PICK] CREASE SATIN LAYERED LONG SKIRT [IVORY][BLACK],./21/일일_요약_260321_082310.md
TOP4,,,,의류 - 원피스,,,2,2026-03-24,48880,48%,,666,8193,4.9,[단독](16차 리오더) AVEC HACIE COTTON LONG DRESS [CHARCOAL],./24/일일_요약_260324_082628.md
TOP5,,,,전체,,,4,2026-03-03,130066,35%,프리쇼,19,474,5.0,[유니 PICK] CORDUROY COLLAR VINTAGE WASHED SAFARI JACKET [TAN BEIGE][CHARCOAL],./03/일일_요약_260303_082025.md
TOP6,,,,가방 - 백액세서리,,,4,2026-03-12,12384,61%,,121,1919,4.9,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],./12/일일_요약_260312_081959.md
TOP7,,,,의류 - 셔츠,,,4,2026-03-31,80920,32%,프리쇼,0,17,,[한빛 PICK] OVERSIZE DOLMAN SLEEVE CHECK SHIRT [ORANGE CHECK][BLACK CHECK],./31/일일_요약_260331_082924.md
TOP8,,,,의류 - 아우터,,,6,2026-03-11,157740,34%,,0,142,,[유니 PICK](1차 리오더) OVER-FIT ALICE TWEED JACKET [IVORY][BLACK],./11/일일_요약_260311_082151.md
TOP9,,,,의류 - 셔츠,,,9,2026-03-06,68068,43%,,1,92,5.0,NEW LAYERED CUFFS COTTON SHIRT [BLUE],./06/일일_요약_260306_084600.md
TOP10,,,,의류 - 스커트,,,11,2026-03-11,65340,34%,프리쇼,0,42,,[유니 PICK] DOT PRINT LAYERED MID SKIRT [WHITE][BLACK],./11/일일_요약_260311_082151.md
TOP11,,,,의류 - 원피스,,,12,2026-03-24,48880,48%,,430,7731,4.9,[단독](13차 리오더) AVEC HACIE COTTON LONG DRESS [IVORY],./24/일일_요약_260324_082628.md
TOP12,,,,의류 - 티셔츠,,,15,2026-03-24,75600,28%,,0,115,,CREASE SATIN LAYERED SLEEVELESS BLOUSE [IVORY][BLACK],./24/일일_요약_260324_082628.md
TOP13,,,,의류 - 팬츠,,,16,2026-03-31,71760,48%,프리쇼,30,727,5.0,"[한빛,채랑 PICK] TAILORED OVERFIT WOOL BLENDED PANTS [3COLORS]",./31/일일_요약_260331_082924.md
TOP14,,,,의류 - 팬츠,,,17,2026-03-05,71692,47%,,8,86,5.0,EMB LOGO JOGGER SWEATPANTS [MELANGE GREY][BLACK],./05/일일_요약_260305_082438.md
TOP15,,,,의류 - 티셔츠,,,17,2026-03-25,33840,28%,프리쇼,0,26,,[경은 PICK] MULTI SILKET ROUND NECK T-SHIRT [3COLORS],./25/일일_요약_260325_082606.md
TOP16,,,,의류 - 스커트,,,18,2026-03-06,53460,60%,,17,302,4.9,GLOSSY MEMORY PLEATS FLARE SKIRT [IVORY][BLACK],./06/일일_요약_260306_084600.md
TOP17,,,,의류 - 셔츠,,,18,2026-03-17,88960,36%,스프링위크,25,791,4.9,HAILEY OVERSIZE CROPPED SHIRT [3COLORS],./17/일일_요약_260317_082601.md
TOP18,,,,의류 - 팬츠,,,19,2026-03-06,85624,38%,,20,474,4.9,ZIP DETAIL WIDE PANTS [BLACK],./06/일일_요약_260306_084600.md
TOP19,,,,의류 - 셔츠,,,20,2026-03-20,85680,28%,프리쇼,0,14,,[경은 PICK] CREASE TEXTURE SHIRRING SHIRT [WHITE][BLACK],./20/일일_요약_260320_082429.md
TOP20,,,,의류 - 아우터,,,21,2026-03-07,265680,48%,,66,4530,4.9,[채랑 PICK] WHITE FOX FUR DOWN LONG JUMPER [NAVY],./07/일일_요약_260307_082217.md
1주차_TOP1,1주차,,,의류 - 전체,,,1,2026-03-04,179863,31%,,0,0,,[유니 PICK] HIGH-NECK OVERSIZE SAFARI JUMPER [TAN BEIGE][GREY],./2026년_03월_1주차_통계.md
1주차_TOP2,1주차,,,전체,,,4,2026-03-03,130066,35%,,0,0,,[유니 PICK] CORDUROY COLLAR VINTAGE WASHED SAFARI JACKET [TAN BEIGE][CHARCOAL],./2026년_03월_1주차_통계.md
1주차_TOP3,1주차,,,가방 - 백액세서리,,,6,2026-03-07,12960,60%,,0,0,,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],./2026년_03월_1주차_통계.md
1주차_TOP4,1주차,,,의류 - 아우터,,,7,2026-03-04,109069,39%,,0,0,,(6차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],./2026년_03월_1주차_통계.md
