유형,날짜,상품수,카테고리,평균순위,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
일별통계,2026-02-23,14,,,,,,,,,,,,
일별통계,2026-02-24,11,,,,,,,,,,,,
일별통계,2026-02-25,20,,,,,,,,,,,,
일별통계,2026-02-26,15,,,,,,,,,,,,
일별통계,2026-02-27,16,,,,,,,,,,,,
일별통계,2026-02-28,16,,,,,,,,,,,,
일별통계,2026-03-01,13,,,,,,,,,,,,
카테고리통계,,29,의류 - 아우터,83.7,5,,,,,,,,,
카테고리통계,,16,의류 - 전체,76.5,6,,,,,,,,,
카테고리통계,,15,의류 - 셔츠,111.8,54,,,,,,,,,
카테고리통계,,14,전체,81.7,9,,,,,,,,,
카테고리통계,,7,가방 - 백액세서리,100.7,49,,,,,,,,,
카테고리통계,,5,의류 - 원피스,127.8,76,,,,,,,,,
카테고리통계,,5,의류 - 티셔츠,160.2,129,,,,,,,,,
카테고리통계,,5,의류 - 스커트,112.0,58,,,,,,,,,
카테고리통계,,4,의류 - 데님,134.2,69,,,,,,,,,
카테고리통계,,3,의류 - 팬츠,169.0,148,,,,,,,,,
카테고리통계,,1,의류 - 니트,106.0,106,,,,,,,,,
카테고리통계,,1,액세서리 - 스카프/머플러,115.0,115,,,,,,,,,
TOP1,,,의류 - 아우터,,5,2026-03-01,190443,26%,프리쇼,0,108,,[유니 PICK] HIGH-NECK OVERSIZE SAFARI JUMPER [TAN BEIGE][GREY],./01/일일_요약_260301_081617.md
TOP2,,,의류 - 아우터,,10,2026-02-23,120150,32%,,663,14879,4.9,(6차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],../02/23/일일_요약_260223_083151.md
TOP3,,,의류 - 아우터,,18,2026-02-28,230831,32%,,13,716,4.8,[ITALY] TWILL TEXTURE WOOL SHORT JACKET [BLACK],../02/28/일일_요약_260228_081841.md
TOP4,,,의류 - 아우터,,33,2026-03-01,146325,26%,프리쇼,0,176,,[유니 PICK] CORDUROY COLLAR VINTAGE WASHED SAFARI JACKET [TAN BEIGE][CHARCOAL],./01/일일_요약_260301_081617.md
TOP5,,,가방 - 백액세서리,,49,2026-02-28,12287,62%,,118,1912,4.9,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],../02/28/일일_요약_260228_081841.md
TOP6,,,의류 - 아우터,,52,2026-02-25,69225,70%,,168,3556,4.9,EMBROIDERY PADDING JACKET [3COLORS],../02/25/일일_요약_260225_082528.md
TOP7,,,의류 - 셔츠,,54,2026-02-25,74862,37%,,19,399,5.0,OPEN COLLAR STEADY SHIRT [BUTTER YELLOW],../02/25/일일_요약_260225_082528.md
TOP8,,,의류 - 셔츠,,56,2026-02-25,91692,29%,,121,2176,4.9,[여름 PICK] (3차 리오더) OVERSIZE DOLMAN SLEEVE SHEER SHIRT [5COLORS],../02/25/일일_요약_260225_082528.md
TOP9,,,의류 - 스커트,,58,2026-03-01,94854,26%,프리쇼,0,58,,CREASE SATIN LAYERED LONG SKIRT [IVORY][BLACK],./01/일일_요약_260301_081617.md
TOP10,,,의류 - 셔츠,,64,2026-02-24,90442,30%,,19,673,4.8,[채랑 PICK] OVERSIZE STANDARD STRIPE SHIRT [IVORY][PINK],../02/24/일일_요약_260224_083719.md
