유형,날짜,상품수,카테고리,평균순위,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
일별통계,2026-03-23,10,,,,,,,,,,,,
일별통계,2026-03-24,33,,,,,,,,,,,,
일별통계,2026-03-25,15,,,,,,,,,,,,
일별통계,2026-03-26,10,,,,,,,,,,,,
일별통계,2026-03-27,16,,,,,,,,,,,,
일별통계,2026-03-28,9,,,,,,,,,,,,
일별통계,2026-03-29,9,,,,,,,,,,,,
카테고리통계,,29,의류 - 아우터,102.3,23,,,,,,,,,
카테고리통계,,13,의류 - 전체,125.7,19,,,,,,,,,
카테고리통계,,13,의류 - 셔츠,112.5,22,,,,,,,,,
카테고리통계,,12,의류 - 원피스,98.0,2,,,,,,,,,
카테고리통계,,8,전체,129.2,26,,,,,,,,,
카테고리통계,,7,의류 - 스커트,97.6,38,,,,,,,,,
카테고리통계,,5,의류 - 티셔츠,80.4,15,,,,,,,,,
카테고리통계,,5,의류 - 데님,62.4,22,,,,,,,,,
카테고리통계,,2,의류 - 니트,126.5,67,,,,,,,,,
카테고리통계,,2,액세서리 - 스카프/머플러,182.0,171,,,,,,,,,
카테고리통계,,2,의류 - 팬츠,102.5,29,,,,,,,,,
카테고리통계,,2,가방 - 백액세서리,69.5,66,,,,,,,,,
카테고리통계,,1,가방 - 숄더백,138.0,138,,,,,,,,,
카테고리통계,,1,의류 - 블라우스,192.0,192,,,,,,,,,
TOP1,,,의류 - 원피스,,2,2026-03-24,48880,48%,스프링위크,674,8280,4.9,[단독](16차 리오더) AVEC HACIE COTTON LONG DRESS [CHARCOAL],./24/일일_요약_260324_082628.md
TOP2,,,의류 - 원피스,,12,2026-03-24,48880,48%,스프링위크,432,7770,4.9,[단독](13차 리오더) AVEC HACIE COTTON LONG DRESS [IVORY],./24/일일_요약_260324_082628.md
TOP3,,,의류 - 티셔츠,,15,2026-03-24,75600,28%,스프링위크,1,442,5.0,CREASE SATIN LAYERED SLEEVELESS BLOUSE [IVORY][BLACK],./24/일일_요약_260324_082628.md
TOP4,,,의류 - 티셔츠,,17,2026-03-25,33840,28%,스프링위크,4,250,5.0,[경은 PICK] MULTI SILKET ROUND NECK T-SHIRT [3COLORS],./25/일일_요약_260325_082606.md
TOP5,,,의류 - 셔츠,,22,2026-03-24,68120,48%,스프링위크,43,444,4.9,DOUBLE CUFFS OVERSIZE SHIRT [3COLORS],./24/일일_요약_260324_082628.md
TOP6,,,의류 - 데님,,22,2026-03-27,54600,48%,스프링위크,6,90,4.8,WASHED DENIM SHORTS [WHITE][MIDDLE BLUE],./27/일일_요약_260327_082543.md
TOP7,,,의류 - 아우터,,23,2026-03-24,146240,68%,스프링위크,143,10974,4.7,(2차 리오더) HANDMADE CASHMERE DOUBLE COAT [3COLORS],./24/일일_요약_260324_082628.md
TOP8,,,의류 - 데님,,26,2026-03-28,73948,47%,스프링위크,5,196,5.0,LOW-RISE EMBROIDERY DENIM SKIRT [LIGHT BLUE],./28/일일_요약_260328_082628.md
TOP9,,,의류 - 아우터,,27,2026-03-23,135014,35%,스프링위크,4,962,5.0,[경은 PICK] WOOL BLENDED OVERSIZE SINGLE JACKET [TAN BEIGE][BLACK],./23/일일_요약_260323_082145.md
TOP10,,,의류 - 셔츠,,29,2026-03-26,76160,36%,스프링위크,12,141,5.0,OPEN COLLAR STEADY SHIRT [WHITE],./26/일일_요약_260326_082859.md
