날짜,시간,상품코드,브랜드코드,브랜드명,브랜드영문명,depth1_카테고리,depth2_카테고리,depth3_카테고리,순위,상품명,상품라벨앞,상품라벨뒤,서브상품명,정상가,판매가,최종판매가,가격,할인율,상품URL,상품이미지URL,세일태그,정보태그,당일배송,리뷰수,찜수,리뷰평점,상품상태코드,상품타입코드,이벤트시작,이벤트종료,컨텐츠정보
2025-11-13,08:22,307665598,105980,하시에,HACIE,전체,전체,코트,175,[리퍼브] [채랑 PICK] (2차 리오더) HANDMADE CASHMERE DOUBLE COAT [3COLORS],,,,457000,182800,182800,182800,60%,https://m.wconcept.co.kr/Product/307665598,https://product-image.wconcept.co.kr/productimg/image/img1/98/307665598_GL17267.jpg,,단독,N,0,73,,01,15,2025-10-01T10:00:00,2025-10-10T18:00:00,
2025-11-13,08:22,307665598,105980,하시에,HACIE,의류,전체,코트,148,[리퍼브] [채랑 PICK] (2차 리오더) HANDMADE CASHMERE DOUBLE COAT [3COLORS],,,,457000,182800,182800,182800,60%,https://m.wconcept.co.kr/Product/307665598,https://product-image.wconcept.co.kr/productimg/image/img1/98/307665598_GL17267.jpg,,단독,N,0,73,,01,15,2025-10-01T10:00:00,2025-10-10T18:00:00,
2025-11-13,08:22,307463098,105980,하시에,HACIE,의류,전체,패딩,187,[채랑 PICK] (2차 리오더) [단독기획] FOX FUR BELTED GOOSE DOWN [3COLORS],[30%쿠폰][한정특가],,[30%쿠폰],389000,311200,206948,206948,47%,https://m.wconcept.co.kr/Product/307463098,https://product-image.wconcept.co.kr/productimg/image/img1/98/307463098_GG10080.jpg,더블유위크,"쿠폰,단독",N,53,2642,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2025-11-13,08:22,307665598,105980,하시에,HACIE,의류,아우터,코트,76,[리퍼브] [채랑 PICK] (2차 리오더) HANDMADE CASHMERE DOUBLE COAT [3COLORS],,,,457000,182800,182800,182800,60%,https://m.wconcept.co.kr/Product/307665598,https://product-image.wconcept.co.kr/productimg/image/img1/98/307665598_GL17267.jpg,,단독,N,0,73,,01,15,2025-10-01T10:00:00,2025-10-10T18:00:00,
2025-11-13,08:22,307463098,105980,하시에,HACIE,의류,아우터,패딩,93,[채랑 PICK] (2차 리오더) [단독기획] FOX FUR BELTED GOOSE DOWN [3COLORS],[30%쿠폰][한정특가],,[30%쿠폰],389000,311200,206948,206948,47%,https://m.wconcept.co.kr/Product/307463098,https://product-image.wconcept.co.kr/productimg/image/img1/98/307463098_GG10080.jpg,더블유위크,"쿠폰,단독",N,53,2642,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2025-11-13,08:22,307321973,105980,하시에,HACIE,의류,아우터,패딩,105,FOX FUR GOOSE DOWN LONG PARKA [LIGHT GREY][CHARCOAL],[30%쿠폰][한정특가],,[30%쿠폰],352000,228800,152152,152152,57%,https://m.wconcept.co.kr/Product/307321973,https://product-image.wconcept.co.kr/productimg/image/img1/73/307321973_HG15433.jpg,더블유위크,"쿠폰,단독",Y,5,460,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2025-11-13,08:22,303596164,105980,하시에,HACIE,의류,아우터,패딩,186,EMBROIDERY PADDING JACKET [3COLORS],[30%쿠폰][한정특가],,[30%쿠폰],229000,206100,137056,137056,40%,https://m.wconcept.co.kr/Product/303596164,https://product-image.wconcept.co.kr/productimg/image/img1/64/303596164_GG49778.jpg,더블유위크,"쿠폰,단독",Y,81,2306,5.0,01,15,2024-11-07T10:00:00,2024-11-08T10:00:00,
2025-11-13,08:22,304291849,105980,하시에,HACIE,의류,원피스,맥시,23,COLLAR DETAIL KNIT DRESS [3COLORS],[30%쿠폰][한정특가],,[30%쿠폰],98000,88200,58653,58653,40%,https://m.wconcept.co.kr/Product/304291849,https://product-image.wconcept.co.kr/productimg/image/img1/49/304291849_NG18523.jpg,더블유위크,"쿠폰,단독",Y,153,2676,4.9,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2025-11-13,08:22,307414592,105980,하시에,HACIE,의류,셔츠,셔츠,9,[채랑 PICK] OVERSIZE STANDARD STRIPE SHIRT [IVORY][PINK],[30%쿠폰][한정특가],,[30%쿠폰],129000,122550,81496,81496,37%,https://m.wconcept.co.kr/Product/307414592,https://product-image.wconcept.co.kr/productimg/image/img1/92/307414592_OG28690.jpg,더블유위크,"쿠폰,단독",Y,7,375,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
2025-11-13,08:22,301857855,105980,하시에,HACIE,의류,티셔츠,슬리브리스,52,WAFFLE TWEED BUSTIER TOP [BLACK][IVORY],[30%쿠폰][한정특가],,[30%쿠폰],79000,63200,42028,42028,47%,https://m.wconcept.co.kr/Product/301857855,https://product-image.wconcept.co.kr/productimg/image/img1/55/301857855.jpg,,"쿠폰,단독",Y,19,572,4.7,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
