날짜,시간,상품코드,브랜드코드,브랜드명,브랜드영문명,depth1_카테고리,depth2_카테고리,depth3_카테고리,순위,상품명,상품라벨앞,상품라벨뒤,서브상품명,정상가,판매가,최종판매가,가격,할인율,상품URL,상품이미지URL,세일태그,정보태그,당일배송,리뷰수,찜수,리뷰평점,상품상태코드,상품타입코드,이벤트시작,이벤트종료,컨텐츠정보
2026-05-18,08:52,308102377,105980,하시에,HACIE,의류,아우터,자켓,35,"[지인,유니 PICK] (1차 리오더) CORDUROY COLLAR VINTAGE WASHED SAFARI JACKET [TAN BEIGE][CHARCOAL]",[한정특가],,[한정특가],199000,179100,149728,149728,25%,https://m.wconcept.co.kr/Product/308102377,https://product-image.wconcept.co.kr/productimg/image/img1/77/308102377_OG16504.jpg,여름필수템,"쿠폰,단독",Y,57,3845,4.9,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,"{'contentType': 'STYLE_CLIP', 'id': 56939, 'profileSeqNo': 4863, 'vid': 'v0019cg00000d72umtf3ksl2smj7eif0', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/56939'}"
2026-05-18,08:52,302768208,105980,하시에,HACIE,의류,원피스,맥시,23,[단독](18차 리오더) AVEC HACIE COTTON LONG DRESS [5COLORS],[72H특가][~5/17까지],,[72H특가],94000,70500,58938,58938,37%,https://m.wconcept.co.kr/Product/302768208,https://product-image.wconcept.co.kr/productimg/image/img1/08/302768208_LG16209.jpg,여름필수템,"쿠폰,단독",Y,1140,14665,4.9,01,15,2026-05-15T10:00:00,2026-05-18T10:00:00,
2026-05-18,08:52,301482915,105980,하시에,HACIE,의류,셔츠,셔츠,55,[지인 PICK](21차 리오더) LAYERED CUFFS SHIRTS [6COLORS],[한정특가],,[한정특가],125000,93750,78375,78375,37%,https://m.wconcept.co.kr/Product/301482915,https://product-image.wconcept.co.kr/productimg/image/img1/15/301482915_ML12210.jpg,여름필수템,"쿠폰,단독",Y,594,9992,4.9,01,15,2026-04-01T10:00:00,2026-04-13T18:00:00,
2026-05-18,08:52,306918731,105980,하시에,HACIE,의류,셔츠,셔츠,122,[여민 PICK] (7차 리오더) OVERSIZE DOLMAN SLEEVE SHEER SHIRT [6COLORS],[72H특가][~5/17까지],,[72H특가],129000,96750,80883,80883,37%,https://m.wconcept.co.kr/Product/306918731,https://product-image.wconcept.co.kr/productimg/image/img1/31/306918731_GG51617.jpg,여름필수템,"쿠폰,단독",Y,156,2576,4.9,01,15,2026-05-15T10:00:00,2026-05-18T10:00:00,"{'contentType': 'STYLE_CLIP', 'id': 37311, 'profileSeqNo': 1047, 'vid': 'v1119cg50000d2ra09vak5v2u79gi0t0', 'landingUrl': 'https://display.wconcept.co.kr/rn/styleclip/37311'}"
2026-05-18,08:52,308102386,105980,하시에,HACIE,의류,티셔츠,반팔,56,"[여민,예지,한빛 PICK](2차 리오더) SIGNATURE CROP T-SHIRT [7COLORS]",,,,39000,31200,25490,25490,35%,https://m.wconcept.co.kr/Product/308102386,https://product-image.wconcept.co.kr/productimg/image/img1/86/308102386_GG20999.jpg,여름필수템,"쿠폰,단독",N,78,1753,4.9,01,17,2026-05-15T10:00:00,2026-05-18T10:00:00,
2026-05-18,08:52,308184147,105980,하시에,HACIE,가방,숄더백,숄더백,122,"[예지,여민 PICK] FAUX LEATHER TWIST STRAP MINI BAG [3COLORS]",[한정특가],,[한정특가],199000,159200,133091,133091,33%,https://m.wconcept.co.kr/Product/308184147,https://product-image.wconcept.co.kr/productimg/image/img1/47/308184147_II19754.jpg,여름필수템,"쿠폰,단독",Y,1,267,5.0,01,15,1900-01-01T00:00:00,1900-01-01T00:00:00,
