유형,날짜,상품수,카테고리,평균순위,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
일별통계,2026-06-08,12,,,,,,,,,,,,
카테고리통계,,2,의류 - 아우터,83.5,15,,,,,,,,,
카테고리통계,,2,의류 - 원피스,170.5,160,,,,,,,,,
카테고리통계,,1,의류 - 전체,190.0,190,,,,,,,,,
카테고리통계,,1,의류 - 블라우스,50.0,50,,,,,,,,,
카테고리통계,,1,의류 - 셔츠,182.0,182,,,,,,,,,
카테고리통계,,1,의류 - 스커트,119.0,119,,,,,,,,,
카테고리통계,,1,의류 - 팬츠,41.0,41,,,,,,,,,
카테고리통계,,1,의류 - 데님,122.0,122,,,,,,,,,
카테고리통계,,1,가방 - 숄더백,155.0,155,,,,,,,,,
카테고리통계,,1,가방 - 백액세서리,129.0,129,,,,,,,,,
TOP1,,,의류 - 아우터,,15,2026-06-08,111300,30%,더블유위크,3,608,5.0,[리라 PICK] CREASE SILKY LINEN OVER-FIT JACKET [3COLORS],./08/일일_요약_260608_090120.md
TOP2,,,의류 - 팬츠,,41,2026-06-08,51803,37%,더블유위크,203,1624,5.0,[예지 PICK](4차 리오더) STITCHED BERMUDA PANTS [3COLORS],./08/일일_요약_260608_090120.md
TOP3,,,의류 - 블라우스,,50,2026-06-08,69300,30%,더블유위크,13,2406,5.0,[리라 PICK](2차 리오더) COWL NECK DRAPE BLOUSE [ICE GREY][NAVY],./08/일일_요약_260608_090120.md
TOP4,,,의류 - 스커트,,119,2026-06-08,81496,37%,더블유위크,99,4178,4.9,"[지인,여민,경은,한빛 PICK] (4차 리오더) CREASE SATIN LAYERED LONG SKIRT [IVORY][BLACK]",./08/일일_요약_260608_090120.md
TOP5,,,의류 - 데님,,122,2026-06-08,66699,43%,더블유위크,11,853,5.0,"[리라,경은 PICK](1차 리오더) HAYLEY FLARE JEANS [MIDDLE BLUE]",./08/일일_요약_260608_090120.md
TOP6,,,가방 - 백액세서리,,129,2026-06-08,15680,51%,더블유위크,136,1936,4.9,GLOSSY CRESCENT SMALL MOON KEY-RING [5COLORS],./08/일일_요약_260608_090120.md
TOP7,,,의류 - 아우터,,152,2026-06-08,139300,30%,더블유위크,63,3868,5.0,[지인 PICK] (2차 리오더) CORDUROY COLLAR VINTAGE WASHED SAFARI JACKET [TAN BEIGE][CHARCOAL],./08/일일_요약_260608_090120.md
TOP8,,,가방 - 숄더백,,155,2026-06-08,125370,37%,더블유위크,1,373,5.0,"[경은,예지,리라 PICK] FAUX LEATHER TWIST STRAP MINI BAG [3COLORS]",./08/일일_요약_260608_090120.md
TOP9,,,의류 - 원피스,,160,2026-06-08,63175,34%,더블유위크,5,129,5.0,(1차 리오더) FLARE COTTON LONG DRESS [3COLORS],./08/일일_요약_260608_090120.md
TOP10,,,의류 - 원피스,,181,2026-06-08,62510,34%,더블유위크,1176,14921,4.9,[경은 PICK](19차 리오더)[NEW컬러추가]AVEC HACIE COTTON LONG DRESS [5COLORS],./08/일일_요약_260608_090120.md
