유형,날짜,상품수,카테고리,평균순위,최고순위,기록일,가격,할인율,세일태그,리뷰수,찜수,평점,상품명,링크
일별통계,2026-06-22,14,,,,,,,,,,,,
카테고리통계,,2,의류 - 원피스,115.5,55,,,,,,,,,
카테고리통계,,2,의류 - 셔츠,147.0,107,,,,,,,,,
카테고리통계,,2,의류 - 티셔츠,18.5,14,,,,,,,,,
카테고리통계,,2,의류 - 니트,149.5,127,,,,,,,,,
카테고리통계,,2,의류 - 스커트,171.0,169,,,,,,,,,
카테고리통계,,1,의류 - 전체,142.0,142,,,,,,,,,
카테고리통계,,1,의류 - 블라우스,183.0,183,,,,,,,,,
카테고리통계,,1,의류 - 팬츠,139.0,139,,,,,,,,,
카테고리통계,,1,의류 - 데님,173.0,173,,,,,,,,,
TOP1,,,의류 - 티셔츠,,14,2026-06-22,30642,21%,,137,3057,4.9,"[여민,예지,한빛 PICK](5차 리오더)[NEW컬러추가]SIGNATURE CROP T-SHIRT [7COLORS]",./22/일일_요약_260622_090532.md
TOP2,,,의류 - 티셔츠,,23,2026-06-22,62070,21%,,36,212,5.0,"[현주,경은 PICK] EMBROIDERY LOGO PUFF SLEEVE PK T-SHIRT [3COLORS]",./22/일일_요약_260622_090532.md
TOP3,,,의류 - 원피스,,55,2026-06-22,67362,29%,,15,462,4.9,(1차 리오더) FLARE COTTON LONG DRESS [3COLORS],./22/일일_요약_260622_090532.md
TOP4,,,의류 - 셔츠,,107,2026-06-22,77784,21%,,2,237,5.0,JACQUARD HALF SLEEVE BLOUSE [WHITE][BLACK],./22/일일_요약_260622_090532.md
TOP5,,,의류 - 니트,,127,2026-06-22,80927,21%,,6,136,5.0,DRAMATIC CROP PK KNIT [IVORY][PINK],./22/일일_요약_260622_090532.md
TOP6,,,의류 - 팬츠,,139,2026-06-22,64427,21%,,215,1715,5.0,[예지 PICK](4차 리오더) STITCHED BERMUDA PANTS [3COLORS],./22/일일_요약_260622_090532.md
TOP7,,,의류 - 스커트,,169,2026-06-22,81835,25%,,2,414,5.0,PLUME TEXTURE JACQUARD LONG SKIRT [IVORY][DUSTY PINK],./22/일일_요약_260622_090532.md
TOP8,,,의류 - 니트,,172,2026-06-22,77784,21%,,1,349,5.0,[리라 PICK] ALL DAY WOOL KNIT [3COLORS],./22/일일_요약_260622_090532.md
TOP9,,,의류 - 스커트,,173,2026-06-22,101355,25%,,6,153,4.8,LINEN BLEND SLIT DETAIL LONG SKIRT [TAN BEIGE][NAVY],./22/일일_요약_260622_090532.md
TOP10,,,의류 - 데님,,173,2026-06-22,77915,26%,,35,815,4.9,"[한빛,예지 PICK](2차 리오더) CURVED DENIM PANTS [3COLORS]",./22/일일_요약_260622_090532.md
